Year,Sex,Age,Country,Region,Observation status,Unit multiplier,Unit measure,GeoCode,Value
1995,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,25.0
1996,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,22.2
1997,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.7
1998,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,23.3
1999,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,21.7
2000,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.9
2001,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.8
2002,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.5
2003,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,22.0
2004,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.9
2005,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.8
2006,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.9
2007,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.8
2008,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,22.4
2009,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,22.2
2010,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,21.2
2011,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,24.0
2012,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,23.6
2013,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,24.3
2014,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,24.1
2015,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,22.0
2016,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,21.9
2017,Male,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.8
1981,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.7
1982,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.2
1983,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,9.0
1984,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,8.6
1985,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,9.3
1986,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.5
1987,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.9
1988,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.8
1989,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.5
1990,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.0
1991,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.3
1992,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.6
1993,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.7
1994,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.6
1995,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,8.0
1996,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.4
1997,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.2
1998,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.1
1999,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.7
2000,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.0
2001,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.8
2002,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.7
2003,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.4
2004,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.0
2005,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.3
2006,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,4.2
2007,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.2
2008,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.6
2009,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.8
2010,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.4
2011,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.7
2012,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.9
2013,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.7
2014,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.3
2015,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.2
2016,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.2
2017,Female,40 to 44,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.8
1981,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,16.3
1982,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,17.8
1983,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,16.2
1984,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,17.4
1985,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,17.5
1986,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.6
1987,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.6
1988,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.9
1989,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.9
1990,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.4
1991,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.8
1992,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.4
1993,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.1
1994,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.4
1995,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.3
1996,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.2
1997,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.0
1998,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.6
1999,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.0
2000,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.5
2001,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.7
2002,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.2
2003,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.9
2004,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.0
2005,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.1
2006,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.8
2007,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.4
2008,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.5
2009,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.3
2010,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.3
2011,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.1
2012,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.1
2013,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.0
2014,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,16.0
2015,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.6
2016,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.9
2017,,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.3
1981,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.6
1982,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,23.2
1983,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,21.4
1984,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,22.6
1985,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,23.1
1986,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,21.3
1987,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.9
1988,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.3
1989,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.3
1990,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,22.0
1991,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,24.1
1992,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,22.8
1993,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,21.5
1994,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,17.7
1995,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.2
1996,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.7
1997,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.9
1998,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,22.8
1999,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,22.3
2000,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,21.7
2001,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,21.9
2002,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.6
2003,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.3
2004,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.5
2005,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,21.0
2006,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.3
2007,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,16.2
2008,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.5
2009,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.2
2010,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.6
2011,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,22.0
2012,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,23.4
2013,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,23.4
2014,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,25.3
2015,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,22.4
2016,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,21.7
2017,Male,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,22.4
1981,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.0
1982,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.2
1983,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.0
1984,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.2
1985,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.9
1986,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,9.9
1987,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.4
1988,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,9.4
1989,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.5
1990,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,8.8
1991,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.5
1992,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,8.1
1993,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.7
1994,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.2
1995,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.5
1996,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.9
1997,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.2
1998,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.5
1999,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.8
2000,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.5
2001,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.6
2002,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.8
2003,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.6
2004,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.5
2005,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.3
2006,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.3
2007,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.6
2008,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.7
2009,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.6
2010,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.1
2011,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.3
2012,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.1
2013,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.9
2014,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.8
2015,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.9
2016,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.3
2017,Female,45 to 49,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.3
1981,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.2
1982,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,17.0
1983,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,17.2
1984,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,17.6
1985,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,17.0
1986,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,17.3
1987,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.9
1988,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.4
1989,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.4
1990,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.0
1991,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.4
1992,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.8
1993,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.5
1994,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.3
1995,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.1
1996,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.1
1997,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.2
1998,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.6
1999,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.3
2000,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.0
2001,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.6
2002,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.9
2003,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.0
2004,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.7
2005,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.6
2006,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.6
2007,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.6
2008,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.4
2009,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.6
2010,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.7
2011,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.8
2012,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.3
2013,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.7
2014,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,16.0
2015,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.0
2016,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.0
2017,,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.8
1981,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,23.7
1982,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.2
1983,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,21.6
1984,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,21.1
1985,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.4
1986,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,21.0
1987,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.8
1988,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.0
1989,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.8
1990,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.5
1991,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.5
1992,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.3
1993,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.6
1994,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.1
1995,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.6
1996,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.8
1997,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,16.4
1998,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.1
1999,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.0
2000,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,17.4
2001,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.5
2002,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,17.4
2003,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,16.7
2004,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.4
2005,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,17.7
2006,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.6
2007,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,17.1
2008,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,17.6
2009,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.8
2010,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.7
2011,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,22.5
2012,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,22.0
2013,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,23.3
2014,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,24.7
2015,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.1
2016,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.2
2017,Male,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.7
1981,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.8
1982,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.9
1983,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.8
1984,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.1
1985,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.5
1986,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.6
1987,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.0
1988,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.8
1989,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.0
1990,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.4
1991,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,8.4
1992,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.4
1993,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.4
1994,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.6
1995,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.8
1996,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.4
1997,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.1
1998,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.1
1999,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.7
2000,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.8
2001,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.9
2002,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.5
2003,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.4
2004,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.1
2005,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.7
2006,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.6
2007,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.1
2008,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.3
2009,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.5
2010,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.6
2011,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.2
2012,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.7
2013,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.2
2014,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.6
2015,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,8.1
2016,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,8.0
2017,Female,50 to 54,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.2
1981,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.8
1982,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.0
1983,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,17.7
1984,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,17.9
1985,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.5
1986,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.6
1987,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.7
1988,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.8
1989,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.7
1990,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.1
1991,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.6
1992,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.3
1993,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.9
1994,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.3
1995,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.7
1996,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.2
1997,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.8
1998,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.1
1999,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.2
2000,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.6
2001,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.8
2002,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.8
2003,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.4
2004,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.8
2005,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.7
2006,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.7
2007,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.4
2008,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.3
2009,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.2
2010,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.7
2011,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.5
2012,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.1
2013,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.5
2014,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.5
2015,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.1
2016,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.3
2017,,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.2
1981,Male,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,22.9
1982,Male,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,24.0
1983,Male,55 to 59,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.9
