Year,Series,Water type,Geography (HydroBASINs ID),Units,Observation status,Unit multiplier,Value
1987-1991,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
1986-1990,Open water area,Permanent,2060055610 (East Northern Ireland),% of total land area,Normal value,Units,1.495882664
1998-2002,Open water area,Permanent,2060055610 (East Northern Ireland),% of total land area,Normal value,Units,1.243925924
1999-2003,Open water area,Permanent,2060055610 (East Northern Ireland),% of total land area,Normal value,Units,1.287990893
2009-2013,Open water area,Permanent,2060055610 (East Northern Ireland),% of total land area,Normal value,Units,1.464763533
2010-2014,Open water area,Permanent,2060055610 (East Northern Ireland),% of total land area,Normal value,Units,1.47198805
2011-2015,Open water area,Permanent,2060055610 (East Northern Ireland),% of total land area,Normal value,Units,1.502178816
2012-2016,Open water area,Permanent,2060055610 (East Northern Ireland),% of total land area,Normal value,Units,1.541048718
2013-2017,Open water area,Permanent,2060055610 (East Northern Ireland),% of total land area,Normal value,Units,1.561359409
2014-2018,Open water area,Permanent,2060055610 (East Northern Ireland),% of total land area,Normal value,Units,1.542940532
2015-2019,Open water area,Permanent,2060055610 (East Northern Ireland),% of total land area,Normal value,Units,1.52453245
2016-2020,Open water area,Permanent,2060055610 (East Northern Ireland),% of total land area,Normal value,Units,1.488412561
2017-2021,Open water area,Permanent,2060055610 (East Northern Ireland),% of total land area,Normal value,Units,1.492050458
2001-2005 (baseline),Open water area,Ephemeral,2060055610 (East Northern Ireland),% of total land area,Normal value,Units,0.14682476
2001-2005 (baseline),Open water area,Seasonal,2060055610 (East Northern Ireland),% of total land area,Normal value,Units,0.055674934
2001-2005 (baseline),Open water area,Permanent,2060055610 (East Northern Ireland),% of total land area,Normal value,Units,1.329303152
1984-1988,Open water area,Ephemeral,2060059370 (Shetland),% of total land area,Normal value,Units,0.34806699
1985-1989,Open water area,Ephemeral,2060059370 (Shetland),% of total land area,Normal value,Units,0.301355208
1986-1990,Open water area,Ephemeral,2060059370 (Shetland),% of total land area,Normal value,Units,0.260338374
1998-2002,Open water area,Ephemeral,2060059370 (Shetland),% of total land area,Normal value,Units,0.335488201
1999-2003,Open water area,Ephemeral,2060059370 (Shetland),% of total land area,Normal value,Units,0.343788441
2009-2013,Open water area,Ephemeral,2060059370 (Shetland),% of total land area,Normal value,Units,0.422196717
2010-2014,Open water area,Ephemeral,2060059370 (Shetland),% of total land area,Normal value,Units,0.383388877
2011-2015,Open water area,Ephemeral,2060059370 (Shetland),% of total land area,Normal value,Units,0.435289226
2012-2016,Open water area,Ephemeral,2060059370 (Shetland),% of total land area,Normal value,Units,0.65994611
2013-2017,Open water area,Ephemeral,2060059370 (Shetland),% of total land area,Normal value,Units,0.875216605
2014-2018,Open water area,Ephemeral,2060059370 (Shetland),% of total land area,Normal value,Units,1.095712361
2015-2019,Open water area,Ephemeral,2060059370 (Shetland),% of total land area,Normal value,Units,1.334790086
2016-2020,Open water area,Ephemeral,2060059370 (Shetland),% of total land area,Normal value,Units,1.480370859
2017-2021,Open water area,Ephemeral,2060059370 (Shetland),% of total land area,Normal value,Units,1.499730746
1984-1988,Open water area,Seasonal,2060059370 (Shetland),% of total land area,Normal value,Units,0.326615531
1985-1989,Open water area,Seasonal,2060059370 (Shetland),% of total land area,Normal value,Units,0.387704121
1986-1990,Open water area,Seasonal,2060059370 (Shetland),% of total land area,Normal value,Units,0.455779296
1998-2002,Open water area,Seasonal,2060059370 (Shetland),% of total land area,Normal value,Units,0.212665203
1999-2003,Open water area,Seasonal,2060059370 (Shetland),% of total land area,Normal value,Units,0.217398761
2009-2013,Open water area,Seasonal,2060059370 (Shetland),% of total land area,Normal value,Units,0.31595952
2010-2014,Open water area,Seasonal,2060059370 (Shetland),% of total land area,Normal value,Units,0.404935741
2011-2015,Open water area,Seasonal,2060059370 (Shetland),% of total land area,Normal value,Units,0.436478119
2012-2016,Open water area,Seasonal,2060059370 (Shetland),% of total land area,Normal value,Units,0.453893211
2013-2017,Open water area,Seasonal,2060059370 (Shetland),% of total land area,Normal value,Units,0.493765185
2014-2018,Open water area,Seasonal,2060059370 (Shetland),% of total land area,Normal value,Units,0.490521413
2015-2019,Open water area,Seasonal,2060059370 (Shetland),% of total land area,Normal value,Units,0.424655232
2016-2020,Open water area,Seasonal,2060059370 (Shetland),% of total land area,Normal value,Units,0.441292405
2017-2021,Open water area,Seasonal,2060059370 (Shetland),% of total land area,Normal value,Units,0.512846195
1984-1988,Open water area,Permanent,2060059370 (Shetland),% of total land area,Normal value,Units,2.10878193
1985-1989,Open water area,Permanent,2060059370 (Shetland),% of total land area,Normal value,Units,2.168644931
1986-1990,Open water area,Permanent,2060059370 (Shetland),% of total land area,Normal value,Units,2.159875005
1998-2002,Open water area,Permanent,2060059370 (Shetland),% of total land area,Normal value,Units,1.647931488
1999-2003,Open water area,Permanent,2060059370 (Shetland),% of total land area,Normal value,Units,1.725892095
2009-2013,Open water area,Permanent,2060059370 (Shetland),% of total land area,Normal value,Units,2.022932059
2010-2014,Open water area,Permanent,2060059370 (Shetland),% of total land area,Normal value,Units,2.005524306
2011-2015,Open water area,Permanent,2060059370 (Shetland),% of total land area,Normal value,Units,2.021273479
2012-2016,Open water area,Permanent,2060059370 (Shetland),% of total land area,Normal value,Units,1.810964046
2013-2017,Open water area,Permanent,2060059370 (Shetland),% of total land area,Normal value,Units,1.650191854
2014-2018,Open water area,Permanent,2060059370 (Shetland),% of total land area,Normal value,Units,1.449650431
2015-2019,Open water area,Permanent,2060059370 (Shetland),% of total land area,Normal value,Units,1.290668918
2016-2020,Open water area,Permanent,2060059370 (Shetland),% of total land area,Normal value,Units,1.183308878
2017-2021,Open water area,Permanent,2060059370 (Shetland),% of total land area,Normal value,Units,1.192108159
2001-2005 (baseline),Open water area,Ephemeral,2060059370 (Shetland),% of total land area,Normal value,Units,0.357622173
2001-2005 (baseline),Open water area,Seasonal,2060059370 (Shetland),% of total land area,Normal value,Units,0.104945559
2001-2005 (baseline),Open water area,Permanent,2060059370 (Shetland),% of total land area,Normal value,Units,1.906963547
1984-1988,Open water area,Ephemeral,,% of total land area,Normal value,Units,0.11373882
1985-1989,Open water area,Ephemeral,,% of total land area,Normal value,Units,0.109876036
1986-1990,Open water area,Ephemeral,,% of total land area,Normal value,Units,0.107325592
1998-2002,Open water area,Ephemeral,,% of total land area,Normal value,Units,0.128469879
1999-2003,Open water area,Ephemeral,,% of total land area,Normal value,Units,0.132079133
2009-2013,Open water area,Ephemeral,,% of total land area,Normal value,Units,0.132352385
2010-2014,Open water area,Ephemeral,,% of total land area,Normal value,Units,0.126104022
2011-2015,Open water area,Ephemeral,,% of total land area,Normal value,Units,0.111563568
2012-2016,Open water area,Ephemeral,,% of total land area,Normal value,Units,0.1060737
2013-2017,Open water area,Ephemeral,,% of total land area,Normal value,Units,0.097547974
2014-2018,Open water area,Ephemeral,,% of total land area,Normal value,Units,0.094824213
2015-2019,Open water area,Ephemeral,,% of total land area,Normal value,Units,0.098145148
2016-2020,Open water area,Ephemeral,,% of total land area,Normal value,Units,0.096978035
2017-2021,Open water area,Ephemeral,,% of total land area,Normal value,Units,0.102645275
1984-1988,Open water area,Seasonal,,% of total land area,Normal value,Units,0.087413348
1985-1989,Open water area,Seasonal,,% of total land area,Normal value,Units,0.098321581
1986-1990,Open water area,Seasonal,,% of total land area,Normal value,Units,0.104082565
1998-2002,Open water area,Seasonal,,% of total land area,Normal value,Units,0.071581558
1999-2003,Open water area,Seasonal,,% of total land area,Normal value,Units,0.074575795
2009-2013,Open water area,Seasonal,,% of total land area,Normal value,Units,0.072815862
2010-2014,Open water area,Seasonal,,% of total land area,Normal value,Units,0.086960292
2011-2015,Open water area,Seasonal,,% of total land area,Normal value,Units,0.102012883
2012-2016,Open water area,Seasonal,,% of total land area,Normal value,Units,0.115351689
2013-2017,Open water area,Seasonal,,% of total land area,Normal value,Units,0.138096294
2014-2018,Open water area,Seasonal,,% of total land area,Normal value,Units,0.149218056
2015-2019,Open water area,Seasonal,,% of total land area,Normal value,Units,0.154050302
2016-2020,Open water area,Seasonal,,% of total land area,Normal value,Units,0.167501166
2017-2021,Open water area,Seasonal,,% of total land area,Normal value,Units,0.175751635
1984-1988,Open water area,Permanent,,% of total land area,Normal value,Units,0.802579971
1985-1989,Open water area,Permanent,,% of total land area,Normal value,Units,0.818913014
1986-1990,Open water area,Permanent,,% of total land area,Normal value,Units,0.841748503
1998-2002,Open water area,Permanent,,% of total land area,Normal value,Units,0.823464581
1999-2003,Open water area,Permanent,,% of total land area,Normal value,Units,0.832965406
2009-2013,Open water area,Permanent,,% of total land area,Normal value,Units,0.837026052
2010-2014,Open water area,Permanent,,% of total land area,Normal value,Units,0.841398625
2011-2015,Open water area,Permanent,,% of total land area,Normal value,Units,0.873063529
2012-2016,Open water area,Permanent,,% of total land area,Normal value,Units,0.871485537
2013-2017,Open water area,Permanent,,% of total land area,Normal value,Units,0.89195867
2014-2018,Open water area,Permanent,,% of total land area,Normal value,Units,0.888133239
2015-2019,Open water area,Permanent,,% of total land area,Normal value,Units,0.883309744
2016-2020,Open water area,Permanent,,% of total land area,Normal value,Units,0.878985836
2017-2021,Open water area,Permanent,,% of total land area,Normal value,Units,0.878710919
2001-2005 (baseline),Open water area,Ephemeral,,% of total land area,Normal value,Units,0.106800392
2001-2005 (baseline),Open water area,Seasonal,,% of total land area,Normal value,Units,0.049400573
2001-2005 (baseline),Open water area,Permanent,,% of total land area,Normal value,Units,0.857619311
1984-1988,Open water area,Ephemeral,2060048790 (Central South East England),Square km,Normal value,Units,2.681361635
1985-1989,Open water area,Ephemeral,2060048790 (Central South East England),Square km,Normal value,Units,2.792776708
1986-1990,Open water area,Ephemeral,2060048790 (Central South East England),Square km,Normal value,Units,2.88240904
1998-2002,Open water area,Ephemeral,2060048790 (Central South East England),Square km,Normal value,Units,2.961619008
1999-2003,Open water area,Ephemeral,2060048790 (Central South East England),Square km,Normal value,Units,2.906380477
2009-2013,Open water area,Ephemeral,2060048790 (Central South East England),Square km,Normal value,Units,2.745354951
2010-2014,Open water area,Ephemeral,2060048790 (Central South East England),Square km,Normal value,Units,2.595585577
2011-2015,Open water area,Ephemeral,2060048790 (Central South East England),Square km,Normal value,Units,2.448630242
2012-2016,Open water area,Ephemeral,2060048790 (Central South East England),Square km,Normal value,Units,2.302925591
2013-2017,Open water area,Ephemeral,2060048790 (Central South East England),Square km,Normal value,Units,2.325542121
2014-2018,Open water area,Ephemeral,2060048790 (Central South East England),Square km,Normal value,Units,2.137105777
2015-2019,Open water area,Ephemeral,2060048790 (Central South East England),Square km,Normal value,Units,2.17639809
2016-2020,Open water area,Ephemeral,2060048790 (Central South East England),Square km,Normal value,Units,2.0336117
2017-2021,Open water area,Ephemeral,2060048790 (Central South East England),Square km,Normal value,Units,2.021521758
1984-1988,Open water area,Seasonal,2060048790 (Central South East England),Square km,Normal value,Units,2.178274115
1985-1989,Open water area,Seasonal,2060048790 (Central South East England),Square km,Normal value,Units,2.400270472
1986-1990,Open water area,Seasonal,2060048790 (Central South East England),Square km,Normal value,Units,2.405690102
1998-2002,Open water area,Seasonal,2060048790 (Central South East England),Square km,Normal value,Units,2.06738016
1999-2003,Open water area,Seasonal,2060048790 (Central South East England),Square km,Normal value,Units,2.130227016
2009-2013,Open water area,Seasonal,2060048790 (Central South East England),Square km,Normal value,Units,1.862163809
2010-2014,Open water area,Seasonal,2060048790 (Central South East England),Square km,Normal value,Units,2.316474664
2011-2015,Open water area,Seasonal,2060048790 (Central South East England),Square km,Normal value,Units,2.681153187
2012-2016,Open water area,Seasonal,2060048790 (Central South East England),Square km,Normal value,Units,2.971728701
2013-2017,Open water area,Seasonal,2060048790 (Central South East England),Square km,Normal value,Units,3.167356477
2014-2018,Open water area,Seasonal,2060048790 (Central South East England),Square km,Normal value,Units,3.492325792
2015-2019,Open water area,Seasonal,2060048790 (Central South East England),Square km,Normal value,Units,3.602802852
2016-2020,Open water area,Seasonal,2060048790 (Central South East England),Square km,Normal value,Units,4.295681624
2017-2021,Open water area,Seasonal,2060048790 (Central South East England),Square km,Normal value,Units,4.73258713
1984-1988,Open water area,Permanent,2060048790 (Central South East England),Square km,Normal value,Units,3.532973012
1985-1989,Open water area,Permanent,2060048790 (Central South East England),Square km,Normal value,Units,3.537871524
1986-1990,Open water area,Permanent,2060048790 (Central South East England),Square km,Normal value,Units,3.457410872
1998-2002,Open water area,Permanent,2060048790 (Central South East England),Square km,Normal value,Units,3.739023152
1999-2003,Open water area,Permanent,2060048790 (Central South East England),Square km,Normal value,Units,3.78561112
2009-2013,Open water area,Permanent,2060048790 (Central South East England),Square km,Normal value,Units,3.975506596
2010-2014,Open water area,Permanent,2060048790 (Central South East England),Square km,Normal value,Units,4.125171746
2011-2015,Open water area,Permanent,2060048790 (Central South East England),Square km,Normal value,Units,4.44868193
2012-2016,Open water area,Permanent,2060048790 (Central South East England),Square km,Normal value,Units,4.603141367
2013-2017,Open water area,Permanent,2060048790 (Central South East England),Square km,Normal value,Units,4.688604753
2014-2018,Open water area,Permanent,2060048790 (Central South East England),Square km,Normal value,Units,4.729564645
2015-2019,Open water area,Permanent,2060048790 (Central South East England),Square km,Normal value,Units,4.740820798
2016-2020,Open water area,Permanent,2060048790 (Central South East England),Square km,Normal value,Units,4.573646077
2017-2021,Open water area,Permanent,2060048790 (Central South East England),Square km,Normal value,Units,4.647332191
2001-2005 (baseline),Open water area,Ephemeral,2060048790 (Central South East England),Square km,Normal value,Units,2.36014437
2001-2005 (baseline),Open water area,Seasonal,2060048790 (Central South East England),Square km,Normal value,Units,2.284061112
2001-2005 (baseline),Open water area,Permanent,2060048790 (Central South East England),Square km,Normal value,Units,4.239296633
1984-1988,Open water area,Ephemeral,2060048980 (Central South West England),Square km,Normal value,Units,1.380233689
1985-1989,Open water area,Ephemeral,2060048980 (Central South West England),Square km,Normal value,Units,1.373771824
1986-1990,Open water area,Ephemeral,2060048980 (Central South West England),Square km,Normal value,Units,1.332916156
1998-2002,Open water area,Ephemeral,2060048980 (Central South West England),Square km,Normal value,Units,1.173453984
1999-2003,Open water area,Ephemeral,2060048980 (Central South West England),Square km,Normal value,Units,1.115088744
2009-2013,Open water area,Ephemeral,2060048980 (Central South West England),Square km,Normal value,Units,0.912269537
2010-2014,Open water area,Ephemeral,2060048980 (Central South West England),Square km,Normal value,Units,0.833997582
2011-2015,Open water area,Ephemeral,2060048980 (Central South West England),Square km,Normal value,Units,0.752182023
2012-2016,Open water area,Ephemeral,2060048980 (Central South West England),Square km,Normal value,Units,0.659839877
2013-2017,Open water area,Ephemeral,2060048980 (Central South West England),Square km,Normal value,Units,0.62815589
2014-2018,Open water area,Ephemeral,2060048980 (Central South West England),Square km,Normal value,Units,0.59126072
2015-2019,Open water area,Ephemeral,2060048980 (Central South West England),Square km,Normal value,Units,0.57208357
2016-2020,Open water area,Ephemeral,2060048980 (Central South West England),Square km,Normal value,Units,0.534250388
2017-2021,Open water area,Ephemeral,2060048980 (Central South West England),Square km,Normal value,Units,0.739987857
1984-1988,Open water area,Seasonal,2060048980 (Central South West England),Square km,Normal value,Units,0.628051666
1985-1989,Open water area,Seasonal,2060048980 (Central South West England),Square km,Normal value,Units,0.694337902
1986-1990,Open water area,Seasonal,2060048980 (Central South West England),Square km,Normal value,Units,0.720706484
1998-2002,Open water area,Seasonal,2060048980 (Central South West England),Square km,Normal value,Units,0.469319059
1999-2003,Open water area,Seasonal,2060048980 (Central South West England),Square km,Normal value,Units,0.487453973
2009-2013,Open water area,Seasonal,2060048980 (Central South West England),Square km,Normal value,Units,0.364157405
2010-2014,Open water area,Seasonal,2060048980 (Central South West England),Square km,Normal value,Units,0.480158318
2011-2015,Open water area,Seasonal,2060048980 (Central South West England),Square km,Normal value,Units,0.573751149
2012-2016,Open water area,Seasonal,2060048980 (Central South West England),Square km,Normal value,Units,0.675160752
2013-2017,Open water area,Seasonal,2060048980 (Central South West England),Square km,Normal value,Units,0.761041033
2014-2018,Open water area,Seasonal,2060048980 (Central South West England),Square km,Normal value,Units,0.83535249
2015-2019,Open water area,Seasonal,2060048980 (Central South West England),Square km,Normal value,Units,0.844836841
2016-2020,Open water area,Seasonal,2060048980 (Central South West England),Square km,Normal value,Units,1.074441524
2017-2021,Open water area,Seasonal,2060048980 (Central South West England),Square km,Normal value,Units,1.098412962
1984-1988,Open water area,Permanent,2060048980 (Central South West England),Square km,Normal value,Units,1.061934687
1985-1989,Open water area,Permanent,2060048980 (Central South West England),Square km,Normal value,Units,1.062768476
1986-1990,Open water area,Permanent,2060048980 (Central South West England),Square km,Normal value,Units,1.098308738
1998-2002,Open water area,Permanent,2060048980 (Central South West England),Square km,Normal value,Units,1.491127644
1999-2003,Open water area,Permanent,2060048980 (Central South West England),Square km,Normal value,Units,1.556371644
2009-2013,Open water area,Permanent,2060048980 (Central South West England),Square km,Normal value,Units,1.747622027
2010-2014,Open water area,Permanent,2060048980 (Central South West England),Square km,Normal value,Units,1.874253752
2011-2015,Open water area,Permanent,2060048980 (Central South West England),Square km,Normal value,Units,1.97034795
2012-2016,Open water area,Permanent,2060048980 (Central South West England),Square km,Normal value,Units,1.988691311
2013-2017,Open water area,Permanent,2060048980 (Central South West England),Square km,Normal value,Units,1.986294167
2014-2018,Open water area,Permanent,2060048980 (Central South West England),Square km,Normal value,Units,1.966595899
2015-2019,Open water area,Permanent,2060048980 (Central South West England),Square km,Normal value,Units,1.993694045
2016-2020,Open water area,Permanent,2060048980 (Central South West England),Square km,Normal value,Units,2.021625981
2017-2021,Open water area,Permanent,2060048980 (Central South West England),Square km,Normal value,Units,2.026628716
2001-2005 (baseline),Open water area,Ephemeral,2060048980 (Central South West England),Square km,Normal value,Units,0.973448815
2001-2005 (baseline),Open water area,Seasonal,2060048980 (Central South West England),Square km,Normal value,Units,0.452330606
2001-2005 (baseline),Open water area,Permanent,2060048980 (Central South West England),Square km,Normal value,Units,1.745746001
1984-1988,Open water area,Ephemeral,2060048990 (South West England),Square km,Normal value,Units,10.80184247
1985-1989,Open water area,Ephemeral,2060048990 (South West England),Square km,Normal value,Units,10.20088895
1986-1990,Open water area,Ephemeral,2060048990 (South West England),Square km,Normal value,Units,9.911668343
1998-2002,Open water area,Ephemeral,2060048990 (South West England),Square km,Normal value,Units,8.677243528
1999-2003,Open water area,Ephemeral,2060048990 (South West England),Square km,Normal value,Units,8.703716333
2009-2013,Open water area,Ephemeral,2060048990 (South West England),Square km,Normal value,Units,7.436877966
2010-2014,Open water area,Ephemeral,2060048990 (South West England),Square km,Normal value,Units,7.160059973
2011-2015,Open water area,Ephemeral,2060048990 (South West England),Square km,Normal value,Units,6.64081779
2012-2016,Open water area,Ephemeral,2060048990 (South West England),Square km,Normal value,Units,5.984521517
2013-2017,Open water area,Ephemeral,2060048990 (South West England),Square km,Normal value,Units,5.905519996
2014-2018,Open water area,Ephemeral,2060048990 (South West England),Square km,Normal value,Units,5.967116168
2015-2019,Open water area,Ephemeral,2060048990 (South West England),Square km,Normal value,Units,6.008388731
2016-2020,Open water area,Ephemeral,2060048990 (South West England),Square km,Normal value,Units,5.927719632
2017-2021,Open water area,Ephemeral,2060048990 (South West England),Square km,Normal value,Units,6.666977924
1984-1988,Open water area,Seasonal,2060048990 (South West England),Square km,Normal value,Units,6.571613291
1985-1989,Open water area,Seasonal,2060048990 (South West England),Square km,Normal value,Units,7.646263263
1986-1990,Open water area,Seasonal,2060048990 (South West England),Square km,Normal value,Units,7.859713281
1998-2002,Open water area,Seasonal,2060048990 (South West England),Square km,Normal value,Units,5.158861826
1999-2003,Open water area,Seasonal,2060048990 (South West England),Square km,Normal value,Units,5.787538833
2009-2013,Open water area,Seasonal,2060048990 (South West England),Square km,Normal value,Units,6.031422155
2010-2014,Open water area,Seasonal,2060048990 (South West England),Square km,Normal value,Units,7.562884349
2011-2015,Open water area,Seasonal,2060048990 (South West England),Square km,Normal value,Units,8.516322225
2012-2016,Open water area,Seasonal,2060048990 (South West England),Square km,Normal value,Units,10.41506853
2013-2017,Open water area,Seasonal,2060048990 (South West England),Square km,Normal value,Units,11.50191267
2014-2018,Open water area,Seasonal,2060048990 (South West England),Square km,Normal value,Units,12.01886193
2015-2019,Open water area,Seasonal,2060048990 (South West England),Square km,Normal value,Units,12.66619497
2016-2020,Open water area,Seasonal,2060048990 (South West England),Square km,Normal value,Units,14.38890755
2017-2021,Open water area,Seasonal,2060048990 (South West England),Square km,Normal value,Units,15.3880996
1984-1988,Open water area,Permanent,2060048990 (South West England),Square km,Normal value,Units,19.60675996
1985-1989,Open water area,Permanent,2060048990 (South West England),Square km,Normal value,Units,20.93290158
1986-1990,Open water area,Permanent,2060048990 (South West England),Square km,Normal value,Units,21.24390492
1998-2002,Open water area,Permanent,2060048990 (South West England),Square km,Normal value,Units,22.31261415
1999-2003,Open water area,Permanent,2060048990 (South West England),Square km,Normal value,Units,23.97518968
2009-2013,Open water area,Permanent,2060048990 (South West England),Square km,Normal value,Units,25.46360751
2010-2014,Open water area,Permanent,2060048990 (South West England),Square km,Normal value,Units,26.6502979
2011-2015,Open water area,Permanent,2060048990 (South West England),Square km,Normal value,Units,27.66991779
2012-2016,Open water area,Permanent,2060048990 (South West England),Square km,Normal value,Units,27.95267653
2013-2017,Open water area,Permanent,2060048990 (South West England),Square km,Normal value,Units,28.04324687
2014-2018,Open water area,Permanent,2060048990 (South West England),Square km,Normal value,Units,27.9490287
2015-2019,Open water area,Permanent,2060048990 (South West England),Square km,Normal value,Units,27.91150819
2016-2020,Open water area,Permanent,2060048990 (South West England),Square km,Normal value,Units,27.43562304
2017-2021,Open water area,Permanent,2060048990 (South West England),Square km,Normal value,Units,27.49961636
2001-2005 (baseline),Open water area,Ephemeral,2060048990 (South West England),Square km,Normal value,Units,8.011671351
2001-2005 (baseline),Open water area,Seasonal,2060048990 (South West England),Square km,Normal value,Units,4.511841457
2001-2005 (baseline),Open water area,Permanent,2060048990 (South West England),Square km,Normal value,Units,25.70207121
1984-1988,Open water area,Ephemeral,2060049660 (Severn),Square km,Normal value,Units,3.272413908
1985-1989,Open water area,Ephemeral,2060049660 (Severn),Square km,Normal value,Units,2.891476497
1986-1990,Open water area,Ephemeral,2060049660 (Severn),Square km,Normal value,Units,3.304723237
1998-2002,Open water area,Ephemeral,2060049660 (Severn),Square km,Normal value,Units,3.979467094
1999-2003,Open water area,Ephemeral,2060049660 (Severn),Square km,Normal value,Units,3.875035005
2009-2013,Open water area,Ephemeral,2060049660 (Severn),Square km,Normal value,Units,3.819692251
2010-2014,Open water area,Ephemeral,2060049660 (Severn),Square km,Normal value,Units,3.905780979
2011-2015,Open water area,Ephemeral,2060049660 (Severn),Square km,Normal value,Units,3.48367523
2012-2016,Open water area,Ephemeral,2060049660 (Severn),Square km,Normal value,Units,3.118371365
2013-2017,Open water area,Ephemeral,2060049660 (Severn),Square km,Normal value,Units,2.705333072
2014-2018,Open water area,Ephemeral,2060049660 (Severn),Square km,Normal value,Units,2.711899162
2015-2019,Open water area,Ephemeral,2060049660 (Severn),Square km,Normal value,Units,2.590687066
2016-2020,Open water area,Ephemeral,2060049660 (Severn),Square km,Normal value,Units,2.486254977
2017-2021,Open water area,Ephemeral,2060049660 (Severn),Square km,Normal value,Units,2.583495635
1984-1988,Open water area,Seasonal,2060049660 (Severn),Square km,Normal value,Units,3.549336124
1985-1989,Open water area,Seasonal,2060049660 (Severn),Square km,Normal value,Units,4.208967554
1986-1990,Open water area,Seasonal,2060049660 (Severn),Square km,Normal value,Units,4.248259867
1998-2002,Open water area,Seasonal,2060049660 (Severn),Square km,Normal value,Units,1.599416008
1999-2003,Open water area,Seasonal,2060049660 (Severn),Square km,Normal value,Units,1.81067733
2009-2013,Open water area,Seasonal,2060049660 (Severn),Square km,Normal value,Units,2.346907968
2010-2014,Open water area,Seasonal,2060049660 (Severn),Square km,Normal value,Units,2.9219098
2011-2015,Open water area,Seasonal,2060049660 (Severn),Square km,Normal value,Units,3.178195735
2012-2016,Open water area,Seasonal,2060049660 (Severn),Square km,Normal value,Units,3.725369855
2013-2017,Open water area,Seasonal,2060049660 (Severn),Square km,Normal value,Units,4.509340089
2014-2018,Open water area,Seasonal,2060049660 (Severn),Square km,Normal value,Units,4.514863942
2015-2019,Open water area,Seasonal,2060049660 (Severn),Square km,Normal value,Units,4.874643954
2016-2020,Open water area,Seasonal,2060049660 (Severn),Square km,Normal value,Units,5.360638796
2017-2021,Open water area,Seasonal,2060049660 (Severn),Square km,Normal value,Units,5.778992495
1984-1988,Open water area,Permanent,2060049660 (Severn),Square km,Normal value,Units,12.35790144
1985-1989,Open water area,Permanent,2060049660 (Severn),Square km,Normal value,Units,12.33007373
1986-1990,Open water area,Permanent,2060049660 (Severn),Square km,Normal value,Units,11.95518129
1998-2002,Open water area,Permanent,2060049660 (Severn),Square km,Normal value,Units,11.95455595
1999-2003,Open water area,Permanent,2060049660 (Severn),Square km,Normal value,Units,12.76426942
2009-2013,Open water area,Permanent,2060049660 (Severn),Square km,Normal value,Units,12.82534447
2010-2014,Open water area,Permanent,2060049660 (Severn),Square km,Normal value,Units,13.29455931
2011-2015,Open water area,Permanent,2060049660 (Severn),Square km,Normal value,Units,13.73719712
2012-2016,Open water area,Permanent,2060049660 (Severn),Square km,Normal value,Units,13.75116309
2013-2017,Open water area,Permanent,2060049660 (Severn),Square km,Normal value,Units,14.02318679
2014-2018,Open water area,Permanent,2060049660 (Severn),Square km,Normal value,Units,14.11406981
2015-2019,Open water area,Permanent,2060049660 (Severn),Square km,Normal value,Units,14.02047698
2016-2020,Open water area,Permanent,2060049660 (Severn),Square km,Normal value,Units,13.95908925
2017-2021,Open water area,Permanent,2060049660 (Severn),Square km,Normal value,Units,14.0241248
2001-2005 (baseline),Open water area,Ephemeral,2060049660 (Severn),Square km,Normal value,Units,4.062116442
2001-2005 (baseline),Open water area,Seasonal,2060049660 (Severn),Square km,Normal value,Units,1.450271977
2001-2005 (baseline),Open water area,Permanent,2060049660 (Severn),Square km,Normal value,Units,13.51207405
1984-1988,Open water area,Ephemeral,2060049670 (South East Wye),Square km,Normal value,Units,0.16998876
1985-1989,Open water area,Ephemeral,2060049670 (South East Wye),Square km,Normal value,Units,0.171864785
1986-1990,Open water area,Ephemeral,2060049670 (South East Wye),Square km,Normal value,Units,0.170926773
1998-2002,Open water area,Ephemeral,2060049670 (South East Wye),Square km,Normal value,Units,0.114124888
1999-2003,Open water area,Ephemeral,2060049670 (South East Wye),Square km,Normal value,Units,0.097866
2009-2013,Open water area,Ephemeral,2060049670 (South East Wye),Square km,Normal value,Units,0.047630204
2010-2014,Open water area,Ephemeral,2060049670 (South East Wye),Square km,Normal value,Units,0.052111821
2011-2015,Open water area,Ephemeral,2060049670 (South East Wye),Square km,Normal value,Units,0.055030083
2012-2016,Open water area,Ephemeral,2060049670 (South East Wye),Square km,Normal value,Units,0.054717412
2013-2017,Open water area,Ephemeral,2060049670 (South East Wye),Square km,Normal value,Units,0.046275297
2014-2018,Open water area,Ephemeral,2060049670 (South East Wye),Square km,Normal value,Units,0.049818901
2015-2019,Open water area,Ephemeral,2060049670 (South East Wye),Square km,Normal value,Units,0.053362505
2016-2020,Open water area,Ephemeral,2060049670 (South East Wye),Square km,Normal value,Units,0.049923124
2017-2021,Open water area,Ephemeral,2060049670 (South East Wye),Square km,Normal value,Units,0.048463993
1984-1988,Open water area,Seasonal,2060049670 (South East Wye),Square km,Normal value,Units,0.028869949
1985-1989,Open water area,Seasonal,2060049670 (South East Wye),Square km,Normal value,Units,0.032517776
1986-1990,Open water area,Seasonal,2060049670 (South East Wye),Square km,Normal value,Units,0.035644486
1998-2002,Open water area,Seasonal,2060049670 (South East Wye),Square km,Normal value,Units,0.015946217
