Year,Units,Sex,Age,Country,Region,Malaria species,Fatality,Country of birth,Ethnic Group,Region of travel,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2017,"Rate per 100,000 population",,,England,,,,,,,Undefined,Units,"Rate per 100,000 population",E92000001,3.070869298732476
2017,"Rate per 100,000 population",,,Scotland,,,,,,,Undefined,Units,"Rate per 100,000 population",S92000003,0.9216929656392864
2017,"Rate per 100,000 population",,,Wales,,,,,,,Undefined,Units,"Rate per 100,000 population",W92000004,0.7679594517409482
2017,"Rate per 100,000 population",,,Northern Ireland,,,,,,,Undefined,Units,"Rate per 100,000 population",N92000002,0.5345209676539981
2018,"Rate per 100,000 population",,,England,London,,,,,,Undefined,Units,"Rate per 100,000 population",E12000007,9.16022205006892
2018,"Rate per 100,000 population",,,England,South East,,,,,,Undefined,Units,"Rate per 100,000 population",E12000008,1.7627174314688856
2018,"Rate per 100,000 population",,,England,West Midlands,,,,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.033637379068482
2018,"Rate per 100,000 population",,,England,North West,,,,,,Undefined,Units,"Rate per 100,000 population",E12000002,1.878747295186718
2018,"Rate per 100,000 population",,,England,East of England,,,,,,Undefined,Units,"Rate per 100,000 population",E12000006,2.160867210839684
2018,"Rate per 100,000 population",,,England,Yorkshire and the Humber,,,,,,Undefined,Units,"Rate per 100,000 population",E12000003,1.6242017003019371
2018,"Rate per 100,000 population",,,England,South West,,,,,,Undefined,Units,"Rate per 100,000 population",E12000009,0.9286153719774238
2018,"Rate per 100,000 population",,,England,East Midlands,,,,,,Undefined,Units,"Rate per 100,000 population",E12000004,1.1448437590091398
2018,"Rate per 100,000 population",,,England,North East,,,,,,Undefined,Units,"Rate per 100,000 population",E12000001,1.2415774956930428
2018,"Rate per 100,000 population",,,England,,,,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.852948392646732
2018,"Rate per 100,000 population",,,Scotland,,,,,,,Undefined,Units,"Rate per 100,000 population",S92000003,0.9562163255548812
2018,"Rate per 100,000 population",,,Wales,,,,,,,Undefined,Units,"Rate per 100,000 population",W92000004,0.7328035694543258
2018,"Rate per 100,000 population",,,Northern Ireland,,,,,,,Undefined,Units,"Rate per 100,000 population",N92000002,0.5845961052081667
2014,Number of cases,,,,,,,Born in Africa,,,Undefined,Units,Number,,403.0
2014,Number of cases,,,,,,,Born in UK,,,Undefined,Units,Number,,189.0
2014,Number of cases,,,,,,,Born in Indian subcontinent,,,Undefined,Units,Number,,46.0
2014,Number of cases,,,,,,,Born in Europe (non-UK),,,Undefined,Units,Number,,10.0
2014,Number of cases,,,,,,,Other country of birth,,,Undefined,Units,Number,,9.0
2015,Number of cases,,,,,,,Born in Africa,,,Undefined,Units,Number,,345.0
2015,Number of cases,,,,,,,Born in UK,,,Undefined,Units,Number,,130.0
2015,Number of cases,,,,,,,Born in Indian subcontinent,,,Undefined,Units,Number,,37.0
2015,Number of cases,,,,,,,Born in Europe (non-UK),,,Undefined,Units,Number,,11.0
2015,Number of cases,,,,,,,Other country of birth,,,Undefined,Units,Number,,8.0
2016,Number of cases,,,,,,,Born in Africa,,,Undefined,Units,Number,,465.0
2016,Number of cases,,,,,,,Born in UK,,,Undefined,Units,Number,,162.0
2016,Number of cases,,,,,,,Born in Indian subcontinent,,,Undefined,Units,Number,,35.0
2016,Number of cases,,,,,,,Born in Europe (non-UK),,,Undefined,Units,Number,,15.0
2016,Number of cases,,,,,,,Other country of birth,,,Undefined,Units,Number,,16.0
2017,Number of cases,,,,,,,Born in Africa,,,Undefined,Units,Number,,525.0
2017,Number of cases,,,,,,,Born in UK,,,Undefined,Units,Number,,199.0
2017,Number of cases,,,,,,,Born in Indian subcontinent,,,Undefined,Units,Number,,45.0
2017,Number of cases,,,,,,,Born in Europe (non-UK),,,Undefined,Units,Number,,22.0
2017,Number of cases,,,,,,,Other country of birth,,,Undefined,Units,Number,,13.0
2018,Number of cases,,,,,,,Born in Africa,,,Undefined,Units,Number,,485.0
2018,Number of cases,,,,,,,Born in UK,,,Undefined,Units,Number,,148.0
2018,Number of cases,,,,,,,Born in Indian subcontinent,,,Undefined,Units,Number,,35.0
2018,Number of cases,,,,,,,Born in Europe (non-UK),,,Undefined,Units,Number,,17.0
2018,Number of cases,,,,,,,Other country of birth,,,Undefined,Units,Number,,20.0
2014,Number of cases,,,,,,,,Black African/African descent,,Undefined,Units,Number,,680.0
2014,Number of cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,Undefined,Units,Number,,90.0
2014,Number of cases,,,,,,,,Other/Mixed,,Undefined,Units,Number,,57.0
2014,Number of cases,,,,,,,,White British,,Undefined,Units,Number,,145.0
2015,Number of cases,,,,,,,,Black African/African descent,,Undefined,Units,Number,,518.0
2015,Number of cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,Undefined,Units,Number,,72.0
2015,Number of cases,,,,,,,,Other/Mixed,,Undefined,Units,Number,,42.0
2015,Number of cases,,,,,,,,White British,,Undefined,Units,Number,,93.0
2016,Number of cases,,,,,,,,Black African/African descent,,Undefined,Units,Number,,763.0
2016,Number of cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,Undefined,Units,Number,,80.0
2016,Number of cases,,,,,,,,Other/Mixed,,Undefined,Units,Number,,63.0
2016,Number of cases,,,,,,,,White British,,Undefined,Units,Number,,105.0
2017,Number of cases,,,,,,,,Black African/African descent,,Undefined,Units,Number,,900.0
2017,Number of cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,Undefined,Units,Number,,84.0
2017,Number of cases,,,,,,,,Other/Mixed,,Undefined,Units,Number,,77.0
2017,Number of cases,,,,,,,,White British,,Undefined,Units,Number,,131.0
2018,Number of cases,,,,,,,,Black African/African descent,,Undefined,Units,Number,,839.0
2018,Number of cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,Undefined,Units,Number,,88.0
2018,Number of cases,,,,,,,,Other/Mixed,,Undefined,Units,Number,,72.0
2018,Number of cases,,,,,,,,White British,,Undefined,Units,Number,,59.0
2014,Number of cases,,,,,,,,,Western Africa,Undefined,Units,Number,,631.0
2014,Number of cases,,,,,,,,,Eastern Africa,Undefined,Units,Number,,131.0
2014,Number of cases,,,,,,,,,Middle Africa,Undefined,Units,Number,,79.0
2014,Number of cases,,,,,,,,,Northern Africa,Undefined,Units,Number,,15.0
2014,Number of cases,,,,,,,,,Southern Africa,Undefined,Units,Number,,4.0
2014,Number of cases,,,,,,,,,Africa unspecified,Undefined,Units,Number,,8.0
2014,Number of cases,,,,,,,,,Southern Asia,Undefined,Units,Number,,91.0
2014,Number of cases,,,,,,,,,South-Eastern Asia,Undefined,Units,Number,,4.0
2014,Number of cases,,,,,,,,,Western Asia,Undefined,Units,Number,,1.0
2014,Number of cases,,,,,,,,,Caribbean,Undefined,Units,Number,,0.0
2014,Number of cases,,,,,,,,,Central America,Undefined,Units,Number,,1.0
2014,Number of cases,,,,,,,,,South America,Undefined,Units,Number,,8.0
2014,Number of cases,,,,,,,,,Oceania,Undefined,Units,Number,,1.0
2014,Number of cases,,,,,,,,,Not stated,Undefined,Units,Number,,26.0
2015,Number of cases,,,,,,,,,Western Africa,Undefined,Units,Number,,482.0
2015,Number of cases,,,,,,,,,Eastern Africa,Undefined,Units,Number,,82.0
2015,Number of cases,,,,,,,,,Middle Africa,Undefined,Units,Number,,72.0
2015,Number of cases,,,,,,,,,Northern Africa,Undefined,Units,Number,,9.0
2015,Number of cases,,,,,,,,,Southern Africa,Undefined,Units,Number,,1.0
2015,Number of cases,,,,,,,,,Africa unspecified,Undefined,Units,Number,,5.0
2015,Number of cases,,,,,,,,,Southern Asia,Undefined,Units,Number,,81.0
2015,Number of cases,,,,,,,,,South-Eastern Asia,Undefined,Units,Number,,1.0
2015,Number of cases,,,,,,,,,Western Asia,Undefined,Units,Number,,1.0
2015,Number of cases,,,,,,,,,Caribbean,Undefined,Units,Number,,0.0
2015,Number of cases,,,,,,,,,Central America,Undefined,Units,Number,,0.0
2015,Number of cases,,,,,,,,,South America,Undefined,Units,Number,,7.0
2015,Number of cases,,,,,,,,,Oceania,Undefined,Units,Number,,0.0
2015,Number of cases,,,,,,,,,Not stated,Undefined,Units,Number,,3.0
2016,Number of cases,,,,,,,,,Western Africa,Undefined,Units,Number,,638.0
2016,Number of cases,,,,,,,,,Eastern Africa,Undefined,Units,Number,,147.0
2016,Number of cases,,,,,,,,,Middle Africa,Undefined,Units,Number,,120.0
2016,Number of cases,,,,,,,,,Northern Africa,Undefined,Units,Number,,17.0
2016,Number of cases,,,,,,,,,Southern Africa,Undefined,Units,Number,,3.0
2016,Number of cases,,,,,,,,,Africa unspecified,Undefined,Units,Number,,6.0
2016,Number of cases,,,,,,,,,Southern Asia,Undefined,Units,Number,,82.0
2016,Number of cases,,,,,,,,,South-Eastern Asia,Undefined,Units,Number,,2.0
2016,Number of cases,,,,,,,,,Western Asia,Undefined,Units,Number,,
2016,Number of cases,,,,,,,,,Caribbean,Undefined,Units,Number,,2.0
2016,Number of cases,,,,,,,,,Central America,Undefined,Units,Number,,
2016,Number of cases,,,,,,,,,South America,Undefined,Units,Number,,3.0
2016,Number of cases,,,,,,,,,Oceania,Undefined,Units,Number,,2.0
2016,Number of cases,,,,,,,,,Not stated,Undefined,Units,Number,,22.0
2017,Number of cases,,,,,,,,,Western Africa,Undefined,Units,Number,,810.0
2017,Number of cases,,,,,,,,,Eastern Africa,Undefined,Units,Number,,155.0
2017,Number of cases,,,,,,,,,Middle Africa,Undefined,Units,Number,,94.0
2017,Number of cases,,,,,,,,,Northern Africa,Undefined,Units,Number,,14.0
2017,Number of cases,,,,,,,,,Southern Africa,Undefined,Units,Number,,8.0
2017,Number of cases,,,,,,,,,Africa unspecified,Undefined,Units,Number,,11.0
2017,Number of cases,,,,,,,,,Southern Asia,Undefined,Units,Number,,89.0
2017,Number of cases,,,,,,,,,South-Eastern Asia,Undefined,Units,Number,,4.0
2017,Number of cases,,,,,,,,,Western Asia,Undefined,Units,Number,,3.0
2017,Number of cases,,,,,,,,,Caribbean,Undefined,Units,Number,,
2017,Number of cases,,,,,,,,,Central America,Undefined,Units,Number,,
2017,Number of cases,,,,,,,,,South America,Undefined,Units,Number,,6.0
2017,Number of cases,,,,,,,,,Oceania,Undefined,Units,Number,,2.0
2017,Number of cases,,,,,,,,,Not stated,Undefined,Units,Number,,25.0
2018,Number of cases,,,,,,,,,Western Africa,Undefined,Units,Number,,774.0
2018,Number of cases,,,,,,,,,Eastern Africa,Undefined,Units,Number,,91.0
2018,Number of cases,,,,,,,,,Middle Africa,Undefined,Units,Number,,78.0
2018,Number of cases,,,,,,,,,Northern Africa,Undefined,Units,Number,,28.0
2018,Number of cases,,,,,,,,,Southern Africa,Undefined,Units,Number,,9.0
2018,Number of cases,,,,,,,,,Africa unspecified,Undefined,Units,Number,,5.0
2018,Number of cases,,,,,,,,,Southern Asia,Undefined,Units,Number,,71.0
2018,Number of cases,,,,,,,,,South-Eastern Asia,Undefined,Units,Number,,8.0
2018,Number of cases,,,,,,,,,Western Asia,Undefined,Units,Number,,
2018,Number of cases,,,,,,,,,Caribbean,Undefined,Units,Number,,
2018,Number of cases,,,,,,,,,Central America,Undefined,Units,Number,,
2018,Number of cases,,,,,,,,,South America,Undefined,Units,Number,,2.0
2018,Number of cases,,,,,,,,,Oceania,Undefined,Units,Number,,1.0
2018,Number of cases,,,,,,,,,Not stated,Undefined,Units,Number,,31.0
2014,Percentage (%) of total cases,,,,,,,,,Western Africa,Undefined,Units,Percentage (%),,63.1
2014,Percentage (%) of total cases,,,,,,,,,Eastern Africa,Undefined,Units,Percentage (%),,13.1
2014,Percentage (%) of total cases,,,,,,,,,Middle Africa,Undefined,Units,Percentage (%),,7.9
2014,Percentage (%) of total cases,,,,,,,,,Northern Africa,Undefined,Units,Percentage (%),,1.5
2014,Percentage (%) of total cases,,,,,,,,,Southern Africa,Undefined,Units,Percentage (%),,0.4
2014,Percentage (%) of total cases,,,,,,,,,Africa unspecified,Undefined,Units,Percentage (%),,0.8
2014,Percentage (%) of total cases,,,,,,,,,Southern Asia,Undefined,Units,Percentage (%),,9.1
2014,Percentage (%) of total cases,,,,,,,,,South-Eastern Asia,Undefined,Units,Percentage (%),,0.4
2014,Percentage (%) of total cases,,,,,,,,,Western Asia,Undefined,Units,Percentage (%),,0.1
2014,Percentage (%) of total cases,,,,,,,,,Caribbean,Undefined,Units,Percentage (%),,0.0
2014,Percentage (%) of total cases,,,,,,,,,Central America,Undefined,Units,Percentage (%),,0.1
2014,Percentage (%) of total cases,,,,,,,,,South America,Undefined,Units,Percentage (%),,0.8
2014,Percentage (%) of total cases,,,,,,,,,Oceania,Undefined,Units,Percentage (%),,0.1
2014,Percentage (%) of total cases,,,,,,,,,Not stated,Undefined,Units,Percentage (%),,2.6
2015,Percentage (%) of total cases,,,,,,,,,Western Africa,Undefined,Units,Percentage (%),,64.78494623655914
2015,Percentage (%) of total cases,,,,,,,,,Eastern Africa,Undefined,Units,Percentage (%),,11.021505376344086
2015,Percentage (%) of total cases,,,,,,,,,Middle Africa,Undefined,Units,Percentage (%),,9.67741935483871
2015,Percentage (%) of total cases,,,,,,,,,Northern Africa,Undefined,Units,Percentage (%),,1.2096774193548387
2015,Percentage (%) of total cases,,,,,,,,,Southern Africa,Undefined,Units,Percentage (%),,0.1344086021505376
2015,Percentage (%) of total cases,,,,,,,,,Africa unspecified,Undefined,Units,Percentage (%),,0.6720430107526881
2015,Percentage (%) of total cases,,,,,,,,,Southern Asia,Undefined,Units,Percentage (%),,10.887096774193548
2015,Percentage (%) of total cases,,,,,,,,,South-Eastern Asia,Undefined,Units,Percentage (%),,0.1344086021505376
2015,Percentage (%) of total cases,,,,,,,,,Western Asia,Undefined,Units,Percentage (%),,0.1344086021505376
2015,Percentage (%) of total cases,,,,,,,,,Caribbean,Undefined,Units,Percentage (%),,0.0
2015,Percentage (%) of total cases,,,,,,,,,Central America,Undefined,Units,Percentage (%),,0.0
2015,Percentage (%) of total cases,,,,,,,,,South America,Undefined,Units,Percentage (%),,0.9408602150537636
2015,Percentage (%) of total cases,,,,,,,,,Oceania,Undefined,Units,Percentage (%),,0.0
2015,Percentage (%) of total cases,,,,,,,,,Not stated,Undefined,Units,Percentage (%),,0.4032258064516129
2016,Percentage (%) of total cases,,,,,,,,,Western Africa,Undefined,Units,Percentage (%),,61.11111111111112
2016,Percentage (%) of total cases,,,,,,,,,Eastern Africa,Undefined,Units,Percentage (%),,14.080459770114942
2016,Percentage (%) of total cases,,,,,,,,,Middle Africa,Undefined,Units,Percentage (%),,11.494252873563218
2016,Percentage (%) of total cases,,,,,,,,,Northern Africa,Undefined,Units,Percentage (%),,1.628352490421456
2016,Percentage (%) of total cases,,,,,,,,,Southern Africa,Undefined,Units,Percentage (%),,0.2873563218390804
2016,Percentage (%) of total cases,,,,,,,,,Africa unspecified,Undefined,Units,Percentage (%),,0.5747126436781609
2016,Percentage (%) of total cases,,,,,,,,,Southern Asia,Undefined,Units,Percentage (%),,7.854406130268199
2016,Percentage (%) of total cases,,,,,,,,,South-Eastern Asia,Undefined,Units,Percentage (%),,0.1915708812260536
2016,Percentage (%) of total cases,,,,,,,,,Western Asia,Undefined,Units,Percentage (%),,0.0
2016,Percentage (%) of total cases,,,,,,,,,Caribbean,Undefined,Units,Percentage (%),,0.1915708812260536
2016,Percentage (%) of total cases,,,,,,,,,Central America,Undefined,Units,Percentage (%),,0.0
2016,Percentage (%) of total cases,,,,,,,,,South America,Undefined,Units,Percentage (%),,0.2873563218390804
2016,Percentage (%) of total cases,,,,,,,,,Oceania,Undefined,Units,Percentage (%),,0.1915708812260536
2016,Percentage (%) of total cases,,,,,,,,,Not stated,Undefined,Units,Percentage (%),,2.10727969348659
2017,Percentage (%) of total cases,,,,,,,,,Western Africa,Undefined,Units,Percentage (%),,66.33906633906635
2017,Percentage (%) of total cases,,,,,,,,,Eastern Africa,Undefined,Units,Percentage (%),,12.694512694512694
2017,Percentage (%) of total cases,,,,,,,,,Middle Africa,Undefined,Units,Percentage (%),,7.698607698607699
2017,Percentage (%) of total cases,,,,,,,,,Northern Africa,Undefined,Units,Percentage (%),,1.1466011466011463
2017,Percentage (%) of total cases,,,,,,,,,Southern Africa,Undefined,Units,Percentage (%),,0.6552006552006553
2017,Percentage (%) of total cases,,,,,,,,,Africa unspecified,Undefined,Units,Percentage (%),,0.9009009009009008
2017,Percentage (%) of total cases,,,,,,,,,Southern Asia,Undefined,Units,Percentage (%),,7.28910728910729
2017,Percentage (%) of total cases,,,,,,,,,South-Eastern Asia,Undefined,Units,Percentage (%),,0.3276003276003276
2017,Percentage (%) of total cases,,,,,,,,,Western Asia,Undefined,Units,Percentage (%),,0.2457002457002457
2017,Percentage (%) of total cases,,,,,,,,,Caribbean,Undefined,Units,Percentage (%),,0.0
2017,Percentage (%) of total cases,,,,,,,,,Central America,Undefined,Units,Percentage (%),,0.0
2017,Percentage (%) of total cases,,,,,,,,,South America,Undefined,Units,Percentage (%),,0.4914004914004914
2017,Percentage (%) of total cases,,,,,,,,,Oceania,Undefined,Units,Percentage (%),,0.1638001638001638
2017,Percentage (%) of total cases,,,,,,,,,Not stated,Undefined,Units,Percentage (%),,2.047502047502048
2018,Percentage (%) of total cases,,,,,,,,,Western Africa,Undefined,Units,Percentage (%),,70.49180327868852
2018,Percentage (%) of total cases,,,,,,,,,Eastern Africa,Undefined,Units,Percentage (%),,8.287795992714026
2018,Percentage (%) of total cases,,,,,,,,,Middle Africa,Undefined,Units,Percentage (%),,7.103825136612022
2018,Percentage (%) of total cases,,,,,,,,,Northern Africa,Undefined,Units,Percentage (%),,2.550091074681238
2018,Percentage (%) of total cases,,,,,,,,,Southern Africa,Undefined,Units,Percentage (%),,0.819672131147541
2018,Percentage (%) of total cases,,,,,,,,,Africa unspecified,Undefined,Units,Percentage (%),,0.4553734061930783
2018,Percentage (%) of total cases,,,,,,,,,Southern Asia,Undefined,Units,Percentage (%),,6.466302367941712
2018,Percentage (%) of total cases,,,,,,,,,South-Eastern Asia,Undefined,Units,Percentage (%),,0.7285974499089253
2018,Percentage (%) of total cases,,,,,,,,,Western Asia,Undefined,Units,Percentage (%),,0.0
2018,Percentage (%) of total cases,,,,,,,,,South America,Undefined,Units,Percentage (%),,0.1821493624772313
2018,Percentage (%) of total cases,,,,,,,,,Caribbean,Undefined,Units,Percentage (%),,0.0
2018,Percentage (%) of total cases,,,,,,,,,Central America,Undefined,Units,Percentage (%),,0.0
2018,Percentage (%) of total cases,,,,,,,,,Oceania,Undefined,Units,Percentage (%),,0.0910746812386156
2018,Percentage (%) of total cases,,,,,,,,,Not stated,Undefined,Units,Percentage (%),,2.823315118397086
2014,Percentage (%) of total cases,,,,,,,Born in Africa,,,Undefined,Units,Percentage (%),,61.339421613394215
2014,Percentage (%) of total cases,,,,,,,Born in UK,,,Undefined,Units,Percentage (%),,28.767123287671232
2014,Percentage (%) of total cases,,,,,,,Born in Indian subcontinent,,,Undefined,Units,Percentage (%),,7.00152207001522
2014,Percentage (%) of total cases,,,,,,,Born in Europe (non-UK),,,Undefined,Units,Percentage (%),,1.5220700152207
2014,Percentage (%) of total cases,,,,,,,Other country of birth,,,Undefined,Units,Percentage (%),,1.36986301369863
2015,Percentage (%) of total cases,,,,,,,Born in Africa,,,Undefined,Units,Percentage (%),,64.97175141242938
2015,Percentage (%) of total cases,,,,,,,Born in UK,,,Undefined,Units,Percentage (%),,24.48210922787194
2015,Percentage (%) of total cases,,,,,,,Born in Indian subcontinent,,,Undefined,Units,Percentage (%),,6.96798493408663
2015,Percentage (%) of total cases,,,,,,,Born in Europe (non-UK),,,Undefined,Units,Percentage (%),,2.0715630885122414
2015,Percentage (%) of total cases,,,,,,,Other country of birth,,,Undefined,Units,Percentage (%),,1.5065913370998116
2016,Percentage (%) of total cases,,,,,,,Born in Africa,,,Undefined,Units,Percentage (%),,67.09956709956711
2016,Percentage (%) of total cases,,,,,,,Born in UK,,,Undefined,Units,Percentage (%),,23.37662337662337
2016,Percentage (%) of total cases,,,,,,,Born in Indian subcontinent,,,Undefined,Units,Percentage (%),,5.05050505050505
2016,Percentage (%) of total cases,,,,,,,Born in Europe (non-UK),,,Undefined,Units,Percentage (%),,2.1645021645021645
2016,Percentage (%) of total cases,,,,,,,Other country of birth,,,Undefined,Units,Percentage (%),,2.3088023088023086
2017,Percentage (%) of total cases,,,,,,,Born in Africa,,,Undefined,Units,Percentage (%),,65.29850746268657
2017,Percentage (%) of total cases,,,,,,,Born in UK,,,Undefined,Units,Percentage (%),,24.75124378109453
2017,Percentage (%) of total cases,,,,,,,Born in Indian subcontinent,,,Undefined,Units,Percentage (%),,5.597014925373134
2017,Percentage (%) of total cases,,,,,,,Born in Europe (non-UK),,,Undefined,Units,Percentage (%),,2.736318407960199
2017,Percentage (%) of total cases,,,,,,,Other country of birth,,,Undefined,Units,Percentage (%),,1.616915422885572
2018,Percentage (%) of total cases,,,,,,,Born in Africa,,,Undefined,Units,Percentage (%),,68.79432624113475
2018,Percentage (%) of total cases,,,,,,,Born in UK,,,Undefined,Units,Percentage (%),,20.99290780141844
2018,Percentage (%) of total cases,,,,,,,Born in Indian subcontinent,,,Undefined,Units,Percentage (%),,4.964539007092199
2018,Percentage (%) of total cases,,,,,,,Born in Europe (non-UK),,,Undefined,Units,Percentage (%),,2.4113475177304964
2018,Percentage (%) of total cases,,,,,,,Other country of birth,,,Undefined,Units,Percentage (%),,2.8368794326241136
2014,Percentage (%) of total cases,,,,,,,,Black African/African descent,,Undefined,Units,Percentage (%),,69.95884773662551
2014,Percentage (%) of total cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,Undefined,Units,Percentage (%),,9.25925925925926
2014,Percentage (%) of total cases,,,,,,,,Other/Mixed,,Undefined,Units,Percentage (%),,5.864197530864197
2014,Percentage (%) of total cases,,,,,,,,White British,,Undefined,Units,Percentage (%),,14.917695473251028
2015,Percentage (%) of total cases,,,,,,,,Black African/African descent,,Undefined,Units,Percentage (%),,71.44827586206897
2015,Percentage (%) of total cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,Undefined,Units,Percentage (%),,9.93103448275862
2015,Percentage (%) of total cases,,,,,,,,Other/Mixed,,Undefined,Units,Percentage (%),,5.793103448275862
2015,Percentage (%) of total cases,,,,,,,,White British,,Undefined,Units,Percentage (%),,12.827586206896552
2016,Percentage (%) of total cases,,,,,,,,Black African/African descent,,Undefined,Units,Percentage (%),,75.46983184965381
2016,Percentage (%) of total cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,Undefined,Units,Percentage (%),,7.91295746785361
2016,Percentage (%) of total cases,,,,,,,,Other/Mixed,,Undefined,Units,Percentage (%),,6.231454005934718
2016,Percentage (%) of total cases,,,,,,,,White British,,Undefined,Units,Percentage (%),,10.385756676557865
2017,Percentage (%) of total cases,,,,,,,,Black African/African descent,,Undefined,Units,Percentage (%),,75.50335570469798
2017,Percentage (%) of total cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,Undefined,Units,Percentage (%),,7.046979865771812
2017,Percentage (%) of total cases,,,,,,,,Other/Mixed,,Undefined,Units,Percentage (%),,6.459731543624161
2017,Percentage (%) of total cases,,,,,,,,White British,,Undefined,Units,Percentage (%),,10.98993288590604
2018,Percentage (%) of total cases,,,,,,,,Black African/African descent,,Undefined,Units,Percentage (%),,79.30056710775048
2018,Percentage (%) of total cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,Undefined,Units,Percentage (%),,8.31758034026465
2018,Percentage (%) of total cases,,,,,,,,Other/Mixed,,Undefined,Units,Percentage (%),,6.805293005671078
2018,Percentage (%) of total cases,,,,,,,,White British,,Undefined,Units,Percentage (%),,5.576559546313799
2000,Number of cases,,,,,,,,,,Undefined,Units,Number,,2047.0
2001,Number of cases,,,,,,,,,,Undefined,Units,Number,,2044.0
2002,Number of cases,,,,,,,,,,Undefined,Units,Number,,1940.0
2003,Number of cases,,,,,,,,,,Undefined,Units,Number,,1720.0
2004,Number of cases,,,,,,,,,,Undefined,Units,Number,,1656.0
2005,Number of cases,,,,,,,,,,Undefined,Units,Number,,1753.0
2006,Number of cases,,,,,,,,,,Undefined,Units,Number,,1754.0
2007,Number of cases,,,,,,,,,,Undefined,Units,Number,,1547.0
2008,Number of cases,,,,,,,,,,Undefined,Units,Number,,1370.0
2009,Number of cases,,,,,,,,,,Undefined,Units,Number,,1495.0
2010,Number of cases,,,,,,,,,,Undefined,Units,Number,,1759.0
2011,Number of cases,,,,,,,,,,Undefined,Units,Number,,1673.0
2012,Number of cases,,,,,,,,,,Undefined,Units,Number,,1377.0
2013,Number of cases,,,,,,,,,,Undefined,Units,Number,,1501.0
2014,Number of cases,,,,,,,,,,Undefined,Units,Number,,1586.0
2015,Number of cases,,,,,,,,,,Undefined,Units,Number,,1400.0
2016,Number of cases,,,,,,,,,,Undefined,Units,Number,,1618.0
2017,Number of cases,,,,,,,,,,Undefined,Units,Number,,1792.0
2018,Number of cases,,,,,,,,,,Undefined,Units,Number,,1683.0
2000,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,16.0
2001,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,9.0
2002,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,9.0
2003,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,16.0
2004,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,5.0
2005,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,10.0
2006,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,8.0
2007,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,5.0
2008,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,6.0
2009,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,6.0
2010,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,7.0
2011,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,8.0
2012,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,2.0
2013,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,7.0
2014,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,3.0
2015,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,6.0
2016,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,6.0
2017,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,6.0
2018,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,6.0
2000,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1555.0
2001,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1572.0
2002,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1465.0
2003,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1338.0
2004,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1220.0
2005,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1337.0
2006,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1386.0
2007,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1138.0
2008,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1087.0
2009,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1179.0
2010,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1263.0
2011,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1146.0
2012,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1002.0
