Year,Series,Country income classification,Aid description (CRS code),Observation status,Units,Value
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,GBP (£ thousands),737158.91
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,Constant USD ($ thousands),945439.156
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,GBP (£ thousands),372473.64
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,Constant USD ($ thousands),477714.044
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,GBP (£ thousands),1109632.55
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Constant USD ($ thousands),1423153.2
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,GBP (£ thousands),71637.34
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Constant USD ($ thousands),91146.272
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,GBP (£ thousands),32606.74
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Constant USD ($ thousands),41486.504
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,GBP (£ thousands),104244.08
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Constant USD ($ thousands),132632.775
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,GBP (£ thousands),26111.2
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,Constant USD ($ thousands),33222.039
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,GBP (£ thousands),16366.69
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,Constant USD ($ thousands),20823.816
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,GBP (£ thousands),42477.89
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,Constant USD ($ thousands),54045.855
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,GBP (£ thousands),1968.53
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Constant USD ($ thousands),2504.618
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,GBP (£ thousands),578.37
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Constant USD ($ thousands),735.877
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,GBP (£ thousands),2546.9
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Constant USD ($ thousands),3240.495
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,GBP (£ thousands),11721.94
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Constant USD ($ thousands),14914.165
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,GBP (£ thousands),14466.55
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,Constant USD ($ thousands),18406.212
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,GBP (£ thousands),26188.49
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Constant USD ($ thousands),33320.378
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,GBP (£ thousands),263263.16
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Constant USD ($ thousands),334957.377
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,GBP (£ thousands),188191.08
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Constant USD ($ thousands),239440.985
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,GBP (£ thousands),451454.24
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Constant USD ($ thousands),574398.362
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,GBP (£ thousands),374702.17
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,Constant USD ($ thousands),476744.471
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,GBP (£ thousands),252209.43
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,Constant USD ($ thousands),320893.394
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,GBP (£ thousands),626911.6
2021,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Constant USD ($ thousands),797637.865
