Year,Vaccine,Age,Country,Region,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2012/13,Measles mumps rubella (first dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,95.8
2013/14,Measles mumps rubella (first dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,96.9
2014/15,Measles mumps rubella (first dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,97.0
2015/16,Measles mumps rubella (first dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,96.8
2016/17,Measles mumps rubella (first dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,96.7
2017/18,Measles mumps rubella (first dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,96.5
2018/19,Measles mumps rubella (first dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,96.8
2009/10,Measles mumps rubella (first and second dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,86.1
2010/11,Measles mumps rubella (first and second dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,86.9
2011/12,Measles mumps rubella (first and second dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,87.1
2012/13,Measles mumps rubella (first and second dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,89.6
2013/14,Measles mumps rubella (first and second dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,92.6
2014/15,Measles mumps rubella (first and second dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,93.1
2015/16,Measles mumps rubella (first and second dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,91.6
2016/17,Measles mumps rubella (first and second dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,90.3
2017/18,Measles mumps rubella (first and second dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,89.5
2018/19,Measles mumps rubella (first and second dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,92.2
2011/12,Hib Meningococcal group C (booster),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,92.2
2012/13,Hib Meningococcal group C (booster),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,93.8
2013/14,Hib Meningococcal group C (booster),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,93.8
2014/15,Hib Meningococcal group C (booster),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,94.1
2015/16,Hib Meningococcal group C (booster),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,93.8
2016/17,Hib Meningococcal group C (booster),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,92.9
2017/18,Hib Meningococcal group C (booster),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,92.3
2018/19,Hib Meningococcal group C (booster),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,95.0
2013/14,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,98.2
2014/15,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,98.1
2015/16,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,98.1
2016/17,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,98.0
2017/18,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,98.0
2018/19,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,97.8
2009/10,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,91.9
2010/11,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,92.0
2011/12,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,91.9
2012/13,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,93.3
2013/14,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,94.0
2014/15,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,94.1
2015/16,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,93.7
2016/17,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,93.4
2017/18,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,92.7
2018/19,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,91.9
2009/10,Measles mumps rubella (first dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,96.2
2010/11,Measles mumps rubella (first dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,96.1
2011/12,Measles mumps rubella (first dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,96.6
2012/13,Measles mumps rubella (first dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,96.9
2013/14,Measles mumps rubella (first dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,97.3
2014/15,Measles mumps rubella (first dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,97.2
2015/16,Measles mumps rubella (first dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,97.1
2016/17,Measles mumps rubella (first dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,96.9
2017/18,Measles mumps rubella (first dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,96.9
2018/19,Measles mumps rubella (first dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,96.8
2009/10,Measles mumps rubella (first and second dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,89.7
2010/11,Measles mumps rubella (first and second dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,89.9
2011/12,Measles mumps rubella (first and second dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,90.2
2012/13,Measles mumps rubella (first and second dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,92.1
2013/14,Measles mumps rubella (first and second dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,93.0
2014/15,Measles mumps rubella (first and second dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,93.3
2015/16,Measles mumps rubella (first and second dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,93.1
2016/17,Measles mumps rubella (first and second dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,92.9
2017/18,Measles mumps rubella (first and second dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,92.1
2018/19,Measles mumps rubella (first and second dose),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,91.5
2011/12,Hib Meningococcal group C (booster),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,95.1
2012/13,Hib Meningococcal group C (booster),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,95.8
2013/14,Hib Meningococcal group C (booster),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,95.8
2014/15,Hib Meningococcal group C (booster),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,95.8
2015/16,Hib Meningococcal group C (booster),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,96.2
2016/17,Hib Meningococcal group C (booster),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,96.0
2017/18,Hib Meningococcal group C (booster),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,96.1
2018/19,Hib Meningococcal group C (booster),By 5th birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,95.9
2013/14,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,98.2
2014/15,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,97.0
2015/16,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,98.1
2016/17,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,97.7
2017/18,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,97.4
2018/19,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,97.3
2009/10,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,91.9
2010/11,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,92.9
2011/12,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,92.9
2012/13,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,92.2
2013/14,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,93.4
2014/15,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,93.8
2015/16,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,93.6
2016/17,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,93.3
2017/18,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,92.9
2018/19,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,93.1
2009/10,Measles mumps rubella (first dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,96.0
2010/11,Measles mumps rubella (first dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,96.7
2011/12,Measles mumps rubella (first dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,96.7
2012/13,Measles mumps rubella (first dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,97.0
2013/14,Measles mumps rubella (first dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,97.5
2014/15,Measles mumps rubella (first dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,96.4
2015/16,Measles mumps rubella (first dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,97.5
2016/17,Measles mumps rubella (first dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,97.4
2017/18,Measles mumps rubella (first dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,96.8
2018/19,Measles mumps rubella (first dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,96.7
2009/10,Measles mumps rubella (first and second dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,89.9
2010/11,Measles mumps rubella (first and second dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,91.3
2011/12,Measles mumps rubella (first and second dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,91.2
2012/13,Measles mumps rubella (first and second dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,90.9
2013/14,Measles mumps rubella (first and second dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,92.4
2014/15,Measles mumps rubella (first and second dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,93.1
2015/16,Measles mumps rubella (first and second dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,93.0
2016/17,Measles mumps rubella (first and second dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,92.8
2017/18,Measles mumps rubella (first and second dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,92.4
2018/19,Measles mumps rubella (first and second dose),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,91.6
2011/12,Hib Meningococcal group C (booster),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,88.7
2012/13,Hib Meningococcal group C (booster),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,94.3
2013/14,Hib Meningococcal group C (booster),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,95.9
2014/15,Hib Meningococcal group C (booster),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,94.9
2015/16,Hib Meningococcal group C (booster),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,96.6
2016/17,Hib Meningococcal group C (booster),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,96.4
2017/18,Hib Meningococcal group C (booster),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,96.1
2018/19,Hib Meningococcal group C (booster),By 5th birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,95.8
2018/19,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,North East,Percentage (%),Units,Undefined,E12000001,95.4
2017/18,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,North East,Percentage (%),Units,Undefined,E12000001,95.5
2016/17,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,North East,Percentage (%),Units,Undefined,E12000001,95.2
2015/16,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,North East,Percentage (%),Units,Undefined,E12000001,96.8
2014/15,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,North East,Percentage (%),Units,Undefined,E12000001,96.8
2013/14,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,North East,Percentage (%),Units,Undefined,E12000001,96.4
2018/19,Pneumococcal disease (primary),By 1st birthday,England,North East,Percentage (%),Units,Undefined,E12000001,95.7
2017/18,Pneumococcal disease (primary),By 1st birthday,England,North East,Percentage (%),Units,Undefined,E12000001,95.7
2016/17,Pneumococcal disease (primary),By 1st birthday,England,North East,Percentage (%),Units,Undefined,E12000001,95.2
2015/16,Pneumococcal disease (primary),By 1st birthday,England,North East,Percentage (%),Units,Undefined,E12000001,96.9
2014/15,Pneumococcal disease (primary),By 1st birthday,England,North East,Percentage (%),Units,Undefined,E12000001,96.5
2013/14,Pneumococcal disease (primary),By 1st birthday,England,North East,Percentage (%),Units,Undefined,E12000001,96.4
2018/19,Rotavirus (primary),By 1st birthday,England,North East,Percentage (%),Units,Undefined,E12000001,94.0
2017/18,Rotavirus (primary),By 1st birthday,England,North East,Percentage (%),Units,Undefined,E12000001,93.8
2016/17,Rotavirus (primary),By 1st birthday,England,North East,Percentage (%),Units,Undefined,E12000001,93.3
2018/19,Meningococcal group B (primary),By 1st birthday,England,North East,Percentage (%),Units,Undefined,E12000001,95.4
2017/18,Meningococcal group B (primary),By 1st birthday,England,North East,Percentage (%),Units,Undefined,E12000001,94.8
2018/19,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,North West,Percentage (%),Units,Undefined,E12000002,92.6
2017/18,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,North West,Percentage (%),Units,Undefined,E12000002,93.5
2016/17,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,North West,Percentage (%),Units,Undefined,E12000002,94.7
2015/16,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,North West,Percentage (%),Units,Undefined,E12000002,93.5
2014/15,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,North West,Percentage (%),Units,Undefined,E12000002,95.0
2013/14,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,North West,Percentage (%),Units,Undefined,E12000002,95.7
2018/19,Pneumococcal disease (primary),By 1st birthday,England,North West,Percentage (%),Units,Undefined,E12000002,93.8
2017/18,Pneumococcal disease (primary),By 1st birthday,England,North West,Percentage (%),Units,Undefined,E12000002,93.6
2016/17,Pneumococcal disease (primary),By 1st birthday,England,North West,Percentage (%),Units,Undefined,E12000002,94.5
2015/16,Pneumococcal disease (primary),By 1st birthday,England,North West,Percentage (%),Units,Undefined,E12000002,92.5
2014/15,Pneumococcal disease (primary),By 1st birthday,England,North West,Percentage (%),Units,Undefined,E12000002,94.4
2013/14,Pneumococcal disease (primary),By 1st birthday,England,North West,Percentage (%),Units,Undefined,E12000002,95.3
2018/19,Rotavirus (primary),By 1st birthday,England,North West,Percentage (%),Units,Undefined,E12000002,89.7
2017/18,Rotavirus (primary),By 1st birthday,England,North West,Percentage (%),Units,Undefined,E12000002,88.5
2016/17,Rotavirus (primary),By 1st birthday,England,North West,Percentage (%),Units,Undefined,E12000002,87.5
2018/19,Meningococcal group B (primary),By 1st birthday,England,North West,Percentage (%),Units,Undefined,E12000002,93.4
2017/18,Meningococcal group B (primary),By 1st birthday,England,North West,Percentage (%),Units,Undefined,E12000002,92.6
2018/19,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,Yorkshire and the Humber,Percentage (%),Units,Undefined,E12000003,93.9
2017/18,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,Yorkshire and the Humber,Percentage (%),Units,Undefined,E12000003,94.5
2016/17,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,Yorkshire and the Humber,Percentage (%),Units,Undefined,E12000003,95.2
2015/16,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,Yorkshire and the Humber,Percentage (%),Units,Undefined,E12000003,95.8
2014/15,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,Yorkshire and the Humber,Percentage (%),Units,Undefined,E12000003,95.8
2013/14,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,Yorkshire and the Humber,Percentage (%),Units,Undefined,E12000003,96.1
2018/19,Pneumococcal disease (primary),By 1st birthday,England,Yorkshire and the Humber,Percentage (%),Units,Undefined,E12000003,94.2
2017/18,Pneumococcal disease (primary),By 1st birthday,England,Yorkshire and the Humber,Percentage (%),Units,Undefined,E12000003,94.7
2016/17,Pneumococcal disease (primary),By 1st birthday,England,Yorkshire and the Humber,Percentage (%),Units,Undefined,E12000003,95.2
2015/16,Pneumococcal disease (primary),By 1st birthday,England,Yorkshire and the Humber,Percentage (%),Units,Undefined,E12000003,95.8
2014/15,Pneumococcal disease (primary),By 1st birthday,England,Yorkshire and the Humber,Percentage (%),Units,Undefined,E12000003,95.6
2013/14,Pneumococcal disease (primary),By 1st birthday,England,Yorkshire and the Humber,Percentage (%),Units,Undefined,E12000003,95.8
2018/19,Rotavirus (primary),By 1st birthday,England,Yorkshire and the Humber,Percentage (%),Units,Undefined,E12000003,91.7
2017/18,Rotavirus (primary),By 1st birthday,England,Yorkshire and the Humber,Percentage (%),Units,Undefined,E12000003,92.1
2016/17,Rotavirus (primary),By 1st birthday,England,Yorkshire and the Humber,Percentage (%),Units,Undefined,E12000003,92.2
2018/19,Meningococcal group B (primary),By 1st birthday,England,Yorkshire and the Humber,Percentage (%),Units,Undefined,E12000003,93.9
2017/18,Meningococcal group B (primary),By 1st birthday,England,Yorkshire and the Humber,Percentage (%),Units,Undefined,E12000003,94.2
2018/19,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,East Midlands,Percentage (%),Units,Undefined,E12000004,94.2
2017/18,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,East Midlands,Percentage (%),Units,Undefined,E12000004,94.9
2016/17,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,East Midlands,Percentage (%),Units,Undefined,E12000004,95.4
2015/16,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,East Midlands,Percentage (%),Units,Undefined,E12000004,95.6
2014/15,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,East Midlands,Percentage (%),Units,Undefined,E12000004,96.2
2013/14,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,East Midlands,Percentage (%),Units,Undefined,E12000004,96.5
2018/19,Pneumococcal disease (primary),By 1st birthday,England,East Midlands,Percentage (%),Units,Undefined,E12000004,94.6
2017/18,Pneumococcal disease (primary),By 1st birthday,England,East Midlands,Percentage (%),Units,Undefined,E12000004,95.0
2016/17,Pneumococcal disease (primary),By 1st birthday,England,East Midlands,Percentage (%),Units,Undefined,E12000004,95.4
2015/16,Pneumococcal disease (primary),By 1st birthday,England,East Midlands,Percentage (%),Units,Undefined,E12000004,95.5
2014/15,Pneumococcal disease (primary),By 1st birthday,England,East Midlands,Percentage (%),Units,Undefined,E12000004,95.7
2013/14,Pneumococcal disease (primary),By 1st birthday,England,East Midlands,Percentage (%),Units,Undefined,E12000004,96.1
2018/19,Rotavirus (primary),By 1st birthday,England,East Midlands,Percentage (%),Units,Undefined,E12000004,91.9
2017/18,Rotavirus (primary),By 1st birthday,England,East Midlands,Percentage (%),Units,Undefined,E12000004,92.2
2016/17,Rotavirus (primary),By 1st birthday,England,East Midlands,Percentage (%),Units,Undefined,E12000004,92.7
2018/19,Meningococcal group B (primary),By 1st birthday,England,East Midlands,Percentage (%),Units,Undefined,E12000004,93.9
2017/18,Meningococcal group B (primary),By 1st birthday,England,East Midlands,Percentage (%),Units,Undefined,E12000004,94.4
2018/19,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,West Midlands,Percentage (%),Units,Undefined,E12000005,92.2
2017/18,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,West Midlands,Percentage (%),Units,Undefined,E12000005,92.8
2016/17,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,West Midlands,Percentage (%),Units,Undefined,E12000005,93.8
2015/16,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,West Midlands,Percentage (%),Units,Undefined,E12000005,94.3
2014/15,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,West Midlands,Percentage (%),Units,Undefined,E12000005,94.9
2013/14,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,West Midlands,Percentage (%),Units,Undefined,E12000005,95.2
2018/19,Pneumococcal disease (primary),By 1st birthday,England,West Midlands,Percentage (%),Units,Undefined,E12000005,92.9
2017/18,Pneumococcal disease (primary),By 1st birthday,England,West Midlands,Percentage (%),Units,Undefined,E12000005,93.6
2016/17,Pneumococcal disease (primary),By 1st birthday,England,West Midlands,Percentage (%),Units,Undefined,E12000005,94.0
2015/16,Pneumococcal disease (primary),By 1st birthday,England,West Midlands,Percentage (%),Units,Undefined,E12000005,94.2
2014/15,Pneumococcal disease (primary),By 1st birthday,England,West Midlands,Percentage (%),Units,Undefined,E12000005,94.5
2013/14,Pneumococcal disease (primary),By 1st birthday,England,West Midlands,Percentage (%),Units,Undefined,E12000005,94.8
2018/19,Rotavirus (primary),By 1st birthday,England,West Midlands,Percentage (%),Units,Undefined,E12000005,88.9
2017/18,Rotavirus (primary),By 1st birthday,England,West Midlands,Percentage (%),Units,Undefined,E12000005,89.2
2016/17,Rotavirus (primary),By 1st birthday,England,West Midlands,Percentage (%),Units,Undefined,E12000005,89.9
2018/19,Meningococcal group B (primary),By 1st birthday,England,West Midlands,Percentage (%),Units,Undefined,E12000005,92.2
2017/18,Meningococcal group B (primary),By 1st birthday,England,West Midlands,Percentage (%),Units,Undefined,E12000005,93.0
2018/19,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,East of England,Percentage (%),Units,Undefined,E12000006,92.4
2017/18,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,East of England,Percentage (%),Units,Undefined,E12000006,94.1
2016/17,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,East of England,Percentage (%),Units,Undefined,E12000006,94.9
2015/16,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,East of England,Percentage (%),Units,Undefined,E12000006,95.6
2014/15,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,East of England,Percentage (%),Units,Undefined,E12000006,95.9
2013/14,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,East of England,Percentage (%),Units,Undefined,E12000006,95.8
2018/19,Pneumococcal disease (primary),By 1st birthday,England,East of England,Percentage (%),Units,Undefined,E12000006,93.3
2017/18,Pneumococcal disease (primary),By 1st birthday,England,East of England,Percentage (%),Units,Undefined,E12000006,94.5
2016/17,Pneumococcal disease (primary),By 1st birthday,England,East of England,Percentage (%),Units,Undefined,E12000006,95.1
2015/16,Pneumococcal disease (primary),By 1st birthday,England,East of England,Percentage (%),Units,Undefined,E12000006,95.6
2014/15,Pneumococcal disease (primary),By 1st birthday,England,East of England,Percentage (%),Units,Undefined,E12000006,95.5
2013/14,Pneumococcal disease (primary),By 1st birthday,England,East of England,Percentage (%),Units,Undefined,E12000006,95.5
2018/19,Rotavirus (primary),By 1st birthday,England,East of England,Percentage (%),Units,Undefined,E12000006,90.7
2017/18,Rotavirus (primary),By 1st birthday,England,East of England,Percentage (%),Units,Undefined,E12000006,92.0
2016/17,Rotavirus (primary),By 1st birthday,England,East of England,Percentage (%),Units,Undefined,E12000006,92.0
2018/19,Meningococcal group B (primary),By 1st birthday,England,East of England,Percentage (%),Units,Undefined,E12000006,92.8
2017/18,Meningococcal group B (primary),By 1st birthday,England,East of England,Percentage (%),Units,Undefined,E12000006,93.8
2018/19,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,London,Percentage (%),Units,Undefined,E12000007,87.4
2017/18,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,London,Percentage (%),Units,Undefined,E12000007,89.2
2016/17,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,London,Percentage (%),Units,Undefined,E12000007,88.8
2015/16,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,London,Percentage (%),Units,Undefined,E12000007,89.2
2014/15,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,London,Percentage (%),Units,Undefined,E12000007,90.6
2013/14,Diphtheria Tetanus Polio Pertussis Hib (primary),By 1st birthday,England,London,Percentage (%),Units,Undefined,E12000007,89.8
2018/19,Pneumococcal disease (primary),By 1st birthday,England,London,Percentage (%),Units,Undefined,E12000007,88.2
2017/18,Pneumococcal disease (primary),By 1st birthday,England,London,Percentage (%),Units,Undefined,E12000007,89.7
2016/17,Pneumococcal disease (primary),By 1st birthday,England,London,Percentage (%),Units,Undefined,E12000007,89.2
2015/16,Pneumococcal disease (primary),By 1st birthday,England,London,Percentage (%),Units,Undefined,E12000007,90.0
2014/15,Pneumococcal disease (primary),By 1st birthday,England,London,Percentage (%),Units,Undefined,E12000007,90.3
