Year,Food security level,Age,Age group,Country,Region,Ethnic group,Ethnicity,Highest qualification,Household composition - children,Number of adults,Number of children,Household composition - adults over State Pension age,Household composition - disabled adults,Household composition - unemployed adults,State support,State support detail,Total gross weekly income,Tenure,Tenure sub-category,Observation status,Units,GeoCode,Value
2020/21,,,,,,,,Other qualification,,,,,,,,,,,,Normal value,Percentage (%),,7.0
2020/21,,,,,,,,No reported qualifications,,,,,,,,,,,,Normal value,Percentage (%),,8.0
2020/21,,,,,,White,,,,,,,,,,,,,,Normal value,Percentage (%),,6.0
2020/21,,,,,,Mixed/multiple ethnic groups,,,,,,,,,,,,,,Normal value,Percentage (%),,13.0
2020/21,,,,,,Asian/Asian British,,,,,,,,,,,,,,Normal value,Percentage (%),,8.0
2020/21,,,,,,Asian/Asian British,Indian,,,,,,,,,,,,,Normal value,Percentage (%),,4.0
2020/21,,,,,,Asian/Asian British,Pakistani,,,,,,,,,,,,,Normal value,Percentage (%),,17.0
2020/21,,,,,,Asian/Asian British,Bangladeshi,,,,,,,,,,,,,Normal value,Percentage (%),,12.0
2020/21,,,,,,Asian/Asian British,Chinese,,,,,,,,,,,,,Missing value; suppressed,Percentage (%),,
2020/21,,,,,,Asian/Asian British,Any other Asian background,,,,,,,,,,,,,Normal value,Percentage (%),,4.0
2020/21,,,,,,Black/African/Caribbean/Black British,,,,,,,,,,,,,,Normal value,Percentage (%),,21.0
2020/21,,,,,,Other ethnic group,,,,,,,,,,,,,,Normal value,Percentage (%),,7.0
2020/21,,,,,,,,,,,,,,,In receipt of state support (benefit and/or Tax Credits),,,,,Normal value,Percentage (%),,9.0
2020/21,,,,,,,,,,,,,,,In receipt of benefit,,,,,Normal value,Percentage (%),,9.0
2020/21,,,,,,,,,,,,,,,In receipt of Tax Credits,,,,,Normal value,Percentage (%),,15.0
2020/21,,,,,,,,,,,,,,,In receipt of benefit,Income-related benefit,,,,Normal value,Percentage (%),,24.0
2020/21,,,,,,,,,,,,,,,In receipt of benefit,Non-income-related benefit,,,,Normal value,Percentage (%),,7.0
2020/21,,,,,,,,,,,,,,,In receipt of Tax Credits,Working Tax Credit,,,,Normal value,Percentage (%),,11.0
2020/21,,,,,,,,,,,,,,,In receipt of Tax Credits,Child Tax Credit,,,,Normal value,Percentage (%),,14.0
2020/21,,,,,,,,,,,,,,,,,Less than £200,,,Normal value,Percentage (%),,14.0
2020/21,,,,,,,,,,,,,,,,,£200 but less than £400,,,Normal value,Percentage (%),,14.0
2020/21,,,,,,,,,,,,,,,,,£400 but less than £600,,,Normal value,Percentage (%),,9.0
2020/21,,,,,,,,,,,,,,,,,£600 but less than £800,,,Normal value,Percentage (%),,6.0
2020/21,,,,,,,,,,,,,,,,,"£800 but less than £1,000",,,Normal value,Percentage (%),,3.0
2020/21,,,,,,,,,,,,,,,,,"£1,000 or more",,,Normal value,Percentage (%),,1.0
2020/21,,,,,,,,,,,,,,,,,,Occupier owned,,Normal value,Percentage (%),,2.0
2020/21,,,,,,,,,,,,,,,,,,Occupier owned,Owned outright,Normal value,Percentage (%),,1.0
2020/21,,,,,,,,,,,,,,,,,,Occupier owned,Buying with a mortgage,Normal value,Percentage (%),,2.0
2020/21,,,,,,,,,,,,,,,,,,Social rented,,Normal value,Percentage (%),,22.0
2020/21,,,,,,,,,,,,,,,,,,Private rented,,Normal value,Percentage (%),,11.0
2020/21,,,Working age,,,,,,,,,,,,,,,,,Normal value,Percentage (%),,9.0
2020/21,,,Working age,,,,,,,,,,,,,,,Occupier owned,,Normal value,Percentage (%),,2.0
2020/21,,,Working age,,,,,,,,,,,,,,,Occupier owned,Owned outright,Normal value,Percentage (%),,1.0
2020/21,,,Working age,,,,,,,,,,,,,,,Occupier owned,Buying with a mortgage,Normal value,Percentage (%),,2.0
2020/21,,,Working age,,,,,,,,,,,,,,,Social rented,,Normal value,Percentage (%),,27.0
2020/21,,,Working age,,,,,,,,,,,,,,,Private rented,,Normal value,Percentage (%),,12.0
2020/21,,,State Pension age,,,,,,,,,,,,,,,,,Normal value,Percentage (%),,2.0
2020/21,,,State Pension age,,,,,,,,,,,,,,,Occupier owned,,Normal value,Percentage (%),,1.0
2020/21,,,State Pension age,,,,,,,,,,,,,,,Occupier owned,Owned outright,Normal value,Percentage (%),,1.0
2020/21,,,State Pension age,,,,,,,,,,,,,,,Occupier owned,Buying with a mortgage,Normal value,Percentage (%),,1.0
2020/21,,,State Pension age,,,,,,,,,,,,,,,Social rented,,Normal value,Percentage (%),,6.0
2020/21,,,State Pension age,,,,,,,,,,,,,,,Private rented,,Normal value,Percentage (%),,4.0
