Year,Units,Decent homes criteria,Urbanisation sub-category,Sub-national area,Age of oldest person,Age of youngest person,Income group,Disability status,Ethnicity of household reference person (HRP),Unit measure,Observation status,Unit multiplier,Value
2014,Household (%),Modern facilities and services,,,,,,,White,Percentage (%),Undefined,Units,1.999497496159147
2015,Household (%),Modern facilities and services,,,,,,,White,Percentage (%),Undefined,Units,1.538978508606756
2016,Household (%),Modern facilities and services,,,,,,,White,Percentage (%),Undefined,Units,2.0162249033404662
2017,Household (%),Modern facilities and services,,,,,,,White,Percentage (%),Undefined,Units,2.182247060085698
2008,Household (%),Modern facilities and services,,,,,,,Asian,Percentage (%),Undefined,Units,3.807243821719099
2009,Household (%),Modern facilities and services,,,,,,,Asian,Percentage (%),Undefined,Units,3.235321227762928
2012,Household (%),Modern facilities and services,,,,,,,Asian,Percentage (%),Undefined,Units,2.633
2013,Household (%),Modern facilities and services,,,,,,,Asian,Percentage (%),Undefined,Units,1.89645261764824
2014,Household (%),Modern facilities and services,,,,,,,Asian,Percentage (%),Undefined,Units,1.769825539180093
2015,Household (%),Modern facilities and services,,,,,,,Asian,Percentage (%),Undefined,Units,2.140426188977671
2016,Household (%),Modern facilities and services,,,,,,,Asian,Percentage (%),Undefined,Units,3.1226929435700512
2017,Household (%),Modern facilities and services,,,,,,,Asian,Percentage (%),Undefined,Units,2.514643076899046
2008,Household (%),Modern facilities and services,,,,,,,Black,Percentage (%),Undefined,Units,6.805897006574916
2009,Household (%),Modern facilities and services,,,,,,,Black,Percentage (%),Undefined,Units,5.495479977288238
2012,Household (%),Modern facilities and services,,,,,,,Black,Percentage (%),Undefined,Units,2.425
2013,Household (%),Modern facilities and services,,,,,,,Black,Percentage (%),Undefined,Units,2.120795570613219
2014,Household (%),Modern facilities and services,,,,,,,Black,Percentage (%),Undefined,Units,2.97122809555672
2015,Household (%),Modern facilities and services,,,,,,,Black,Percentage (%),Undefined,Units,3.024584289294788
2016,Household (%),Modern facilities and services,,,,,,,Black,Percentage (%),Undefined,Units,3.7341687480598553
2017,Household (%),Modern facilities and services,,,,,,,Black,Percentage (%),Undefined,Units,2.936799500603259
2008,Household (%),Modern facilities and services,,,,,,,Other,Percentage (%),Undefined,Units,6.426908673796432
2009,Household (%),Modern facilities and services,,,,,,,Other,Percentage (%),Undefined,Units,4.351796430160997
2012,Household (%),Modern facilities and services,,,,,,,Other,Percentage (%),Undefined,Units,2.226
2013,Household (%),Modern facilities and services,,,,,,,Other,Percentage (%),Undefined,Units,3.724057035535331
2014,Household (%),Modern facilities and services,,,,,,,Other,Percentage (%),Undefined,Units,3.618519710757104
2015,Household (%),Modern facilities and services,,,,,,,Other,Percentage (%),Undefined,Units,1.79951092794186
2016,Household (%),Modern facilities and services,,,,,,,Other,Percentage (%),Undefined,Units,1.6632183177766309
2017,Household (%),Modern facilities and services,,,,,,,Other,Percentage (%),Undefined,Units,2.146813429770834
2008,Household (%),Modern facilities and services,,,,,,,All minority,Percentage (%),Undefined,Units,5.462008978560768
2009,Household (%),Modern facilities and services,,,,,,,All minority,Percentage (%),Undefined,Units,4.232202920738126
2010,Household (%),Modern facilities and services,,,,,,,All minority,Percentage (%),Undefined,Units,2.295
2011,Household (%),Modern facilities and services,,,,,,,All minority,Percentage (%),Undefined,Units,2.0
2012,Household (%),Modern facilities and services,,,,,,,All minority,Percentage (%),Undefined,Units,2.472
2013,Household (%),Modern facilities and services,,,,,,,All minority,Percentage (%),Undefined,Units,2.411034055960578
2014,Household (%),Modern facilities and services,,,,,,,All minority,Percentage (%),Undefined,Units,2.621081171732828
2015,Household (%),Modern facilities and services,,,,,,,All minority,Percentage (%),Undefined,Units,2.302978604243866
2016,Household (%),Modern facilities and services,,,,,,,All minority,Percentage (%),Undefined,Units,2.901431758196648
2017,Household (%),Modern facilities and services,,,,,,,All minority,Percentage (%),Undefined,Units,2.523725648023308
2008,Dwelling (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,3.267619923884614
2009,Dwelling (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,3.092784151368432
2010,Dwelling (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,2.34
2011,Dwelling (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,1.648
2012,Dwelling (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,1.656
2013,Dwelling (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,1.906077123543898
2014,Dwelling (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,2.032198005121823
2015,Dwelling (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,1.598062197045738
2016,Dwelling (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,2.1129764983955623
2017,Dwelling (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,2.299134356442916
2008,Household (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,3.338591213539844
2009,Household (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,3.0400437158997726
2010,Household (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,2.298
2011,Household (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,1.577
2012,Household (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,1.571
2013,Household (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,1.8939991573212096
2014,Household (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,2.063456785851645
2015,Household (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,1.6223082702615452
2016,Household (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,2.1181559811393407
2017,Household (%),Modern facilities and services,,,,,,,,Percentage (%),Undefined,Units,2.2215859302215963
2008,Dwelling (%),Repair,city centre,,,,,,,Percentage (%),Undefined,Units,11.88138629659388
2009,Dwelling (%),Repair,city centre,,,,,,,Percentage (%),Undefined,Units,9.69948754612022
2010,Dwelling (%),Repair,city centre,,,,,,,Percentage (%),Undefined,Units,9.682
2011,Dwelling (%),Repair,city centre,,,,,,,Percentage (%),Undefined,Units,8.641
2012,Dwelling (%),Repair,city centre,,,,,,,Percentage (%),Undefined,Units,5.802
2013,Dwelling (%),Repair,city centre,,,,,,,Percentage (%),Undefined,Units,5.162357870869504
2014,Dwelling (%),Repair,city centre,,,,,,,Percentage (%),Undefined,Units,5.795297118028587
2015,Dwelling (%),Repair,city centre,,,,,,,Percentage (%),Undefined,Units,6.260277519260509
2016,Dwelling (%),Repair,city centre,,,,,,,Percentage (%),Undefined,Units,5.0051036484699365
2017,Dwelling (%),Repair,city centre,,,,,,,Percentage (%),Undefined,Units,3.6977933491179766
2008,Dwelling (%),Repair,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,11.28995613345218
2009,Dwelling (%),Repair,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,10.85894411965805
2010,Dwelling (%),Repair,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,8.948
2011,Dwelling (%),Repair,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,9.77
2012,Dwelling (%),Repair,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,8.088
2013,Dwelling (%),Repair,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,7.83805506210171
2014,Dwelling (%),Repair,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,7.068373059358462
2015,Dwelling (%),Repair,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,5.669813621543909
2016,Dwelling (%),Repair,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,7.447616461330251
2017,Dwelling (%),Repair,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,7.276893531141325
2008,Dwelling (%),Repair,other urban centre,,,,,,,Percentage (%),Undefined,Units,8.509467924324746
2009,Dwelling (%),Repair,other urban centre,,,,,,,Percentage (%),Undefined,Units,8.657939032135761
2010,Dwelling (%),Repair,other urban centre,,,,,,,Percentage (%),Undefined,Units,8.496
2011,Dwelling (%),Repair,other urban centre,,,,,,,Percentage (%),Undefined,Units,8.034
2012,Dwelling (%),Repair,other urban centre,,,,,,,Percentage (%),Undefined,Units,6.985
2013,Dwelling (%),Repair,other urban centre,,,,,,,Percentage (%),Undefined,Units,6.172759515746982
2014,Dwelling (%),Repair,other urban centre,,,,,,,Percentage (%),Undefined,Units,5.516898010959914
2015,Dwelling (%),Repair,other urban centre,,,,,,,Percentage (%),Undefined,Units,4.818074496393284
2016,Dwelling (%),Repair,other urban centre,,,,,,,Percentage (%),Undefined,Units,5.420173983986742
2017,Dwelling (%),Repair,other urban centre,,,,,,,Percentage (%),Undefined,Units,4.8660081754963125
2008,Dwelling (%),Repair,rural residential,,,,,,,Percentage (%),Undefined,Units,4.577005265162861
2009,Dwelling (%),Repair,rural residential,,,,,,,Percentage (%),Undefined,Units,5.622977441347247
2010,Dwelling (%),Repair,rural residential,,,,,,,Percentage (%),Undefined,Units,4.593
2011,Dwelling (%),Repair,rural residential,,,,,,,Percentage (%),Undefined,Units,3.349
2012,Dwelling (%),Repair,rural residential,,,,,,,Percentage (%),Undefined,Units,3.493
2013,Dwelling (%),Repair,rural residential,,,,,,,Percentage (%),Undefined,Units,3.586022808100862
2014,Dwelling (%),Repair,rural residential,,,,,,,Percentage (%),Undefined,Units,3.594258741634482
2015,Dwelling (%),Repair,rural residential,,,,,,,Percentage (%),Undefined,Units,3.037588796170842
2016,Dwelling (%),Repair,rural residential,,,,,,,Percentage (%),Undefined,Units,2.4614410284356194
2017,Dwelling (%),Repair,rural residential,,,,,,,Percentage (%),Undefined,Units,3.1206763328595044
2008,Dwelling (%),Repair,suburban residential,,,,,,,Percentage (%),Undefined,Units,5.315992209032293
2009,Dwelling (%),Repair,suburban residential,,,,,,,Percentage (%),Undefined,Units,4.844190565194485
2010,Dwelling (%),Repair,suburban residential,,,,,,,Percentage (%),Undefined,Units,4.627
2011,Dwelling (%),Repair,suburban residential,,,,,,,Percentage (%),Undefined,Units,4.453
2012,Dwelling (%),Repair,suburban residential,,,,,,,Percentage (%),Undefined,Units,4.065
2013,Dwelling (%),Repair,suburban residential,,,,,,,Percentage (%),Undefined,Units,4.148217231819403
2014,Dwelling (%),Repair,suburban residential,,,,,,,Percentage (%),Undefined,Units,4.16198714594371
2015,Dwelling (%),Repair,suburban residential,,,,,,,Percentage (%),Undefined,Units,3.715536297778589
2016,Dwelling (%),Repair,suburban residential,,,,,,,Percentage (%),Undefined,Units,3.3518788655266705
2017,Dwelling (%),Repair,suburban residential,,,,,,,Percentage (%),Undefined,Units,3.1207344523444576
2008,Dwelling (%),Repair,village centre,,,,,,,Percentage (%),Undefined,Units,9.148174746383594
2009,Dwelling (%),Repair,village centre,,,,,,,Percentage (%),Undefined,Units,6.764654091469379
2012,Dwelling (%),Repair,village centre,,,,,,,Percentage (%),Undefined,Units,5.456
2013,Dwelling (%),Repair,village centre,,,,,,,Percentage (%),Undefined,Units,4.839506498850751
2014,Dwelling (%),Repair,village centre,,,,,,,Percentage (%),Undefined,Units,6.063705577451281
2015,Dwelling (%),Repair,village centre,,,,,,,Percentage (%),Undefined,Units,5.433423283566965
2016,Dwelling (%),Repair,village centre,,,,,,,Percentage (%),Undefined,Units,5.877273487619295
2017,Dwelling (%),Repair,village centre,,,,,,,Percentage (%),Undefined,Units,5.303732260340942
2008,Dwelling (%),Repair,,North,,,,,,Percentage (%),Undefined,Units,6.607437450548033
2009,Dwelling (%),Repair,,North,,,,,,Percentage (%),Undefined,Units,6.16385545629023
2010,Dwelling (%),Repair,,North,,,,,,Percentage (%),Undefined,Units,6.174
2011,Dwelling (%),Repair,,North,,,,,,Percentage (%),Undefined,Units,6.72
2012,Dwelling (%),Repair,,North,,,,,,Percentage (%),Undefined,Units,6.46
2013,Dwelling (%),Repair,,North,,,,,,Percentage (%),Undefined,Units,6.429737250156537
2014,Dwelling (%),Repair,,North,,,,,,Percentage (%),Undefined,Units,5.498650392868537
2015,Dwelling (%),Repair,,North,,,,,,Percentage (%),Undefined,Units,4.891473424044643
2016,Dwelling (%),Repair,,North,,,,,,Percentage (%),Undefined,Units,5.104075085613808
2017,Dwelling (%),Repair,,North,,,,,,Percentage (%),Undefined,Units,4.488603002062602
2008,Dwelling (%),Repair,,Rest of England,,,,,,Percentage (%),Undefined,Units,5.854921912282956
2009,Dwelling (%),Repair,,Rest of England,,,,,,Percentage (%),Undefined,Units,5.711323054685369
2010,Dwelling (%),Repair,,Rest of England,,,,,,Percentage (%),Undefined,Units,5.374
2011,Dwelling (%),Repair,,Rest of England,,,,,,Percentage (%),Undefined,Units,4.727
2012,Dwelling (%),Repair,,Rest of England,,,,,,Percentage (%),Undefined,Units,3.994
2013,Dwelling (%),Repair,,Rest of England,,,,,,Percentage (%),Undefined,Units,3.913989193753458
2014,Dwelling (%),Repair,,Rest of England,,,,,,Percentage (%),Undefined,Units,4.178918213029478
2015,Dwelling (%),Repair,,Rest of England,,,,,,Percentage (%),Undefined,Units,3.701210811341581
2016,Dwelling (%),Repair,,Rest of England,,,,,,Percentage (%),Undefined,Units,3.4222615603143534
2017,Dwelling (%),Repair,,Rest of England,,,,,,Percentage (%),Undefined,Units,3.814189514357339
2008,Dwelling (%),Repair,,South East,,,,,,Percentage (%),Undefined,Units,6.839099540409384
2009,Dwelling (%),Repair,,South East,,,,,,Percentage (%),Undefined,Units,6.465107186877047
2010,Dwelling (%),Repair,,South East,,,,,,Percentage (%),Undefined,Units,5.294
2011,Dwelling (%),Repair,,South East,,,,,,Percentage (%),Undefined,Units,4.465
2012,Dwelling (%),Repair,,South East,,,,,,Percentage (%),Undefined,Units,4.126
2013,Dwelling (%),Repair,,South East,,,,,,Percentage (%),Undefined,Units,3.86175444451463
2014,Dwelling (%),Repair,,South East,,,,,,Percentage (%),Undefined,Units,4.156636638527084
2015,Dwelling (%),Repair,,South East,,,,,,Percentage (%),Undefined,Units,3.713620927592751
2016,Dwelling (%),Repair,,South East,,,,,,Percentage (%),Undefined,Units,3.302443516024409
2017,Dwelling (%),Repair,,South East,,,,,,Percentage (%),Undefined,Units,2.52929249184388
2008,Household (%),Repair,,,59 and under,,,,,Percentage (%),Undefined,Units,6.385878918586036
2009,Household (%),Repair,,,59 and under,,,,,Percentage (%),Undefined,Units,5.758603098566843
2010,Household (%),Repair,,,59 and under,,,,,Percentage (%),Undefined,Units,5.497
2011,Household (%),Repair,,,59 and under,,,,,Percentage (%),Undefined,Units,5.389
2012,Household (%),Repair,,,59 and under,,,,,Percentage (%),Undefined,Units,4.857
2013,Household (%),Repair,,,59 and under,,,,,Percentage (%),Undefined,Units,4.317373018440621
2014,Household (%),Repair,,,59 and under,,,,,Percentage (%),Undefined,Units,4.345550597582697
2015,Household (%),Repair,,,59 and under,,,,,Percentage (%),Undefined,Units,4.218261939461993
2016,Household (%),Repair,,,59 and under,,,,,Percentage (%),Undefined,Units,3.85346434504635
2017,Household (%),Repair,,,59 and under,,,,,Percentage (%),Undefined,Units,3.43748840757434
2008,Household (%),Repair,,,60 and over,,,,,Percentage (%),Undefined,Units,5.444516423440902
2009,Household (%),Repair,,,60 and over,,,,,Percentage (%),Undefined,Units,5.576370155245933
2010,Household (%),Repair,,,60 and over,,,,,Percentage (%),Undefined,Units,5.109
2011,Household (%),Repair,,,60 and over,,,,,Percentage (%),Undefined,Units,4.652
2012,Household (%),Repair,,,60 and over,,,,,Percentage (%),Undefined,Units,4.255
2013,Household (%),Repair,,,60 and over,,,,,Percentage (%),Undefined,Units,4.173877038763795
2014,Household (%),Repair,,,60 and over,,,,,Percentage (%),Undefined,Units,4.160267313433196
2015,Household (%),Repair,,,60 and over,,,,,Percentage (%),Undefined,Units,3.66776961725266
2016,Household (%),Repair,,,60 and over,,,,,Percentage (%),Undefined,Units,3.583676514419869
2017,Household (%),Repair,,,60 and over,,,,,Percentage (%),Undefined,Units,3.58398219612712
2008,Household (%),Repair,,,75 and over,,,,,Percentage (%),Undefined,Units,5.935220413506506
2009,Household (%),Repair,,,75 and over,,,,,Percentage (%),Undefined,Units,6.088979640712401
2010,Household (%),Repair,,,75 and over,,,,,Percentage (%),Undefined,Units,5.475
2011,Household (%),Repair,,,75 and over,,,,,Percentage (%),Undefined,Units,4.013
2012,Household (%),Repair,,,75 and over,,,,,Percentage (%),Undefined,Units,3.894
2013,Household (%),Repair,,,75 and over,,,,,Percentage (%),Undefined,Units,4.581066625666925
2014,Household (%),Repair,,,75 and over,,,,,Percentage (%),Undefined,Units,4.976063831321393
2015,Household (%),Repair,,,75 and over,,,,,Percentage (%),Undefined,Units,4.714321509150412
2016,Household (%),Repair,,,75 and over,,,,,Percentage (%),Undefined,Units,4.772375487718312
2017,Household (%),Repair,,,75 and over,,,,,Percentage (%),Undefined,Units,4.462667925759163
2008,Household (%),Repair,,,,4 and under,,,,Percentage (%),Undefined,Units,6.258012772673082
2009,Household (%),Repair,,,,4 and under,,,,Percentage (%),Undefined,Units,5.629216181669664
2010,Household (%),Repair,,,,4 and under,,,,Percentage (%),Undefined,Units,5.7
2011,Household (%),Repair,,,,4 and under,,,,Percentage (%),Undefined,Units,5.634
2012,Household (%),Repair,,,,4 and under,,,,Percentage (%),Undefined,Units,4.704
2013,Household (%),Repair,,,,4 and under,,,,Percentage (%),Undefined,Units,4.170717786575582
2014,Household (%),Repair,,,,4 and under,,,,Percentage (%),Undefined,Units,4.138376401949253
2015,Household (%),Repair,,,,4 and under,,,,Percentage (%),Undefined,Units,3.489784395598626
2016,Household (%),Repair,,,,4 and under,,,,Percentage (%),Undefined,Units,3.9317366474065967
2017,Household (%),Repair,,,,4 and under,,,,Percentage (%),Undefined,Units,3.963433422740808
2008,Household (%),Repair,,,,15 and under,,,,Percentage (%),Undefined,Units,6.140724700508138
2009,Household (%),Repair,,,,15 and under,,,,Percentage (%),Undefined,Units,5.199252573259003
2010,Household (%),Repair,,,,15 and under,,,,Percentage (%),Undefined,Units,5.065
2011,Household (%),Repair,,,,15 and under,,,,Percentage (%),Undefined,Units,4.918
2012,Household (%),Repair,,,,15 and under,,,,Percentage (%),Undefined,Units,3.965
2013,Household (%),Repair,,,,15 and under,,,,Percentage (%),Undefined,Units,3.596391173540245
2014,Household (%),Repair,,,,15 and under,,,,Percentage (%),Undefined,Units,4.252618300895361
2015,Household (%),Repair,,,,15 and under,,,,Percentage (%),Undefined,Units,3.837292928402392
2016,Household (%),Repair,,,,15 and under,,,,Percentage (%),Undefined,Units,3.838388367528897
2017,Household (%),Repair,,,,15 and under,,,,Percentage (%),Undefined,Units,3.4618608047985644
2008,Household (%),Repair,,,,16 and over,,,,Percentage (%),Undefined,Units,6.008341952365081
2009,Household (%),Repair,,,,16 and over,,,,Percentage (%),Undefined,Units,5.889542509574211
2010,Household (%),Repair,,,,16 and over,,,,Percentage (%),Undefined,Units,5.469
2011,Household (%),Repair,,,,16 and over,,,,Percentage (%),Undefined,Units,5.192
2012,Household (%),Repair,,,,16 and over,,,,Percentage (%),Undefined,Units,4.914
2013,Household (%),Repair,,,,16 and over,,,,Percentage (%),Undefined,Units,4.50508715683933
2014,Household (%),Repair,,,,16 and over,,,,Percentage (%),Undefined,Units,4.281694574958195
2015,Household (%),Repair,,,,16 and over,,,,Percentage (%),Undefined,Units,4.064939343176064
2016,Household (%),Repair,,,,16 and over,,,,Percentage (%),Undefined,Units,3.7154642968456177
2017,Household (%),Repair,,,,16 and over,,,,Percentage (%),Undefined,Units,3.5074242886158387
2008,Household (%),Repair,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,8.244425851787575
2009,Household (%),Repair,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,7.151228722820514
2010,Household (%),Repair,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,6.73
2011,Household (%),Repair,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,6.343
2012,Household (%),Repair,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,6.424
2013,Household (%),Repair,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,6.011331438067442
2014,Household (%),Repair,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,5.830443230320124
2015,Household (%),Repair,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,5.625991218991844
2016,Household (%),Repair,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,5.865866843436081
2017,Household (%),Repair,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,4.754565337654405
2008,Household (%),Repair,,,,,2nd quintile,,,Percentage (%),Undefined,Units,5.705004506247862
2009,Household (%),Repair,,,,,2nd quintile,,,Percentage (%),Undefined,Units,5.447765053043851
2010,Household (%),Repair,,,,,2nd quintile,,,Percentage (%),Undefined,Units,5.023
2011,Household (%),Repair,,,,,2nd quintile,,,Percentage (%),Undefined,Units,5.847
2012,Household (%),Repair,,,,,2nd quintile,,,Percentage (%),Undefined,Units,5.404
2013,Household (%),Repair,,,,,2nd quintile,,,Percentage (%),Undefined,Units,4.191487829852592
2014,Household (%),Repair,,,,,2nd quintile,,,Percentage (%),Undefined,Units,3.875900409507196
2015,Household (%),Repair,,,,,2nd quintile,,,Percentage (%),Undefined,Units,3.252834576442998
2016,Household (%),Repair,,,,,2nd quintile,,,Percentage (%),Undefined,Units,3.683066466644217
2017,Household (%),Repair,,,,,2nd quintile,,,Percentage (%),Undefined,Units,4.134819420087763
2008,Household (%),Repair,,,,,3rd quintile,,,Percentage (%),Undefined,Units,6.267430123353653
2009,Household (%),Repair,,,,,3rd quintile,,,Percentage (%),Undefined,Units,6.270359653921937
2010,Household (%),Repair,,,,,3rd quintile,,,Percentage (%),Undefined,Units,6.081
2011,Household (%),Repair,,,,,3rd quintile,,,Percentage (%),Undefined,Units,4.627
2012,Household (%),Repair,,,,,3rd quintile,,,Percentage (%),Undefined,Units,3.664
2013,Household (%),Repair,,,,,3rd quintile,,,Percentage (%),Undefined,Units,4.893303808000238
2014,Household (%),Repair,,,,,3rd quintile,,,Percentage (%),Undefined,Units,5.497081572479305
2015,Household (%),Repair,,,,,3rd quintile,,,Percentage (%),Undefined,Units,4.57389262855602
2016,Household (%),Repair,,,,,3rd quintile,,,Percentage (%),Undefined,Units,3.51745812221912
2017,Household (%),Repair,,,,,3rd quintile,,,Percentage (%),Undefined,Units,3.287128283987786
2008,Household (%),Repair,,,,,4th quintile,,,Percentage (%),Undefined,Units,4.93430377313157
2009,Household (%),Repair,,,,,4th quintile,,,Percentage (%),Undefined,Units,5.034366441058046
2010,Household (%),Repair,,,,,4th quintile,,,Percentage (%),Undefined,Units,5.089
2011,Household (%),Repair,,,,,4th quintile,,,Percentage (%),Undefined,Units,4.996
2012,Household (%),Repair,,,,,4th quintile,,,Percentage (%),Undefined,Units,4.172
2013,Household (%),Repair,,,,,4th quintile,,,Percentage (%),Undefined,Units,3.453811505767463
2014,Household (%),Repair,,,,,4th quintile,,,Percentage (%),Undefined,Units,3.759254080708391
2015,Household (%),Repair,,,,,4th quintile,,,Percentage (%),Undefined,Units,4.014353155699504
2016,Household (%),Repair,,,,,4th quintile,,,Percentage (%),Undefined,Units,3.4771340580687142
2017,Household (%),Repair,,,,,4th quintile,,,Percentage (%),Undefined,Units,2.810336696068891
2008,Household (%),Repair,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,5.106214801809792
2009,Household (%),Repair,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,4.609158573404784
2010,Household (%),Repair,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,3.938
2011,Household (%),Repair,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,3.826
2012,Household (%),Repair,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,3.687
2013,Household (%),Repair,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,2.994054220200915
2014,Household (%),Repair,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,2.688783890657635
2015,Household (%),Repair,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,2.754163519751751
2016,Household (%),Repair,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,2.389095883280598
2017,Household (%),Repair,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,2.5501212687218047
2008,Household (%),Repair,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,5.984319801977997
2009,Household (%),Repair,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,5.598491725585989
2010,Household (%),Repair,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,5.36
2011,Household (%),Repair,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,5.046
2012,Household (%),Repair,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,4.574
2013,Household (%),Repair,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,4.117343819668268
2014,Household (%),Repair,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,3.966163583203508
2015,Household (%),Repair,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,4.176720987738785
2016,Household (%),Repair,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,4.031915975439078
2017,Household (%),Repair,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,3.426389950547689
2008,Household (%),Repair,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,6.184488106571922
2009,Household (%),Repair,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,5.86571561274934
2010,Household (%),Repair,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,5.282
2011,Household (%),Repair,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,5.275
2012,Household (%),Repair,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,4.608
2013,Household (%),Repair,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,4.545586711295129
2014,Household (%),Repair,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,4.877319374695438
2015,Household (%),Repair,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,3.602973412728649
2016,Household (%),Repair,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,3.1592669741375943
2017,Household (%),Repair,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,3.632925097962868
2008,Household (%),Repair,,,,,,,White,Percentage (%),Undefined,Units,5.824092587123638
2009,Household (%),Repair,,,,,,,White,Percentage (%),Undefined,Units,5.544907888075731
2010,Household (%),Repair,,,,,,,White,Percentage (%),Undefined,Units,5.236
2011,Household (%),Repair,,,,,,,White,Percentage (%),Undefined,Units,4.919
2012,Household (%),Repair,,,,,,,White,Percentage (%),Undefined,Units,4.386
2013,Household (%),Repair,,,,,,,White,Percentage (%),Undefined,Units,4.079794009679421
2014,Household (%),Repair,,,,,,,White,Percentage (%),Undefined,Units,3.994411041713406
2015,Household (%),Repair,,,,,,,White,Percentage (%),Undefined,Units,3.819116757230955
2016,Household (%),Repair,,,,,,,White,Percentage (%),Undefined,Units,3.7776806685752304
2017,Household (%),Repair,,,,,,,White,Percentage (%),Undefined,Units,3.454083197228192
2008,Household (%),Repair,,,,,,,Asian,Percentage (%),Undefined,Units,9.371439176023024
2009,Household (%),Repair,,,,,,,Asian,Percentage (%),Undefined,Units,6.469475691045433
2010,Household (%),Repair,,,,,,,Asian,Percentage (%),Undefined,Units,5.69
2011,Household (%),Repair,,,,,,,Asian,Percentage (%),Undefined,Units,6.105
2012,Household (%),Repair,,,,,,,Asian,Percentage (%),Undefined,Units,6.525
2013,Household (%),Repair,,,,,,,Asian,Percentage (%),Undefined,Units,6.433412500724094
2014,Household (%),Repair,,,,,,,Asian,Percentage (%),Undefined,Units,7.531546205624355
