Year,Series,Country,Region,Sex,Sector,Observation status,Unit multiplier,Units,GeoCode,Value
2020,Unpaid Family Workers as a proportion of all employees,Scotland,,,,Undefined,Units,Percentage (%),S92000003,0.219050779953535
2012,Unpaid Family Workers as a proportion of all employees,Wales,,,,Undefined,Units,Percentage (%),W92000004,0.411969875033537
2013,Unpaid Family Workers as a proportion of all employees,Wales,,,,Undefined,Units,Percentage (%),W92000004,0.447255610967973
2014,Unpaid Family Workers as a proportion of all employees,Wales,,,,Undefined,Units,Percentage (%),W92000004,0.600924184480879
2015,Unpaid Family Workers as a proportion of all employees,Wales,,,,Undefined,Units,Percentage (%),W92000004,0.503115674126765
2016,Unpaid Family Workers as a proportion of all employees,Wales,,,,Undefined,Units,Percentage (%),W92000004,0.655815255145021
2017,Unpaid Family Workers as a proportion of all employees,Wales,,,,Undefined,Units,Percentage (%),W92000004,0.714068619059763
2018,Unpaid Family Workers as a proportion of all employees,Wales,,,,Undefined,Units,Percentage (%),W92000004,0.726895978964301
2019,Unpaid Family Workers as a proportion of all employees,Wales,,,,Undefined,Units,Percentage (%),W92000004,0.629539984910315
2020,Unpaid Family Workers as a proportion of all employees,Wales,,,,Undefined,Units,Percentage (%),W92000004,0.617046940861747
2012,Unpaid Family Workers as a proportion of all employees,,,,,Undefined,Units,Percentage (%),,0.384630854712602
2013,Unpaid Family Workers as a proportion of all employees,,,,,Undefined,Units,Percentage (%),,0.403320462838702
2014,Unpaid Family Workers as a proportion of all employees,,,,,Undefined,Units,Percentage (%),,0.39323805453706
2015,Unpaid Family Workers as a proportion of all employees,,,,,Undefined,Units,Percentage (%),,0.387003110305845
2016,Unpaid Family Workers as a proportion of all employees,,,,,Undefined,Units,Percentage (%),,0.407996366042885
2017,Unpaid Family Workers as a proportion of all employees,,,,,Undefined,Units,Percentage (%),,0.368558153786145
2018,Unpaid Family Workers as a proportion of all employees,,,,,Undefined,Units,Percentage (%),,0.40561330377834
2019,Unpaid Family Workers as a proportion of all employees,,,,,Undefined,Units,Percentage (%),,0.378889840204496
2020,Unpaid Family Workers as a proportion of all employees,,,,,Undefined,Units,Percentage (%),,0.292398980701723
