Year,Series,Sex,Age,Country,Region,Socio-economic classification,Ethnicity,Country of birth,Units,Unit multiplier,Observation status,GeoCode,Value
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,North East,,,,Percentage (%),Units,Normal value,E12000001,24.4
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,North East,,,,Percentage (%),Units,Normal value,E12000001,26.6
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,North East,,,,Percentage (%),Units,Normal value,E12000001,26.7
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,North East,,,,Percentage (%),Units,Normal value,E12000001,25.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North East,,,,Percentage (%),Units,Normal value,E12000001,18.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North East,,,,Percentage (%),Units,Normal value,E12000001,21.4
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North East,,,,Percentage (%),Units,Normal value,E12000001,19.9
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North East,,,,Percentage (%),Units,Normal value,E12000001,18.3
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North East,,,,Percentage (%),Units,Normal value,E12000001,19.6
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North East,,,,Percentage (%),Units,Normal value,E12000001,19.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North East,,,,Percentage (%),Units,Normal value,E12000001,23.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North East,,,,Percentage (%),Units,Normal value,E12000001,21.3
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North East,,,,Percentage (%),Units,Normal value,E12000001,21.4
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North East,,,,Percentage (%),Units,Normal value,E12000001,23.0
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North East,,,,Percentage (%),Units,Normal value,E12000001,21.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North East,,,,Percentage (%),Units,Normal value,E12000001,15.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North East,,,,Percentage (%),Units,Normal value,E12000001,17.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North East,,,,Percentage (%),Units,Normal value,E12000001,14.3
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North East,,,,Percentage (%),Units,Normal value,E12000001,15.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North East,,,,Percentage (%),Units,Normal value,E12000001,16.0
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North East,,,,Percentage (%),Units,Normal value,E12000001,16.9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North East,,,,Percentage (%),Units,Normal value,E12000001,17.0
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North East,,,,Percentage (%),Units,Normal value,E12000001,19.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North East,,,,Percentage (%),Units,Normal value,E12000001,19.9
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North East,,,,Percentage (%),Units,Normal value,E12000001,21.4
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North East,,,,Percentage (%),Units,Normal value,E12000001,20.3
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North East,,,,Percentage (%),Units,Normal value,E12000001,7.8
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North East,,,,Percentage (%),Units,Normal value,E12000001,8.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North East,,,,Percentage (%),Units,Normal value,E12000001,8.3
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North East,,,,Percentage (%),Units,Normal value,E12000001,9.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North East,,,,Percentage (%),Units,Normal value,E12000001,8.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North East,,,,Percentage (%),Units,Normal value,E12000001,8.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North East,,,,Percentage (%),Units,Normal value,E12000001,9.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North East,,,,Percentage (%),Units,Normal value,E12000001,11.3
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North East,,,,Percentage (%),Units,Normal value,E12000001,11.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North East,,,,Percentage (%),Units,Normal value,E12000001,10.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North East,,,,Percentage (%),Units,Normal value,E12000001,11.0
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North East,,,,Percentage (%),Units,Normal value,E12000001,15.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North East,,,,Percentage (%),Units,Normal value,E12000001,16.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North East,,,,Percentage (%),Units,Normal value,E12000001,15.9
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North East,,,,Percentage (%),Units,Normal value,E12000001,16.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North East,,,,Percentage (%),Units,Normal value,E12000001,17.0
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North East,,,,Percentage (%),Units,Normal value,E12000001,17.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North East,,,,Percentage (%),Units,Normal value,E12000001,20.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North East,,,,Percentage (%),Units,Normal value,E12000001,20.8
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North East,,,,Percentage (%),Units,Normal value,E12000001,22.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North East,,,,Percentage (%),Units,Normal value,E12000001,22.8
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North East,,,,Percentage (%),Units,Normal value,E12000001,22.1
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,North West,,,,Percentage (%),Units,Normal value,E12000002,17.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,North West,,,,Percentage (%),Units,Normal value,E12000002,17.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,North West,,,,Percentage (%),Units,Normal value,E12000002,16.9
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,North West,,,,Percentage (%),Units,Normal value,E12000002,20.1
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,North West,,,,Percentage (%),Units,Normal value,E12000002,22.6
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,North West,,,,Percentage (%),Units,Normal value,E12000002,19.1
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,North West,,,,Percentage (%),Units,Normal value,E12000002,22.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,North West,,,,Percentage (%),Units,Normal value,E12000002,25.8
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,North West,,,,Percentage (%),Units,Normal value,E12000002,26.2
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,North West,,,,Percentage (%),Units,Normal value,E12000002,26.6
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,North West,,,,Percentage (%),Units,Normal value,E12000002,25.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,North West,,,,Percentage (%),Units,Normal value,E12000002,16.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,North West,,,,Percentage (%),Units,Normal value,E12000002,18.4
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,North West,,,,Percentage (%),Units,Normal value,E12000002,18.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,North West,,,,Percentage (%),Units,Normal value,E12000002,21.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,North West,,,,Percentage (%),Units,Normal value,E12000002,20.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,North West,,,,Percentage (%),Units,Normal value,E12000002,21.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,North West,,,,Percentage (%),Units,Normal value,E12000002,27.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,North West,,,,Percentage (%),Units,Normal value,E12000002,28.6
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,North West,,,,Percentage (%),Units,Normal value,E12000002,27.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,North West,,,,Percentage (%),Units,Normal value,E12000002,29.8
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,North West,,,,Percentage (%),Units,Normal value,E12000002,31.0
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,North West,,,,Percentage (%),Units,Normal value,E12000002,21.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,North West,,,,Percentage (%),Units,Normal value,E12000002,20.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,North West,,,,Percentage (%),Units,Normal value,E12000002,18.0
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,North West,,,,Percentage (%),Units,Normal value,E12000002,18.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,North West,,,,Percentage (%),Units,Normal value,E12000002,20.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,North West,,,,Percentage (%),Units,Normal value,E12000002,22.1
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,North West,,,,Percentage (%),Units,Normal value,E12000002,24.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,North West,,,,Percentage (%),Units,Normal value,E12000002,26.2
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,North West,,,,Percentage (%),Units,Normal value,E12000002,24.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,North West,,,,Percentage (%),Units,Normal value,E12000002,26.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,North West,,,,Percentage (%),Units,Normal value,E12000002,28.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North West,,,,Percentage (%),Units,Normal value,E12000002,19.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North West,,,,Percentage (%),Units,Normal value,E12000002,19.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North West,,,,Percentage (%),Units,Normal value,E12000002,16.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North West,,,,Percentage (%),Units,Normal value,E12000002,17.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North West,,,,Percentage (%),Units,Normal value,E12000002,19.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North West,,,,Percentage (%),Units,Normal value,E12000002,20.3
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North West,,,,Percentage (%),Units,Normal value,E12000002,22.6
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North West,,,,Percentage (%),Units,Normal value,E12000002,22.8
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North West,,,,Percentage (%),Units,Normal value,E12000002,22.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North West,,,,Percentage (%),Units,Normal value,E12000002,23.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,North West,,,,Percentage (%),Units,Normal value,E12000002,24.3
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North West,,,,Percentage (%),Units,Normal value,E12000002,17.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North West,,,,Percentage (%),Units,Normal value,E12000002,16.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North West,,,,Percentage (%),Units,Normal value,E12000002,16.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North West,,,,Percentage (%),Units,Normal value,E12000002,15.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North West,,,,Percentage (%),Units,Normal value,E12000002,16.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North West,,,,Percentage (%),Units,Normal value,E12000002,17.9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North West,,,,Percentage (%),Units,Normal value,E12000002,18.7
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North West,,,,Percentage (%),Units,Normal value,E12000002,19.2
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North West,,,,Percentage (%),Units,Normal value,E12000002,19.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North West,,,,Percentage (%),Units,Normal value,E12000002,21.0
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,North West,,,,Percentage (%),Units,Normal value,E12000002,20.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North West,,,,Percentage (%),Units,Normal value,E12000002,9.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North West,,,,Percentage (%),Units,Normal value,E12000002,9.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North West,,,,Percentage (%),Units,Normal value,E12000002,10.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North West,,,,Percentage (%),Units,Normal value,E12000002,8.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North West,,,,Percentage (%),Units,Normal value,E12000002,10.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North West,,,,Percentage (%),Units,Normal value,E12000002,9.4
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North West,,,,Percentage (%),Units,Normal value,E12000002,10.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North West,,,,Percentage (%),Units,Normal value,E12000002,11.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North West,,,,Percentage (%),Units,Normal value,E12000002,11.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North West,,,,Percentage (%),Units,Normal value,E12000002,11.5
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,North West,,,,Percentage (%),Units,Normal value,E12000002,12.1
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North West,,,,Percentage (%),Units,Normal value,E12000002,16.4
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North West,,,,Percentage (%),Units,Normal value,E12000002,16.4
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North West,,,,Percentage (%),Units,Normal value,E12000002,15.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North West,,,,Percentage (%),Units,Normal value,E12000002,16.3
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North West,,,,Percentage (%),Units,Normal value,E12000002,17.6
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North West,,,,Percentage (%),Units,Normal value,E12000002,17.9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North West,,,,Percentage (%),Units,Normal value,E12000002,20.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North West,,,,Percentage (%),Units,Normal value,E12000002,21.8
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North West,,,,Percentage (%),Units,Normal value,E12000002,21.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North West,,,,Percentage (%),Units,Normal value,E12000002,22.6
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,North West,,,,Percentage (%),Units,Normal value,E12000002,23.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,17.7
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,18.4
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,17.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,20.9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,25.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,26.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,23.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,27.3
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,27.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,29.7
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,29.8
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,22.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,24.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,26.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,24.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,22.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,25.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,28.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,29.3
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,32.6
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,31.7
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,34.8
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,21.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,20.0
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,21.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,22.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,24.0
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,22.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,22.9
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,24.4
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,27.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,30.0
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,28.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,16.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,18.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,19.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,21.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,19.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,18.4
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,21.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,23.3
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,22.4
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,24.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,23.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,13.7
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,14.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,13.0
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,15.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,15.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,16.9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,18.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,18.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,17.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,21.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,19.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,9.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,9.6
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,8.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,8.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,9.5
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,9.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,9.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,10.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,10.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,11.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,10.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,16.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,16.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,17.3
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,Yorkshire and The Humber,,,,Percentage (%),Units,Normal value,E12000003,18.3
