Year,Series,Type of heritage,Area of spending,Observation status,Unit multiplier,Unit measure,Value
2019,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,74.31493724250264
2000,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2001,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0169167526601593
2002,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.1684474368195776
2003,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.167681981061997
2004,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.1668045584349729
2005,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.198631758238666
2006,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.2466006105831118
2007,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.2283138532692097
2008,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.2426250084918753
2009,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.256984765621863
2010,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.7488906062030449
2011,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.7742738812137454
2012,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.8790518797582607
2013,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.8891565024638994
2014,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,1.1146062962871226
2015,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,1.44371064352634
2016,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,1.645135198124546
2017,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,1.923071099118416
2018,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,1.881521353009531
2019,Central government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,1.886317907444668
2000,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0509458089430273
2001,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0169167526601593
2002,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0336894873639155
2003,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0838409905309985
2004,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0333609116869945
2005,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,1.075922023792774
2006,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,1.8084044776094863
2007,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,2.1689816060574927
2008,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,2.490950087183253
2009,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,2.248616699191301
2010,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,2.6609517284235853
2011,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,2.228012596962002
2012,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,2.1348402794129187
2013,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,1.8407099524691253
2014,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,1.997002947514428
2015,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,1.9966211027491936
2016,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,2.8637538634019872
2017,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,3.0738853001656565
2018,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,2.257825623611437
2019,Central government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,2.021054900833573
2000,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,0.2886929173438214
2001,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,0.6259198484258961
2002,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,0.8590819277798459
2003,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,1.190542065540179
2004,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,1.200992820731805
2005,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,2.102186108025882
2006,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,2.005684966075976
2007,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,1.8754352232827944
2008,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,1.7630750617076272
2009,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,1.8470780029071403
2010,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,1.5615165831467746
2011,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,1.422135700188512
2012,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,3.374931324071894
2013,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,3.353835930346288
2014,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,2.554306095657989
2015,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,4.116111196436799
2016,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,3.7624851290441006
2017,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,4.058134287903428
2018,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,2.1374082570188278
2019,Central government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,1.886317907444668
2000,Local government expenditure,,,Normal value,Units,GBP (£) per capita,194.10353207293403
2001,Local government expenditure,,,Normal value,Units,GBP (£) per capita,157.69796829800552
2002,Local government expenditure,,,Normal value,Units,GBP (£) per capita,167.11670206870298
2003,Local government expenditure,,,Normal value,Units,GBP (£) per capita,182.9410413386388
2004,Local government expenditure,,,Normal value,Units,GBP (£) per capita,193.77685553390805
2005,Local government expenditure,,,Normal value,Units,GBP (£) per capita,212.7511657201312
2006,Local government expenditure,,,Normal value,Units,GBP (£) per capita,222.13783001326712
2007,Local government expenditure,,,Normal value,Units,GBP (£) per capita,228.91725416713552
2008,Local government expenditure,,,Normal value,Units,GBP (£) per capita,235.0551082269288
2009,Local government expenditure,,,Normal value,Units,GBP (£) per capita,240.08801728222548
2010,Local government expenditure,,,Normal value,Units,GBP (£) per capita,237.9719405030314
2011,Local government expenditure,,,Normal value,Units,GBP (£) per capita,230.3069758916396
2012,Local government expenditure,,,Normal value,Units,GBP (£) per capita,212.6206734165293
2013,Local government expenditure,,,Normal value,Units,GBP (£) per capita,204.89597648883017
2014,Local government expenditure,,,Normal value,Units,GBP (£) per capita,199.8396205384787
2015,Local government expenditure,,,Normal value,Units,GBP (£) per capita,192.4896329288896
2016,Local government expenditure,,,Normal value,Units,GBP (£) per capita,183.6610655906264
2017,Local government expenditure,,,Normal value,Units,GBP (£) per capita,192.3828213724368
2018,Local government expenditure,,,Normal value,Units,GBP (£) per capita,192.81830825641677
2019,Local government expenditure,,,Normal value,Units,GBP (£) per capita,190.6378748682572
2000,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,72.69966936169996
2001,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,78.27381455855733
2002,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,84.1900289224249
2003,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,93.93544579093076
2004,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,102.2178334089514
2005,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,114.1470504011534
2006,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,119.108094911643
2007,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,123.51779461864248
2008,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,128.38097949333428
2009,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,130.75706105797417
2010,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,131.23112835506976
2011,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,130.63106481620477
2012,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,120.11616042696804
2013,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,120.44170799164506
2014,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,120.71805414509696
2015,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,121.82460451543542
2016,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,120.94790252878606
2017,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,120.48721839122231
2018,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,120.92914040062858
2019,Local government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,123.359202836064
2000,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,72.69966936169996
2001,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,78.27381455855733
2002,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,84.1900289224249
2003,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,93.93544579093076
2004,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,102.2178334089514
2005,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,114.1470504011534
2006,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,119.108094911643
2007,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,123.51779461864248
2008,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,128.38097949333428
2009,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,130.75706105797417
2010,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,131.23112835506976
2011,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,130.63106481620477
2012,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,120.11616042696804
2013,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,120.44170799164506
2014,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,120.71805414509696
2015,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,121.82460451543542
2016,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,120.94790252878606
2017,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,120.48721839122231
2018,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,120.92914040062858
2019,Local government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,123.359202836064
2000,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2001,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2002,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2003,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2004,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2005,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2006,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2007,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2008,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2009,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2010,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2011,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2012,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2013,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2014,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2015,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2016,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2017,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2018,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2019,Local government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2000,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2001,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2002,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2003,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2004,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2005,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2006,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2007,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2008,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2009,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2010,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2011,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2012,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2013,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2014,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2015,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2016,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2017,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2018,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2019,Local government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.0
2000,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2001,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2002,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2003,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2004,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2005,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2006,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2007,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2008,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2009,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2010,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2011,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2012,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2013,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2014,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2015,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2016,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2017,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2018,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2019,Local government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,0.0
2000,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2001,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2002,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2003,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2004,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2005,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2006,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2007,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2008,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2009,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2010,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2011,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2012,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2013,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2014,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2015,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2016,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2017,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2018,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2019,Local government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,0.0
2000,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2001,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2002,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2003,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2004,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2005,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2006,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2007,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2008,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2009,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2010,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2011,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2012,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2013,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2014,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2015,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2016,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2017,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2018,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2019,Local government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,0.0
2000,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,121.40386271123408
2001,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,79.42415373944817
2002,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,82.92667314627808
2003,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,89.00559554770804
2004,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,91.55902212495664
2005,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,98.60411531897778
2006,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,103.02973510162413
2007,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,105.39945954849304
2008,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,106.6741287335945
2009,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,109.33095622425134
2010,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,106.74081214796166
2011,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,99.67591107543484
2012,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,92.50451298956126
2013,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,84.45426849718511
2014,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,79.12156639338171
2015,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,70.66502841345415
2016,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,62.713163061840326
2017,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,71.89560298121447
2018,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,71.88916785578816
2019,Local government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,67.27867203219316
2000,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,54.851654295326064
2001,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,45.506064655828666
2002,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,47.485332439438935
2003,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,51.5286727803517
2004,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,54.01131602124423
2005,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,57.75218370789214
2006,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,60.82815061050091
2007,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,62.00351929496682
2008,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,62.72665219543283
2009,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,64.39074533612805
2010,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,63.20955393207402
2011,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,59.98252353239546
2012,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,56.96570127933443
2013,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,52.226245092090096
2014,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,50.12632204691254
2015,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,46.44447857471971
2016,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,43.30666081729707
2017,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,45.4874455256041
2018,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,45.45755588871027
2019,Local government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,43.57993197278911
2000,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,47.88906040644567
2001,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,40.02503679393703
2002,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,41.80865381861917
2003,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,44.18420200983622
2004,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,44.73698257225973
2005,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,48.30062254503561
2006,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,49.97772374484399
2007,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,50.96291367616289
2008,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,51.43650180027757
2009,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,52.69793850033327
2010,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,52.13553326588006
