Year,Series,Water area extent,Quality measure,Water type,Deviation level,Geography (HydroBASINs ID),Units,Observation status,Unit multiplier,Value
2012 to 2016,Open water area,,,Permanent,,2060049670 (South East Wye),% of total land area,Normal value,Units,0.1556786889927988
2013 to 2017,Open water area,,,Permanent,,2060049670 (South East Wye),% of total land area,Normal value,Units,0.1765714346652298
2014 to 2018,Open water area,,,Permanent,,2060049670 (South East Wye),% of total land area,Normal value,Units,0.1847991088459658
2015 to 2019,Open water area,,,Permanent,,2060049670 (South East Wye),% of total land area,Normal value,Units,0.1892365061569239
2016 to 2020,Open water area,,,Permanent,,2060049670 (South East Wye),% of total land area,Normal value,Units,0.1846142172913424
2001 to 2005 (baseline),Open water area,,,Permanent,,2060049670 (South East Wye),% of total land area,Normal value,Units,0.002146290787006
1984 to 1988,Open water area,,,Permanent,,2060049680 (Wye),% of total land area,Normal value,Units,0.1437484567217259
1985 to 1989,Open water area,,,Permanent,,2060049680 (Wye),% of total land area,Normal value,Units,0.1422511032667911
1986 to 1990,Open water area,,,Permanent,,2060049680 (Wye),% of total land area,Normal value,Units,0.1422536283147759
1998 to 2002,Open water area,,,Permanent,,2060049680 (Wye),% of total land area,Normal value,Units,0.1270275889669564
1999 to 2003,Open water area,,,Permanent,,2060049680 (Wye),% of total land area,Normal value,Units,0.1304212534584107
2009 to 2013,Open water area,,,Permanent,,2060049680 (Wye),% of total land area,Normal value,Units,0.1428924654549083
2010 to 2014,Open water area,,,Permanent,,2060049680 (Wye),% of total land area,Normal value,Units,0.1427258122879173
2011 to 2015,Open water area,,,Permanent,,2060049680 (Wye),% of total land area,Normal value,Units,0.1457003188139092
2012 to 2016,Open water area,,,Permanent,,2060049680 (Wye),% of total land area,Normal value,Units,0.1436222043224904
2013 to 2017,Open water area,,,Permanent,,2060049680 (Wye),% of total land area,Normal value,Units,0.1540052016356302
2014 to 2018,Open water area,,,Permanent,,2060049680 (Wye),% of total land area,Normal value,Units,0.1532880880079716
2015 to 2019,Open water area,,,Permanent,,2060049680 (Wye),% of total land area,Normal value,Units,0.1524825977008482
2016 to 2020,Open water area,,,Permanent,,2060049680 (Wye),% of total land area,Normal value,Units,0.1523462451096735
2001 to 2005 (baseline),Open water area,,,Permanent,,2060049680 (Wye),% of total land area,Normal value,Units,0.149722720253557
1984 to 1988,Open water area,,,Permanent,,2060049690 (Wales & Dee),% of total land area,Normal value,Units,0.2788569740492048
1985 to 1989,Open water area,,,Permanent,,2060049690 (Wales & Dee),% of total land area,Normal value,Units,0.2839510300665895
1986 to 1990,Open water area,,,Permanent,,2060049690 (Wales & Dee),% of total land area,Normal value,Units,0.2813188162526493
1998 to 2002,Open water area,,,Permanent,,2060049690 (Wales & Dee),% of total land area,Normal value,Units,0.2685288154478781
1999 to 2003,Open water area,,,Permanent,,2060049690 (Wales & Dee),% of total land area,Normal value,Units,0.2829773204739171
2009 to 2013,Open water area,,,Permanent,,2060049690 (Wales & Dee),% of total land area,Normal value,Units,0.2912472356384109
2010 to 2014,Open water area,,,Permanent,,2060049690 (Wales & Dee),% of total land area,Normal value,Units,0.2910145598467303
2011 to 2015,Open water area,,,Permanent,,2060049690 (Wales & Dee),% of total land area,Normal value,Units,0.2981872597850528
2012 to 2016,Open water area,,,Permanent,,2060049690 (Wales & Dee),% of total land area,Normal value,Units,0.2962652033637294
2013 to 2017,Open water area,,,Permanent,,2060049690 (Wales & Dee),% of total land area,Normal value,Units,0.3101380839193554
2014 to 2018,Open water area,,,Permanent,,2060049690 (Wales & Dee),% of total land area,Normal value,Units,0.307847164690842
2015 to 2019,Open water area,,,Permanent,,2060049690 (Wales & Dee),% of total land area,Normal value,Units,0.3050677365726867
2016 to 2020,Open water area,,,Permanent,,2060049690 (Wales & Dee),% of total land area,Normal value,Units,0.3050677365726867
2001 to 2005 (baseline),Open water area,,,Permanent,,2060049690 (Wales & Dee),% of total land area,Normal value,Units,0.2961598927565945
1984 to 1988,Open water area,,,Permanent,,2060050410 (Mersey),% of total land area,Normal value,Units,0.4567761422618141
1985 to 1989,Open water area,,,Permanent,,2060050410 (Mersey),% of total land area,Normal value,Units,0.4578261822432595
1986 to 1990,Open water area,,,Permanent,,2060050410 (Mersey),% of total land area,Normal value,Units,0.4433531311656728
1998 to 2002,Open water area,,,Permanent,,2060050410 (Mersey),% of total land area,Normal value,Units,0.4162620996443913
1999 to 2003,Open water area,,,Permanent,,2060050410 (Mersey),% of total land area,Normal value,Units,0.4335833841716432
2009 to 2013,Open water area,,,Permanent,,2060050410 (Mersey),% of total land area,Normal value,Units,0.468431586055856
2010 to 2014,Open water area,,,Permanent,,2060050410 (Mersey),% of total land area,Normal value,Units,0.4780963290517394
2011 to 2015,Open water area,,,Permanent,,2060050410 (Mersey),% of total land area,Normal value,Units,0.4932169047845521
2012 to 2016,Open water area,,,Permanent,,2060050410 (Mersey),% of total land area,Normal value,Units,0.4848034594332218
2013 to 2017,Open water area,,,Permanent,,2060050410 (Mersey),% of total land area,Normal value,Units,0.4809051860021078
2014 to 2018,Open water area,,,Permanent,,2060050410 (Mersey),% of total land area,Normal value,Units,0.4805420471751884
2015 to 2019,Open water area,,,Permanent,,2060050410 (Mersey),% of total land area,Normal value,Units,0.4704091613542437
2016 to 2020,Open water area,,,Permanent,,2060050410 (Mersey),% of total land area,Normal value,Units,0.464450184459543
2001 to 2005 (baseline),Open water area,,,Permanent,,2060050410 (Mersey),% of total land area,Normal value,Units,0.4690178583788303
1984 to 1988,Open water area,,,Permanent,,2060050420 (North West England),% of total land area,Normal value,Units,0.4928804552297426
1985 to 1989,Open water area,,,Permanent,,2060050420 (North West England),% of total land area,Normal value,Units,0.5619264632860244
1986 to 1990,Open water area,,,Permanent,,2060050420 (North West England),% of total land area,Normal value,Units,0.5925458303103265
1998 to 2002,Open water area,,,Permanent,,2060050420 (North West England),% of total land area,Normal value,Units,0.5538944967552227
1999 to 2003,Open water area,,,Permanent,,2060050420 (North West England),% of total land area,Normal value,Units,0.5920046694447756
2009 to 2013,Open water area,,,Permanent,,2060050420 (North West England),% of total land area,Normal value,Units,0.6608650160735001
2010 to 2014,Open water area,,,Permanent,,2060050420 (North West England),% of total land area,Normal value,Units,0.6659801993815972
2011 to 2015,Open water area,,,Permanent,,2060050420 (North West England),% of total land area,Normal value,Units,0.6909991316394135
2012 to 2016,Open water area,,,Permanent,,2060050420 (North West England),% of total land area,Normal value,Units,0.6868618355094152
2013 to 2017,Open water area,,,Permanent,,2060050420 (North West England),% of total land area,Normal value,Units,0.7070556804396917
2014 to 2018,Open water area,,,Permanent,,2060050420 (North West England),% of total land area,Normal value,Units,0.7001556156803053
2015 to 2019,Open water area,,,Permanent,,2060050420 (North West England),% of total land area,Normal value,Units,0.6923947570295172
2016 to 2020,Open water area,,,Permanent,,2060050420 (North West England),% of total land area,Normal value,Units,0.6798794889809973
2001 to 2005 (baseline),Open water area,,,Permanent,,2060050420 (North West England),% of total land area,Normal value,Units,0.6545831194763205
1984 to 1988,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% of total land area,Normal value,Units,0.3851558000313566
1985 to 1989,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% of total land area,Normal value,Units,0.3959183805547365
1986 to 1990,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% of total land area,Normal value,Units,0.3910705470797941
1998 to 2002,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% of total land area,Normal value,Units,0.3593095876686565
1999 to 2003,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% of total land area,Normal value,Units,0.3800574112995013
2009 to 2013,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% of total land area,Normal value,Units,0.4068247222910986
2010 to 2014,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% of total land area,Normal value,Units,0.4057136534879029
2011 to 2015,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% of total land area,Normal value,Units,0.4132570097062738
2012 to 2016,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% of total land area,Normal value,Units,0.4128986335396242
2013 to 2017,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% of total land area,Normal value,Units,0.4312466717794621
2014 to 2018,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% of total land area,Normal value,Units,0.428629190837367
2015 to 2019,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% of total land area,Normal value,Units,0.4252620978561479
2016 to 2020,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% of total land area,Normal value,Units,0.4206750882961878
2001 to 2005 (baseline),Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% of total land area,Normal value,Units,0.4183913387413748
1984 to 1988,Open water area,,,Permanent,,2060051150 (Clyde),% of total land area,Normal value,Units,0.4488367759700309
1985 to 1989,Open water area,,,Permanent,,2060051150 (Clyde),% of total land area,Normal value,Units,0.4567686830421925
1986 to 1990,Open water area,,,Permanent,,2060051150 (Clyde),% of total land area,Normal value,Units,0.454970270940256
1998 to 2002,Open water area,,,Permanent,,2060051150 (Clyde),% of total land area,Normal value,Units,0.4385326443743033
1999 to 2003,Open water area,,,Permanent,,2060051150 (Clyde),% of total land area,Normal value,Units,0.4392709030387156
2009 to 2013,Open water area,,,Permanent,,2060051150 (Clyde),% of total land area,Normal value,Units,0.4774084359397161
2010 to 2014,Open water area,,,Permanent,,2060051150 (Clyde),% of total land area,Normal value,Units,0.4744658978507508
2011 to 2015,Open water area,,,Permanent,,2060051150 (Clyde),% of total land area,Normal value,Units,0.4753371130518841
2012 to 2016,Open water area,,,Permanent,,2060051150 (Clyde),% of total land area,Normal value,Units,0.4689202107270727
2013 to 2017,Open water area,,,Permanent,,2060051150 (Clyde),% of total land area,Normal value,Units,0.4825727477343857
2014 to 2018,Open water area,,,Permanent,,2060051150 (Clyde),% of total land area,Normal value,Units,0.478538566501831
2015 to 2019,Open water area,,,Permanent,,2060051150 (Clyde),% of total land area,Normal value,Units,0.4802460083418022
2016 to 2020,Open water area,,,Permanent,,2060051150 (Clyde),% of total land area,Normal value,Units,0.4828001733892987
2001 to 2005 (baseline),Open water area,,,Permanent,,2060051150 (Clyde),% of total land area,Normal value,Units,0.4472587918105505
1984 to 1988,Open water area,,,Permanent,,2060051160 (North West Scotland),% of total land area,Normal value,Units,1.9032120252162728
1985 to 1989,Open water area,,,Permanent,,2060051160 (North West Scotland),% of total land area,Normal value,Units,1.9397849988862608
1986 to 1990,Open water area,,,Permanent,,2060051160 (North West Scotland),% of total land area,Normal value,Units,2.0842800217449744
1998 to 2002,Open water area,,,Permanent,,2060051160 (North West Scotland),% of total land area,Normal value,Units,2.0888499734985
1999 to 2003,Open water area,,,Permanent,,2060051160 (North West Scotland),% of total land area,Normal value,Units,2.085420362598068
2009 to 2013,Open water area,,,Permanent,,2060051160 (North West Scotland),% of total land area,Normal value,Units,2.0123959243810714
2010 to 2014,Open water area,,,Permanent,,2060051160 (North West Scotland),% of total land area,Normal value,Units,2.0159429092772614
2011 to 2015,Open water area,,,Permanent,,2060051160 (North West Scotland),% of total land area,Normal value,Units,2.1530535491779434
2012 to 2016,Open water area,,,Permanent,,2060051160 (North West Scotland),% of total land area,Normal value,Units,2.147754542686542
2013 to 2017,Open water area,,,Permanent,,2060051160 (North West Scotland),% of total land area,Normal value,Units,2.1886274124937963
2014 to 2018,Open water area,,,Permanent,,2060051160 (North West Scotland),% of total land area,Normal value,Units,2.1766371339840807
2015 to 2019,Open water area,,,Permanent,,2060051160 (North West Scotland),% of total land area,Normal value,Units,2.1630735986098197
2016 to 2020,Open water area,,,Permanent,,2060051160 (North West Scotland),% of total land area,Normal value,Units,2.153160744398999
2001 to 2005 (baseline),Open water area,,,Permanent,,2060051160 (North West Scotland),% of total land area,Normal value,Units,2.0777757847117675
1984 to 1988,Open water area,,,Permanent,,2060052380 (Spey),% of total land area,Normal value,Units,0.2210880513859105
1985 to 1989,Open water area,,,Permanent,,2060052380 (Spey),% of total land area,Normal value,Units,0.2485495368781103
1986 to 1990,Open water area,,,Permanent,,2060052380 (Spey),% of total land area,Normal value,Units,0.2559534551646192
1998 to 2002,Open water area,,,Permanent,,2060052380 (Spey),% of total land area,Normal value,Units,0.2732997780072979
1999 to 2003,Open water area,,,Permanent,,2060052380 (Spey),% of total land area,Normal value,Units,0.2670945893481282
2009 to 2013,Open water area,,,Permanent,,2060052380 (Spey),% of total land area,Normal value,Units,0.2919470750631772
2010 to 2014,Open water area,,,Permanent,,2060052380 (Spey),% of total land area,Normal value,Units,0.2927227236455733
2011 to 2015,Open water area,,,Permanent,,2060052380 (Spey),% of total land area,Normal value,Units,0.2988150906927579
2012 to 2016,Open water area,,,Permanent,,2060052380 (Spey),% of total land area,Normal value,Units,0.2977644394311484
2013 to 2017,Open water area,,,Permanent,,2060052380 (Spey),% of total land area,Normal value,Units,0.2952189018107392
2014 to 2018,Open water area,,,Permanent,,2060052380 (Spey),% of total land area,Normal value,Units,0.292066948025911
2015 to 2019,Open water area,,,Permanent,,2060052380 (Spey),% of total land area,Normal value,Units,0.2903464184431414
2016 to 2020,Open water area,,,Permanent,,2060052380 (Spey),% of total land area,Normal value,Units,0.2849450837693638
2001 to 2005 (baseline),Open water area,,,Permanent,,2060052380 (Spey),% of total land area,Normal value,Units,0.258220464430441
1984 to 1988,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% of total land area,Normal value,Units,0.1192710753024926
1985 to 1989,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% of total land area,Normal value,Units,0.1250862062234308
1986 to 1990,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% of total land area,Normal value,Units,0.1274961013976736
1998 to 2002,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% of total land area,Normal value,Units,0.1213952491829961
1999 to 2003,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% of total land area,Normal value,Units,0.1203671209210987
2009 to 2013,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% of total land area,Normal value,Units,0.1257407890234317
2010 to 2014,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% of total land area,Normal value,Units,0.1267454975071544
2011 to 2015,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% of total land area,Normal value,Units,0.131863890027376
2012 to 2016,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% of total land area,Normal value,Units,0.1315137643436541
2013 to 2017,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% of total land area,Normal value,Units,0.1349716945912443
2014 to 2018,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% of total land area,Normal value,Units,0.1347773104323885
2015 to 2019,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% of total land area,Normal value,Units,0.1343475575028712
2016 to 2020,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% of total land area,Normal value,Units,0.1332280921060893
2001 to 2005 (baseline),Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% of total land area,Normal value,Units,0.1127311022470269
1984 to 1988,Open water area,,,Permanent,,2060052660 (Tay),% of total land area,Normal value,Units,1.838249609224145
1985 to 1989,Open water area,,,Permanent,,2060052660 (Tay),% of total land area,Normal value,Units,1.9193353700335316
1986 to 1990,Open water area,,,Permanent,,2060052660 (Tay),% of total land area,Normal value,Units,1.9142041649380344
1998 to 2002,Open water area,,,Permanent,,2060052660 (Tay),% of total land area,Normal value,Units,1.8691517328340568
1999 to 2003,Open water area,,,Permanent,,2060052660 (Tay),% of total land area,Normal value,Units,1.8386537865147523
2009 to 2013,Open water area,,,Permanent,,2060052660 (Tay),% of total land area,Normal value,Units,1.9524512362656143
2010 to 2014,Open water area,,,Permanent,,2060052660 (Tay),% of total land area,Normal value,Units,1.9597202725124565
2011 to 2015,Open water area,,,Permanent,,2060052660 (Tay),% of total land area,Normal value,Units,1.9840488730811912
2012 to 2016,Open water area,,,Permanent,,2060052660 (Tay),% of total land area,Normal value,Units,1.974360928074805
2013 to 2017,Open water area,,,Permanent,,2060052660 (Tay),% of total land area,Normal value,Units,2.01058711294935
2014 to 2018,Open water area,,,Permanent,,2060052660 (Tay),% of total land area,Normal value,Units,1.9960141622123089
2015 to 2019,Open water area,,,Permanent,,2060052660 (Tay),% of total land area,Normal value,Units,1.988061922728044
2016 to 2020,Open water area,,,Permanent,,2060052660 (Tay),% of total land area,Normal value,Units,1.9775040732992508
2001 to 2005 (baseline),Open water area,,,Permanent,,2060052660 (Tay),% of total land area,Normal value,Units,1.888308095079825
1984 to 1988,Open water area,,,Permanent,,2060052670 (Firth of Forth),% of total land area,Normal value,Units,0.989630793840128
1985 to 1989,Open water area,,,Permanent,,2060052670 (Firth of Forth),% of total land area,Normal value,Units,1.0052544332299318
1986 to 1990,Open water area,,,Permanent,,2060052670 (Firth of Forth),% of total land area,Normal value,Units,1.000281357072612
1998 to 2002,Open water area,,,Permanent,,2060052670 (Firth of Forth),% of total land area,Normal value,Units,0.9805448668399096
1999 to 2003,Open water area,,,Permanent,,2060052670 (Firth of Forth),% of total land area,Normal value,Units,0.9782027816914066
2009 to 2013,Open water area,,,Permanent,,2060052670 (Firth of Forth),% of total land area,Normal value,Units,1.075765316879549
2010 to 2014,Open water area,,,Permanent,,2060052670 (Firth of Forth),% of total land area,Normal value,Units,1.0817122330154547
2011 to 2015,Open water area,,,Permanent,,2060052670 (Firth of Forth),% of total land area,Normal value,Units,1.0881736612733817
2012 to 2016,Open water area,,,Permanent,,2060052670 (Firth of Forth),% of total land area,Normal value,Units,1.0885128821992562
2013 to 2017,Open water area,,,Permanent,,2060052670 (Firth of Forth),% of total land area,Normal value,Units,1.1044530195820994
2014 to 2018,Open water area,,,Permanent,,2060052670 (Firth of Forth),% of total land area,Normal value,Units,1.102493978158508
2015 to 2019,Open water area,,,Permanent,,2060052670 (Firth of Forth),% of total land area,Normal value,Units,1.102132034299801
2016 to 2020,Open water area,,,Permanent,,2060052670 (Firth of Forth),% of total land area,Normal value,Units,1.102132034299801
2001 to 2005 (baseline),Open water area,,,Permanent,,2060052670 (Firth of Forth),% of total land area,Normal value,Units,1.0661518932242586
1984 to 1988,Open water area,,,Permanent,,2060052940 (Tweed),% of total land area,Normal value,Units,0.1896043315774293
1985 to 1989,Open water area,,,Permanent,,2060052940 (Tweed),% of total land area,Normal value,Units,0.1916680323604497
1986 to 1990,Open water area,,,Permanent,,2060052940 (Tweed),% of total land area,Normal value,Units,0.1882299193505943
1998 to 2002,Open water area,,,Permanent,,2060052940 (Tweed),% of total land area,Normal value,Units,0.1692588657347347
1999 to 2003,Open water area,,,Permanent,,2060052940 (Tweed),% of total land area,Normal value,Units,0.1821845879952879
2009 to 2013,Open water area,,,Permanent,,2060052940 (Tweed),% of total land area,Normal value,Units,0.191045381972838
2010 to 2014,Open water area,,,Permanent,,2060052940 (Tweed),% of total land area,Normal value,Units,0.1905372659374626
2011 to 2015,Open water area,,,Permanent,,2060052940 (Tweed),% of total land area,Normal value,Units,0.1940878308567865
2012 to 2016,Open water area,,,Permanent,,2060052940 (Tweed),% of total land area,Normal value,Units,0.1934068720716729
2013 to 2017,Open water area,,,Permanent,,2060052940 (Tweed),% of total land area,Normal value,Units,0.2032693210205973
2014 to 2018,Open water area,,,Permanent,,2060052940 (Tweed),% of total land area,Normal value,Units,0.2004996721392485
2015 to 2019,Open water area,,,Permanent,,2060052940 (Tweed),% of total land area,Normal value,Units,0.2021614614680578
2016 to 2020,Open water area,,,Permanent,,2060052940 (Tweed),% of total land area,Normal value,Units,0.2041293698837532
2001 to 2005 (baseline),Open water area,,,Permanent,,2060052940 (Tweed),% of total land area,Normal value,Units,0.1801000627845881
1984 to 1988,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% of total land area,Normal value,Units,0.0337442073007412
1985 to 1989,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% of total land area,Normal value,Units,0.0353672801111725
1986 to 1990,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% of total land area,Normal value,Units,0.0318593485531435
1998 to 2002,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% of total land area,Normal value,Units,0.0270424873092827
1999 to 2003,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% of total land area,Normal value,Units,0.0340583504253406
2009 to 2013,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% of total land area,Normal value,Units,0.0317808127719935
2010 to 2014,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% of total land area,Normal value,Units,0.0373568532336367
2011 to 2015,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% of total land area,Normal value,Units,0.0530378308699003
2012 to 2016,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% of total land area,Normal value,Units,0.0566504768027959
2013 to 2017,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% of total land area,Normal value,Units,0.0592421575807427
2014 to 2018,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% of total land area,Normal value,Units,0.0594254077367591
2015 to 2019,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% of total land area,Normal value,Units,0.058430621175527
2016 to 2020,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% of total land area,Normal value,Units,0.0504461500919537
2001 to 2005 (baseline),Open water area,,,Permanent,,2060052950 (Northumberland Coast),% of total land area,Normal value,Units,0.0371736030776201
1984 to 1988,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% of total land area,Normal value,Units,0.2575662282148694
1985 to 1989,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% of total land area,Normal value,Units,0.2580671833513668
1986 to 1990,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% of total land area,Normal value,Units,0.2634975756402584
1998 to 2002,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% of total land area,Normal value,Units,0.2520624783337363
1999 to 2003,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% of total land area,Normal value,Units,0.2742164711909401
2009 to 2013,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% of total land area,Normal value,Units,0.2971735366369032
2010 to 2014,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% of total land area,Normal value,Units,0.3002236681038239
2011 to 2015,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% of total land area,Normal value,Units,0.3082428112136899
2012 to 2016,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% of total land area,Normal value,Units,0.3069233397848037
2013 to 2017,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% of total land area,Normal value,Units,0.3131056473941794
2014 to 2018,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% of total land area,Normal value,Units,0.3115023979110921
2015 to 2019,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% of total land area,Normal value,Units,0.3094821684299959
2016 to 2020,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% of total land area,Normal value,Units,0.309121171857645
2001 to 2005 (baseline),Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% of total land area,Normal value,Units,0.2970017254340197
1984 to 1988,Open water area,,,Permanent,,2060053240 (North Humber),% of total land area,Normal value,Units,0.1395097739094717
1985 to 1989,Open water area,,,Permanent,,2060053240 (North Humber),% of total land area,Normal value,Units,0.1437925573909914
1986 to 1990,Open water area,,,Permanent,,2060053240 (North Humber),% of total land area,Normal value,Units,0.1435681466819751
1998 to 2002,Open water area,,,Permanent,,2060053240 (North Humber),% of total land area,Normal value,Units,0.1452004275604899
1999 to 2003,Open water area,,,Permanent,,2060053240 (North Humber),% of total land area,Normal value,Units,0.1575385506716134
2009 to 2013,Open water area,,,Permanent,,2060053240 (North Humber),% of total land area,Normal value,Units,0.1681807540464427
2010 to 2014,Open water area,,,Permanent,,2060053240 (North Humber),% of total land area,Normal value,Units,0.1724624210567729
2011 to 2015,Open water area,,,Permanent,,2060053240 (North Humber),% of total land area,Normal value,Units,0.1780358452329313
2012 to 2016,Open water area,,,Permanent,,2060053240 (North Humber),% of total land area,Normal value,Units,0.1760764382960001
2013 to 2017,Open water area,,,Permanent,,2060053240 (North Humber),% of total land area,Normal value,Units,0.1768724822538536
2014 to 2018,Open water area,,,Permanent,,2060053240 (North Humber),% of total land area,Normal value,Units,0.1769316552268776
2015 to 2019,Open water area,,,Permanent,,2060053240 (North Humber),% of total land area,Normal value,Units,0.1739897536435079
2016 to 2020,Open water area,,,Permanent,,2060053240 (North Humber),% of total land area,Normal value,Units,0.1739718901044822
2001 to 2005 (baseline),Open water area,,,Permanent,,2060053240 (North Humber),% of total land area,Normal value,Units,0.1705967976997289
1984 to 1988,Open water area,,,Permanent,,2060053250 (Head of Humber Estuary),% of total land area,Normal value,Units,0.2387401273280955
1985 to 1989,Open water area,,,Permanent,,2060053250 (Head of Humber Estuary),% of total land area,Normal value,Units,0.2875733351906593
1986 to 1990,Open water area,,,Permanent,,2060053250 (Head of Humber Estuary),% of total land area,Normal value,Units,0.3011381151524817
1998 to 2002,Open water area,,,Permanent,,2060053250 (Head of Humber Estuary),% of total land area,Normal value,Units,0.2251753473662719
1999 to 2003,Open water area,,,Permanent,,2060053250 (Head of Humber Estuary),% of total land area,Normal value,Units,0.2902862911830248
2009 to 2013,Open water area,,,Permanent,,2060053250 (Head of Humber Estuary),% of total land area,Normal value,Units,0.2360271713357305
2010 to 2014,Open water area,,,Permanent,,2060053250 (Head of Humber Estuary),% of total land area,Normal value,Units,0.3011381151524817
2011 to 2015,Open water area,,,Permanent,,2060053250 (Head of Humber Estuary),% of total land area,Normal value,Units,0.3472583670226821
2012 to 2016,Open water area,,,Permanent,,2060053250 (Head of Humber Estuary),% of total land area,Normal value,Units,0.3445454110303191
2013 to 2017,Open water area,,,Permanent,,2060053250 (Head of Humber Estuary),% of total land area,Normal value,Units,0.3662490589692354
2014 to 2018,Open water area,,,Permanent,,2060053250 (Head of Humber Estuary),% of total land area,Normal value,Units,0.3228417630914004
2015 to 2019,Open water area,,,Permanent,,2060053250 (Head of Humber Estuary),% of total land area,Normal value,Units,0.2929992471753878
2016 to 2020,Open water area,,,Permanent,,2060053250 (Head of Humber Estuary),% of total land area,Normal value,Units,0.2658696872517406
2001 to 2005 (baseline),Open water area,,,Permanent,,2060053250 (Head of Humber Estuary),% of total land area,Normal value,Units,0.4069433988547073
1984 to 1988,Open water area,,,Permanent,,2060053260 (South Humber),% of total land area,Normal value,Units,0.2207051081222623
1985 to 1989,Open water area,,,Permanent,,2060053260 (South Humber),% of total land area,Normal value,Units,0.2263432165691563
1986 to 1990,Open water area,,,Permanent,,2060053260 (South Humber),% of total land area,Normal value,Units,0.2283145583424052
1998 to 2002,Open water area,,,Permanent,,2060053260 (South Humber),% of total land area,Normal value,Units,0.2502867682237248
1999 to 2003,Open water area,,,Permanent,,2060053260 (South Humber),% of total land area,Normal value,Units,0.276825357991143
2009 to 2013,Open water area,,,Permanent,,2060053260 (South Humber),% of total land area,Normal value,Units,0.2901190506690757
2010 to 2014,Open water area,,,Permanent,,2060053260 (South Humber),% of total land area,Normal value,Units,0.3014884227771717
2011 to 2015,Open water area,,,Permanent,,2060053260 (South Humber),% of total land area,Normal value,Units,0.3140617151311267
2012 to 2016,Open water area,,,Permanent,,2060053260 (South Humber),% of total land area,Normal value,Units,0.3173097269366474
2013 to 2017,Open water area,,,Permanent,,2060053260 (South Humber),% of total land area,Normal value,Units,0.3225344036705198
2014 to 2018,Open water area,,,Permanent,,2060053260 (South Humber),% of total land area,Normal value,Units,0.3239778658960263
2015 to 2019,Open water area,,,Permanent,,2060053260 (South Humber),% of total land area,Normal value,Units,0.3178429296394924
2016 to 2020,Open water area,,,Permanent,,2060053260 (South Humber),% of total land area,Normal value,Units,0.3126235760607228
