Year,Units,Sex,Age,Country,Region,Industry sector,Occupation,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,Administrative and support service activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,2820.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,Administrative and support service activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,2580.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,Administrative and support service activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,2420.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,Administrative and support service activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,1550.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,Administrative and support service activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,1670.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,Administrative and support service activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,1390.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,Public administration and defence; compulsory social security #,,"Averaged rate per 100,000 workers",Units,Undefined,,3370.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,Public administration and defence; compulsory social security #,,"Averaged rate per 100,000 workers",Units,Undefined,,3020.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,Public administration and defence; compulsory social security #,,"Averaged rate per 100,000 workers",Units,Undefined,,2760.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,Public administration and defence; compulsory social security #,,"Averaged rate per 100,000 workers",Units,Undefined,,2170.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,Public administration and defence; compulsory social security #,,"Averaged rate per 100,000 workers",Units,Undefined,,2130.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,Public administration and defence; compulsory social security #,,"Averaged rate per 100,000 workers",Units,Undefined,,2170.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,Education #,,"Averaged rate per 100,000 workers",Units,Undefined,,2610.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,Education #,,"Averaged rate per 100,000 workers",Units,Undefined,,2220.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,Education #,,"Averaged rate per 100,000 workers",Units,Undefined,,1960.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,Education #,,"Averaged rate per 100,000 workers",Units,Undefined,,1650.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,Education #,,"Averaged rate per 100,000 workers",Units,Undefined,,1680.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,Education #,,"Averaged rate per 100,000 workers",Units,Undefined,,1540.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,Human health and social work activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,3450.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,Human health and social work activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,2890.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,Human health and social work activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,2750.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,Human health and social work activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,2330.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,Human health and social work activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,1950.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,Human health and social work activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,1790.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,"Arts, entertainment and recreation #",,"Averaged rate per 100,000 workers",Units,Undefined,,3670.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,"Arts, entertainment and recreation #",,"Averaged rate per 100,000 workers",Units,Undefined,,3470.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,"Arts, entertainment and recreation #",,"Averaged rate per 100,000 workers",Units,Undefined,,2710.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,"Arts, entertainment and recreation #",,"Averaged rate per 100,000 workers",Units,Undefined,,2260.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,"Arts, entertainment and recreation #",,"Averaged rate per 100,000 workers",Units,Undefined,,1960.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,"Arts, entertainment and recreation #",,"Averaged rate per 100,000 workers",Units,Undefined,,1540.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,Other service activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,2240.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,Other service activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,1840.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,Other service activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,1830.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,Other service activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,1160.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,Other service activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,1420.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,Other service activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,950.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use #,,"Averaged rate per 100,000 workers",Units,Undefined,,3830.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use #,,"Averaged rate per 100,000 workers",Units,Undefined,,3990.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,,"Managers, directors and senior officials","Averaged rate per 100,000 workers",Units,Undefined,,2200.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,,"Managers, directors and senior officials","Averaged rate per 100,000 workers",Units,Undefined,,1720.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,,"Managers, directors and senior officials","Averaged rate per 100,000 workers",Units,Undefined,,1570.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,,"Managers, directors and senior officials","Averaged rate per 100,000 workers",Units,Undefined,,1200.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,,"Managers, directors and senior officials","Averaged rate per 100,000 workers",Units,Undefined,,1240.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,,"Managers, directors and senior officials","Averaged rate per 100,000 workers",Units,Undefined,,930.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,,Professional occupations,"Averaged rate per 100,000 workers",Units,Undefined,,2050.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,,Professional occupations,"Averaged rate per 100,000 workers",Units,Undefined,,1700.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,,Professional occupations,"Averaged rate per 100,000 workers",Units,Undefined,,1590.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,,Professional occupations,"Averaged rate per 100,000 workers",Units,Undefined,,1250.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,,Professional occupations,"Averaged rate per 100,000 workers",Units,Undefined,,990.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,,Professional occupations,"Averaged rate per 100,000 workers",Units,Undefined,,950.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,,Associate professional and technical occupations,"Averaged rate per 100,000 workers",Units,Undefined,,2550.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,,Associate professional and technical occupations,"Averaged rate per 100,000 workers",Units,Undefined,,2200.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,,Associate professional and technical occupations,"Averaged rate per 100,000 workers",Units,Undefined,,2090.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,,Associate professional and technical occupations,"Averaged rate per 100,000 workers",Units,Undefined,,1800.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,,Associate professional and technical occupations,"Averaged rate per 100,000 workers",Units,Undefined,,1560.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,,Associate professional and technical occupations,"Averaged rate per 100,000 workers",Units,Undefined,,1590.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,,Administrative and secretarial occupations,"Averaged rate per 100,000 workers",Units,Undefined,,1130.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,,Administrative and secretarial occupations,"Averaged rate per 100,000 workers",Units,Undefined,,1050.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,,Administrative and secretarial occupations,"Averaged rate per 100,000 workers",Units,Undefined,,1030.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,,Administrative and secretarial occupations,"Averaged rate per 100,000 workers",Units,Undefined,,830.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,,Administrative and secretarial occupations,"Averaged rate per 100,000 workers",Units,Undefined,,640.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,,Administrative and secretarial occupations,"Averaged rate per 100,000 workers",Units,Undefined,,790.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,,Skilled trades occupations,"Averaged rate per 100,000 workers",Units,Undefined,,6700.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,,Skilled trades occupations,"Averaged rate per 100,000 workers",Units,Undefined,,5950.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,,Skilled trades occupations,"Averaged rate per 100,000 workers",Units,Undefined,,5020.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,,Skilled trades occupations,"Averaged rate per 100,000 workers",Units,Undefined,,4040.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,,Skilled trades occupations,"Averaged rate per 100,000 workers",Units,Undefined,,4090.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,,Skilled trades occupations,"Averaged rate per 100,000 workers",Units,Undefined,,3650.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,,"Caring, leisure and other service occupations","Averaged rate per 100,000 workers",Units,Undefined,,3730.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,,"Caring, leisure and other service occupations","Averaged rate per 100,000 workers",Units,Undefined,,3520.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,,"Caring, leisure and other service occupations","Averaged rate per 100,000 workers",Units,Undefined,,3230.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,,"Caring, leisure and other service occupations","Averaged rate per 100,000 workers",Units,Undefined,,2640.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,,"Caring, leisure and other service occupations","Averaged rate per 100,000 workers",Units,Undefined,,2490.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,,"Caring, leisure and other service occupations","Averaged rate per 100,000 workers",Units,Undefined,,2210.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,,Sales and customer service occupations,"Averaged rate per 100,000 workers",Units,Undefined,,2250.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,,Sales and customer service occupations,"Averaged rate per 100,000 workers",Units,Undefined,,2240.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,,Sales and customer service occupations,"Averaged rate per 100,000 workers",Units,Undefined,,1890.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,,Sales and customer service occupations,"Averaged rate per 100,000 workers",Units,Undefined,,1550.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,,Sales and customer service occupations,"Averaged rate per 100,000 workers",Units,Undefined,,1700.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,,Sales and customer service occupations,"Averaged rate per 100,000 workers",Units,Undefined,,1440.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,,"Process, plant and machine operatives","Averaged rate per 100,000 workers",Units,Undefined,,6200.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,,"Process, plant and machine operatives","Averaged rate per 100,000 workers",Units,Undefined,,4990.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,,"Process, plant and machine operatives","Averaged rate per 100,000 workers",Units,Undefined,,4130.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,,"Process, plant and machine operatives","Averaged rate per 100,000 workers",Units,Undefined,,3370.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,,"Process, plant and machine operatives","Averaged rate per 100,000 workers",Units,Undefined,,3560.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,,"Process, plant and machine operatives","Averaged rate per 100,000 workers",Units,Undefined,,2420.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,,Elementary occupations,"Averaged rate per 100,000 workers",Units,Undefined,,4990.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,,Elementary occupations,"Averaged rate per 100,000 workers",Units,Undefined,,4170.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,,Elementary occupations,"Averaged rate per 100,000 workers",Units,Undefined,,3450.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,,Elementary occupations,"Averaged rate per 100,000 workers",Units,Undefined,,2760.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,,Elementary occupations,"Averaged rate per 100,000 workers",Units,Undefined,,2650.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,,Elementary occupations,"Averaged rate per 100,000 workers",Units,Undefined,,2550.0
2018/19,"Fatal injury (rate per 100,000 workers)",Male,16 to 19 *,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,0.19
2018/19,"Fatal injury (rate per 100,000 workers)",Male,20 to 24 *,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,0.56
2018/19,"Fatal injury (rate per 100,000 workers)",Male,25 to 34,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,0.48
2018/19,"Fatal injury (rate per 100,000 workers)",Male,35 to 44,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,0.7
2018/19,"Fatal injury (rate per 100,000 workers)",Male,45 to 54,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,0.89
2018/19,"Fatal injury (rate per 100,000 workers)",Male,55 to 59 *,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,0.78
2018/19,"Fatal injury (rate per 100,000 workers)",Male,60 to 64 *,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,1.39
2018/19,"Fatal injury (rate per 100,000 workers)",Male,65 and over *,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2.65
2018/19,"Fatal injury (rate per 100,000 workers)",Female,16 to 19 *,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,0.0
2018/19,"Fatal injury (rate per 100,000 workers)",Female,20 to 24 *,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,0.08
2018/19,"Fatal injury (rate per 100,000 workers)",Female,35 to 44,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,0.06
2018/19,"Fatal injury (rate per 100,000 workers)",Female,25 to 34,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,0.0
2018/19,"Fatal injury (rate per 100,000 workers)",Female,45 to 54,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,0.05
2018/19,"Fatal injury (rate per 100,000 workers)",Female,55 to 59 *,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,0.0
2018/19,"Fatal injury (rate per 100,000 workers)",Female,60 to 64 *,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,0.22
2018/19,"Fatal injury (rate per 100,000 workers)",Female,65 and over *,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,0.0
2017/18,"Fatal injury (rate per 100,000 workers)",Male,16 to 19 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.19
2017/18,"Fatal injury (rate per 100,000 workers)",Male,20 to 24 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.48
2017/18,"Fatal injury (rate per 100,000 workers)",Male,25 to 34,,,,,"Rate per 100,000 workers",Units,Undefined,,0.43
2017/18,"Fatal injury (rate per 100,000 workers)",Male,35 to 44,,,,,"Rate per 100,000 workers",Units,Undefined,,0.56
2017/18,"Fatal injury (rate per 100,000 workers)",Male,45 to 54,,,,,"Rate per 100,000 workers",Units,Undefined,,0.53
2017/18,"Fatal injury (rate per 100,000 workers)",Male,55 to 59 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.94
2017/18,"Fatal injury (rate per 100,000 workers)",Male,60 to 64 *,,,,,"Rate per 100,000 workers",Units,Undefined,,2.32
2017/18,"Fatal injury (rate per 100,000 workers)",Male,65 and over *,,,,,"Rate per 100,000 workers",Units,Undefined,,3.73
2017/18,"Fatal injury (rate per 100,000 workers)",Female,16 to 19 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.0
2017/18,"Fatal injury (rate per 100,000 workers)",Female,20 to 24 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.07
2017/18,"Fatal injury (rate per 100,000 workers)",Female,25 to 34,,,,,"Rate per 100,000 workers",Units,Undefined,,0.0
2017/18,"Fatal injury (rate per 100,000 workers)",Female,35 to 44,,,,,"Rate per 100,000 workers",Units,Undefined,,0.0
2017/18,"Fatal injury (rate per 100,000 workers)",Female,45 to 54,,,,,"Rate per 100,000 workers",Units,Undefined,,0.03
2017/18,"Fatal injury (rate per 100,000 workers)",Female,55 to 59 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.07
2017/18,"Fatal injury (rate per 100,000 workers)",Female,60 to 64 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.0
2017/18,"Fatal injury (rate per 100,000 workers)",Female,65 and over *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.42
2016/17,"Fatal injury (rate per 100,000 workers)",Male,16 to 19 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.4
2016/17,"Fatal injury (rate per 100,000 workers)",Male,20 to 24 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.62
2016/17,"Fatal injury (rate per 100,000 workers)",Male,25 to 34,,,,,"Rate per 100,000 workers",Units,Undefined,,0.41
2016/17,"Fatal injury (rate per 100,000 workers)",Male,35 to 44,,,,,"Rate per 100,000 workers",Units,Undefined,,0.71
2016/17,"Fatal injury (rate per 100,000 workers)",Male,45 to 54,,,,,"Rate per 100,000 workers",Units,Undefined,,0.53
2016/17,"Fatal injury (rate per 100,000 workers)",Male,55 to 59 *,,,,,"Rate per 100,000 workers",Units,Undefined,,1.35
2016/17,"Fatal injury (rate per 100,000 workers)",Male,60 to 64 *,,,,,"Rate per 100,000 workers",Units,Undefined,,1.17
2016/17,"Fatal injury (rate per 100,000 workers)",Male,65 and over *,,,,,"Rate per 100,000 workers",Units,Undefined,,3.03
2016/17,"Fatal injury (rate per 100,000 workers)",Female,16 to 19 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.0
2016/17,"Fatal injury (rate per 100,000 workers)",Female,20 to 24 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.0
2016/17,"Fatal injury (rate per 100,000 workers)",Female,25 to 34,,,,,"Rate per 100,000 workers",Units,Undefined,,0.0
2016/17,"Fatal injury (rate per 100,000 workers)",Female,35 to 44,,,,,"Rate per 100,000 workers",Units,Undefined,,0.03
2016/17,"Fatal injury (rate per 100,000 workers)",Female,45 to 54,,,,,"Rate per 100,000 workers",Units,Undefined,,0.03
2016/17,"Fatal injury (rate per 100,000 workers)",Female,55 to 59 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.07
2016/17,"Fatal injury (rate per 100,000 workers)",Female,60 to 64 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.0
2016/17,"Fatal injury (rate per 100,000 workers)",Female,65 and over *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.21
2015/16,"Fatal injury (rate per 100,000 workers)",Male,16 to 19 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.38
2015/16,"Fatal injury (rate per 100,000 workers)",Male,20 to 24 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.4
2015/16,"Fatal injury (rate per 100,000 workers)",Male,25 to 34,,,,,"Rate per 100,000 workers",Units,Undefined,,0.52
2015/16,"Fatal injury (rate per 100,000 workers)",Male,35 to 44,,,,,"Rate per 100,000 workers",Units,Undefined,,0.73
2015/16,"Fatal injury (rate per 100,000 workers)",Male,45 to 54,,,,,"Rate per 100,000 workers",Units,Undefined,,0.87
2015/16,"Fatal injury (rate per 100,000 workers)",Male,55 to 59 *,,,,,"Rate per 100,000 workers",Units,Undefined,,1.0
2015/16,"Fatal injury (rate per 100,000 workers)",Male,60 to 64 *,,,,,"Rate per 100,000 workers",Units,Undefined,,1.61
2015/16,"Fatal injury (rate per 100,000 workers)",Male,65 and over *,,,,,"Rate per 100,000 workers",Units,Undefined,,2.83
2015/16,"Fatal injury (rate per 100,000 workers)",Female,16 to 19 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.0
2015/16,"Fatal injury (rate per 100,000 workers)",Female,20 to 24 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.0
2015/16,"Fatal injury (rate per 100,000 workers)",Female,25 to 34,,,,,"Rate per 100,000 workers",Units,Undefined,,0.0
2015/16,"Fatal injury (rate per 100,000 workers)",Female,35 to 44,,,,,"Rate per 100,000 workers",Units,Undefined,,0.03
2015/16,"Fatal injury (rate per 100,000 workers)",Female,45 to 54,,,,,"Rate per 100,000 workers",Units,Undefined,,0.05
2015/16,"Fatal injury (rate per 100,000 workers)",Female,55 to 59 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.0
2015/16,"Fatal injury (rate per 100,000 workers)",Female,60 to 64 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.13
2015/16,"Fatal injury (rate per 100,000 workers)",Female,65 and over *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.22
2014/15,"Fatal injury (rate per 100,000 workers)",Male,16 to 19 *,,,,,"Rate per 100,000 workers",Units,Undefined,,1.03
2014/15,"Fatal injury (rate per 100,000 workers)",Male,20 to 24 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.64
2014/15,"Fatal injury (rate per 100,000 workers)",Male,25 to 34,,,,,"Rate per 100,000 workers",Units,Undefined,,0.67
2014/15,"Fatal injury (rate per 100,000 workers)",Male,35 to 44,,,,,"Rate per 100,000 workers",Units,Undefined,,0.49
2014/15,"Fatal injury (rate per 100,000 workers)",Male,45 to 54,,,,,"Rate per 100,000 workers",Units,Undefined,,0.62
2014/15,"Fatal injury (rate per 100,000 workers)",Male,55 to 59 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.89
2014/15,"Fatal injury (rate per 100,000 workers)",Male,60 to 64 *,,,,,"Rate per 100,000 workers",Units,Undefined,,1.25
2014/15,"Fatal injury (rate per 100,000 workers)",Male,65 and over *,,,,,"Rate per 100,000 workers",Units,Undefined,,3.44
2014/15,"Fatal injury (rate per 100,000 workers)",Female,16 to 19 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.0
2014/15,"Fatal injury (rate per 100,000 workers)",Female,20 to 24 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.0
2014/15,"Fatal injury (rate per 100,000 workers)",Female,25 to 34,,,,,"Rate per 100,000 workers",Units,Undefined,,0.0
2014/15,"Fatal injury (rate per 100,000 workers)",Female,35 to 44,,,,,"Rate per 100,000 workers",Units,Undefined,,0.03
2014/15,"Fatal injury (rate per 100,000 workers)",Female,45 to 54,,,,,"Rate per 100,000 workers",Units,Undefined,,0.05
2014/15,"Fatal injury (rate per 100,000 workers)",Female,55 to 59 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.0
2014/15,"Fatal injury (rate per 100,000 workers)",Female,60 to 64 *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.28
2014/15,"Fatal injury (rate per 100,000 workers)",Female,65 and over *,,,,,"Rate per 100,000 workers",Units,Undefined,,0.44
2002/03,"Non-fatal injury (rate per 100,000 workers)",Male,16 to 24 #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,5280.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",Male,16 to 24 #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,4580.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",Male,16 to 24 #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,3620.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",Male,16 to 24 #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2570.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",Male,16 to 24 #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2650.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",Male,16 to 24 #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2620.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",Male,25 to 34,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,5150.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",Male,25 to 34,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,4110.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",Male,25 to 34,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,3090.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",Male,25 to 34,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2660.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",Male,25 to 34,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2400.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",Male,25 to 34,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2300.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",Male,35 to 44,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,4570.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",Male,35 to 44,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,3630.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",Male,35 to 44,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,3280.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",Male,35 to 44,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2560.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",Male,35 to 44,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2210.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",Male,35 to 44,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,1950.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",Male,45 to 54,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,3870.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",Male,45 to 54,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,3460.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",Male,45 to 54,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,3090.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",Male,45 to 54,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2230.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",Male,45 to 54,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2460.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",Male,45 to 54,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2140.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",Male,55 and over #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,3580.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",Male,55 and over #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,3050.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",Male,55 and over #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2670.0
