Year,Units,Sex,Age,Country,Region,Malaria species,Fatality,Country of birth,Ethnicity,Region of travel,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2017,Number of cases,,,,,,,,,South-Eastern Asia,Undefined,Units,Number,,3.0
2017,Number of cases,,,,,,,,,Western Asia,Undefined,Units,Number,,3.0
2017,Number of cases,,,,,,,,,Caribbean,Undefined,Units,Number,,0.0
2017,Number of cases,,,,,,,,,Central America,Undefined,Units,Number,,0.0
2017,Number of cases,,,,,,,,,South America,Undefined,Units,Number,,5.0
2017,Number of cases,,,,,,,,,Oceania,Undefined,Units,Number,,2.0
2017,Number of cases,,,,,,,,,Not stated,Undefined,Units,Number,,24.0
2014,Percentage (%) of total cases,,,,,,,,,Western Africa,Undefined,Units,Percentage (%),,63.68312757
2014,Percentage (%) of total cases,,,,,,,,,Eastern Africa,Undefined,Units,Percentage (%),,13.06584362
2014,Percentage (%) of total cases,,,,,,,,,Middle Africa,Undefined,Units,Percentage (%),,7.818930041000001
2014,Percentage (%) of total cases,,,,,,,,,Northern Africa,Undefined,Units,Percentage (%),,1.440329218
2014,Percentage (%) of total cases,,,,,,,,,Southern Africa,Undefined,Units,Percentage (%),,0.411522634
2014,Percentage (%) of total cases,,,,,,,,,Africa unspecified,Undefined,Units,Percentage (%),,0.823045267
2014,Percentage (%) of total cases,,,,,,,,,Southern Asia,Undefined,Units,Percentage (%),,9.259259259
2014,Percentage (%) of total cases,,,,,,,,,South-Eastern Asia,Undefined,Units,Percentage (%),,0.308641975
2014,Percentage (%) of total cases,,,,,,,,,Western Asia,Undefined,Units,Percentage (%),,0.10288065800000001
2014,Percentage (%) of total cases,,,,,,,,,Central America,Undefined,Units,Percentage (%),,0.10288065800000001
2014,Percentage (%) of total cases,,,,,,,,,South America,Undefined,Units,Percentage (%),,0.617283951
2014,Percentage (%) of total cases,,,,,,,,,Oceania,Undefined,Units,Percentage (%),,0.10288065800000001
2014,Percentage (%) of total cases,,,,,,,,,Not stated,Undefined,Units,Percentage (%),,2.263374486
2015,Percentage (%) of total cases,,,,,,,,,Western Africa,Undefined,Units,Percentage (%),,65.24137931
2015,Percentage (%) of total cases,,,,,,,,,Eastern Africa,Undefined,Units,Percentage (%),,10.62068966
2015,Percentage (%) of total cases,,,,,,,,,Middle Africa,Undefined,Units,Percentage (%),,9.793103448
2015,Percentage (%) of total cases,,,,,,,,,Northern Africa,Undefined,Units,Percentage (%),,1.24137931
2015,Percentage (%) of total cases,,,,,,,,,Southern Africa,Undefined,Units,Percentage (%),,0.137931034
2015,Percentage (%) of total cases,,,,,,,,,Africa unspecified,Undefined,Units,Percentage (%),,0.689655172
2015,Percentage (%) of total cases,,,,,,,,,Southern Asia,Undefined,Units,Percentage (%),,10.75862069
2015,Percentage (%) of total cases,,,,,,,,,South-Eastern Asia,Undefined,Units,Percentage (%),,0.137931034
2015,Percentage (%) of total cases,,,,,,,,,Western Asia,Undefined,Units,Percentage (%),,0.137931034
2015,Percentage (%) of total cases,,,,,,,,,South America,Undefined,Units,Percentage (%),,0.9655172409999999
2015,Percentage (%) of total cases,,,,,,,,,Not stated,Undefined,Units,Percentage (%),,0.275862069
2016,Percentage (%) of total cases,,,,,,,,,Western Africa,Undefined,Units,Percentage (%),,61.42433234
2016,Percentage (%) of total cases,,,,,,,,,Eastern Africa,Undefined,Units,Percentage (%),,14.04549951
2016,Percentage (%) of total cases,,,,,,,,,Middle Africa,Undefined,Units,Percentage (%),,11.17705242
2016,Percentage (%) of total cases,,,,,,,,,Northern Africa,Undefined,Units,Percentage (%),,1.6815034619999998
2016,Percentage (%) of total cases,,,,,,,,,Southern Africa,Undefined,Units,Percentage (%),,0.296735905
2016,Percentage (%) of total cases,,,,,,,,,Africa unspecified,Undefined,Units,Percentage (%),,0.59347181
2016,Percentage (%) of total cases,,,,,,,,,Southern Asia,Undefined,Units,Percentage (%),,8.110781405
2016,Percentage (%) of total cases,,,,,,,,,South-Eastern Asia,Undefined,Units,Percentage (%),,0.197823937
2016,Percentage (%) of total cases,,,,,,,,,Caribbean,Undefined,Units,Percentage (%),,0.197823937
2016,Percentage (%) of total cases,,,,,,,,,South America,Undefined,Units,Percentage (%),,0.197823937
2016,Percentage (%) of total cases,,,,,,,,,Oceania,Undefined,Units,Percentage (%),,0.197823937
2016,Percentage (%) of total cases,,,,,,,,,Not stated,Undefined,Units,Percentage (%),,1.8793273990000001
2017,Percentage (%) of total cases,,,,,,,,,Western Africa,Undefined,Units,Percentage (%),,66.86241611
2017,Percentage (%) of total cases,,,,,,,,,Eastern Africa,Undefined,Units,Percentage (%),,12.41610738
2017,Percentage (%) of total cases,,,,,,,,,Middle Africa,Undefined,Units,Percentage (%),,7.634228188
2017,Percentage (%) of total cases,,,,,,,,,Northern Africa,Undefined,Units,Percentage (%),,1.174496644
2017,Percentage (%) of total cases,,,,,,,,,Southern Africa,Undefined,Units,Percentage (%),,0.587248322
2017,Percentage (%) of total cases,,,,,,,,,Africa unspecified,Undefined,Units,Percentage (%),,0.922818792
2017,Percentage (%) of total cases,,,,,,,,,Southern Asia,Undefined,Units,Percentage (%),,7.29865771799999
2017,Percentage (%) of total cases,,,,,,,,,South-Eastern Asia,Undefined,Units,Percentage (%),,0.251677852
2017,Percentage (%) of total cases,,,,,,,,,Western Asia,Undefined,Units,Percentage (%),,0.251677852
2017,Percentage (%) of total cases,,,,,,,,,South America,Undefined,Units,Percentage (%),,0.419463087
2017,Percentage (%) of total cases,,,,,,,,,Oceania,Undefined,Units,Percentage (%),,0.167785235
2017,Percentage (%) of total cases,,,,,,,,,Not stated,Undefined,Units,Percentage (%),,2.013422819
2014,Percentage (%) of total cases,,,,,,,Africa,,,Undefined,Units,Percentage (%),,61.33942161
2014,Percentage (%) of total cases,,,,,,,United Kingdom,,,Undefined,Units,Percentage (%),,28.76712329
2014,Percentage (%) of total cases,,,,,,,Indian subcontinent,,,Undefined,Units,Percentage (%),,7.00152207
2014,Percentage (%) of total cases,,,,,,,Europe (non UK),,,Undefined,Units,Percentage (%),,1.522070015
2014,Percentage (%) of total cases,,,,,,,Other,,,Undefined,Units,Percentage (%),,1.369863014
2015,Percentage (%) of total cases,,,,,,,Africa,,,Undefined,Units,Percentage (%),,64.97175141
2015,Percentage (%) of total cases,,,,,,,United Kingdom,,,Undefined,Units,Percentage (%),,24.48210923
2015,Percentage (%) of total cases,,,,,,,Indian subcontinent,,,Undefined,Units,Percentage (%),,6.9679849339999995
2015,Percentage (%) of total cases,,,,,,,Europe (non UK),,,Undefined,Units,Percentage (%),,2.071563089
2015,Percentage (%) of total cases,,,,,,,Other,,,Undefined,Units,Percentage (%),,1.506591337
2016,Percentage (%) of total cases,,,,,,,Africa,,,Undefined,Units,Percentage (%),,67.0995671
2016,Percentage (%) of total cases,,,,,,,United Kingdom,,,Undefined,Units,Percentage (%),,23.37662338
2016,Percentage (%) of total cases,,,,,,,Indian subcontinent,,,Undefined,Units,Percentage (%),,5.050505051
2016,Percentage (%) of total cases,,,,,,,Europe (non UK),,,Undefined,Units,Percentage (%),,2.164502165
2016,Percentage (%) of total cases,,,,,,,Other,,,Undefined,Units,Percentage (%),,2.3088023090000003
2017,Percentage (%) of total cases,,,,,,,Africa,,,Undefined,Units,Percentage (%),,65.29850746
2017,Percentage (%) of total cases,,,,,,,United Kingdom,,,Undefined,Units,Percentage (%),,24.75124378
2017,Percentage (%) of total cases,,,,,,,Indian subcontinent,,,Undefined,Units,Percentage (%),,5.597014925
2017,Percentage (%) of total cases,,,,,,,Europe (non UK),,,Undefined,Units,Percentage (%),,2.7363184080000003
2017,Percentage (%) of total cases,,,,,,,Other,,,Undefined,Units,Percentage (%),,1.616915423
2014,Percentage (%) of total cases,,,,,,,,Black African/African descent,,Undefined,Units,Percentage (%),,69.95884774
2014,Percentage (%) of total cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,Undefined,Units,Percentage (%),,9.259259259
2014,Percentage (%) of total cases,,,,,,,,Other/mixed,,Undefined,Units,Percentage (%),,5.864197531
2014,Percentage (%) of total cases,,,,,,,,White British,,Undefined,Units,Percentage (%),,14.91769547
2015,Percentage (%) of total cases,,,,,,,,Black African/African descent,,Undefined,Units,Percentage (%),,71.44827586
2015,Percentage (%) of total cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,Undefined,Units,Percentage (%),,9.931034483
2015,Percentage (%) of total cases,,,,,,,,Other/mixed,,Undefined,Units,Percentage (%),,5.79310344799999
2015,Percentage (%) of total cases,,,,,,,,White British,,Undefined,Units,Percentage (%),,12.82758621
2016,Percentage (%) of total cases,,,,,,,,Black African/African descent,,Undefined,Units,Percentage (%),,75.46983185
2016,Percentage (%) of total cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,Undefined,Units,Percentage (%),,7.91295746799999
2016,Percentage (%) of total cases,,,,,,,,Other/mixed,,Undefined,Units,Percentage (%),,6.231454006
2016,Percentage (%) of total cases,,,,,,,,White British,,Undefined,Units,Percentage (%),,10.38575668
2017,Percentage (%) of total cases,,,,,,,,Black African/African descent,,Undefined,Units,Percentage (%),,75.5033557
2017,Percentage (%) of total cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,Undefined,Units,Percentage (%),,7.046979866
2017,Percentage (%) of total cases,,,,,,,,Other/mixed,,Undefined,Units,Percentage (%),,6.4597315439999905
2017,Percentage (%) of total cases,,,,,,,,White British,,Undefined,Units,Percentage (%),,10.98993289
2000,Number of cases,,,,,,,,,,Undefined,Units,Number,,2047.0
2001,Number of cases,,,,,,,,,,Undefined,Units,Number,,2044.0
2002,Number of cases,,,,,,,,,,Undefined,Units,Number,,1940.0
2003,Number of cases,,,,,,,,,,Undefined,Units,Number,,1720.0
2004,Number of cases,,,,,,,,,,Undefined,Units,Number,,1656.0
2005,Number of cases,,,,,,,,,,Undefined,Units,Number,,1753.0
2006,Number of cases,,,,,,,,,,Undefined,Units,Number,,1754.0
2007,Number of cases,,,,,,,,,,Undefined,Units,Number,,1547.0
2008,Number of cases,,,,,,,,,,Undefined,Units,Number,,1370.0
2009,Number of cases,,,,,,,,,,Undefined,Units,Number,,1495.0
2010,Number of cases,,,,,,,,,,Undefined,Units,Number,,1759.0
2011,Number of cases,,,,,,,,,,Undefined,Units,Number,,1673.0
2012,Number of cases,,,,,,,,,,Undefined,Units,Number,,1377.0
2013,Number of cases,,,,,,,,,,Undefined,Units,Number,,1501.0
2014,Number of cases,,,,,,,,,,Undefined,Units,Number,,1586.0
2015,Number of cases,,,,,,,,,,Undefined,Units,Number,,1400.0
2016,Number of cases,,,,,,,,,,Undefined,Units,Number,,1618.0
2017,Number of cases,,,,,,,,,,Undefined,Units,Number,,1792.0
2000,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,16.0
2001,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,9.0
2002,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,9.0
2003,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,16.0
2004,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,5.0
2005,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,10.0
2006,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,8.0
2007,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,5.0
2008,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,6.0
2009,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,6.0
2010,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,7.0
2011,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,8.0
2012,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,2.0
2013,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,7.0
2014,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,3.0
2015,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,6.0
2016,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,6.0
2017,Number of cases,,,,,,Fatal,,,,Undefined,Units,Number,,6.0
2000,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1555.0
2001,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1572.0
2002,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1465.0
2003,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1338.0
2004,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1220.0
2005,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1337.0
2006,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1386.0
2007,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1138.0
2008,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1087.0
2009,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1179.0
2010,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1263.0
2011,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1146.0
2012,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1002.0
2013,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1192.0
2014,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1169.0
2015,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1068.0
2016,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1308.0
2017,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1452.0
2000,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,322.0
2001,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,261.0
2002,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,284.0
2003,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,205.0
2004,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,276.0
2005,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,258.0
2006,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,217.0
2007,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,256.0
2008,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,177.0
2009,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,205.0
2010,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,348.0
2011,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,415.0
2012,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,270.0
2013,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,179.0
2014,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,225.0
2015,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,207.0
2016,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,166.0
2017,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,164.0
2000,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,123.0
2001,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,157.0
2002,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,133.0
2003,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,134.0
2004,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,120.0
2005,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,116.0
2006,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,106.0
2007,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,108.0
2008,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,76.0
2009,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,69.0
2010,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,99.0
2011,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,77.0
2012,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,66.0
2013,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,78.0
2014,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,130.0
2015,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,95.0
2016,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,88.0
2017,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,108.0
2000,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,30.0
2001,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,37.0
2002,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,43.0
2003,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,27.0
2004,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,28.0
2005,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,29.0
2006,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,24.0
2007,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,30.0
2008,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,20.0
2009,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,36.0
2010,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,37.0
2011,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,31.0
2012,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,32.0
2013,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,39.0
2014,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,41.0
2015,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,23.0
2016,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,41.0
2017,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,55.0
2000,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2001,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2002,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2003,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2004,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2005,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2006,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,1.0
2007,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2008,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2009,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2010,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2011,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2012,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2013,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2014,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2015,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2016,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,1.0
2017,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,2.0
2000,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,16.0
2001,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,16.0
2002,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,13.0
2003,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,15.0
2004,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,12.0
2005,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,10.0
2006,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,20.0
2007,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,15.0
2008,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,9.0
2009,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,6.0
2010,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,12.0
2011,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,4.0
2012,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,7.0
2013,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,13.0
2014,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,21.0
2015,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,7.0
2016,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,13.0
2017,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,11.0
2000,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,1.0
2001,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,1.0
2002,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,2.0
2003,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,1.0
2004,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2005,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,3.0
2006,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2007,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2008,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,1.0
2009,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2010,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2011,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2012,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2013,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2014,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2015,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2016,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,1.0
2017,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2000,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,2031.0
2001,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,2035.0
2002,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1931.0
2003,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1704.0
2004,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1651.0
2005,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1743.0
2006,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1746.0
2007,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1542.0
2008,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1364.0
2009,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1489.0
2010,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1752.0
2011,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1665.0
2012,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1375.0
2013,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1494.0
2014,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1583.0
2015,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1394.0
2016,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1612.0
2017,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1786.0
2014,Number of cases,,,,,,,,,,Undefined,Units,Number,,1582.0
2014,Number of cases,,4 and under,,,,,,,,Undefined,Units,Number,,37.0
2014,Number of cases,,5 to 9,,,,,,,,Undefined,Units,Number,,42.0
2014,Number of cases,,10 to 14,,,,,,,,Undefined,Units,Number,,52.0
2014,Number of cases,,15 to 19,,,,,,,,Undefined,Units,Number,,92.0
2014,Number of cases,,20 to 24,,,,,,,,Undefined,Units,Number,,132.0
2014,Number of cases,,25 to 29,,,,,,,,Undefined,Units,Number,,153.0
2014,Number of cases,,30 to 34,,,,,,,,Undefined,Units,Number,,173.0
2014,Number of cases,,35 to 39,,,,,,,,Undefined,Units,Number,,145.0
2014,Number of cases,,40 to 44,,,,,,,,Undefined,Units,Number,,167.0
2014,Number of cases,,45 to 49,,,,,,,,Undefined,Units,Number,,189.0
2014,Number of cases,,50 to 54,,,,,,,,Undefined,Units,Number,,146.0
2014,Number of cases,,55 to 59,,,,,,,,Undefined,Units,Number,,108.0
2014,Number of cases,,60 to 64,,,,,,,,Undefined,Units,Number,,62.0
2014,Number of cases,,65 to 69,,,,,,,,Undefined,Units,Number,,44.0
2014,Number of cases,,70 and over,,,,,,,,Undefined,Units,Number,,40.0
2014,Number of cases,Male,,,,,,,,,Undefined,Units,Number,,1083.0
2014,Number of cases,Male,4 and under,,,,,,,,Undefined,Units,Number,,19.0
2014,Number of cases,Male,5 to 9,,,,,,,,Undefined,Units,Number,,23.0
2014,Number of cases,Male,10 to 14,,,,,,,,Undefined,Units,Number,,30.0
2014,Number of cases,Male,15 to 19,,,,,,,,Undefined,Units,Number,,61.0
2014,Number of cases,Male,20 to 24,,,,,,,,Undefined,Units,Number,,93.0
2014,Number of cases,Male,25 to 29,,,,,,,,Undefined,Units,Number,,104.0
2014,Number of cases,Male,30 to 34,,,,,,,,Undefined,Units,Number,,126.0
2014,Number of cases,Male,35 to 39,,,,,,,,Undefined,Units,Number,,114.0
2014,Number of cases,Male,40 to 44,,,,,,,,Undefined,Units,Number,,105.0
2014,Number of cases,Male,45 to 49,,,,,,,,Undefined,Units,Number,,135.0
2014,Number of cases,Male,50 to 54,,,,,,,,Undefined,Units,Number,,105.0
2014,Number of cases,Male,55 to 59,,,,,,,,Undefined,Units,Number,,74.0
2014,Number of cases,Male,60 to 64,,,,,,,,Undefined,Units,Number,,42.0
2014,Number of cases,Male,65 to 69,,,,,,,,Undefined,Units,Number,,27.0
2014,Number of cases,Male,70 and over,,,,,,,,Undefined,Units,Number,,25.0
2014,Number of cases,Female,,,,,,,,,Undefined,Units,Number,,499.0
2014,Number of cases,Female,4 and under,,,,,,,,Undefined,Units,Number,,18.0
2014,Number of cases,Female,5 to 9,,,,,,,,Undefined,Units,Number,,19.0
2014,Number of cases,Female,10 to 14,,,,,,,,Undefined,Units,Number,,22.0
2014,Number of cases,Female,15 to 19,,,,,,,,Undefined,Units,Number,,31.0
2014,Number of cases,Female,20 to 24,,,,,,,,Undefined,Units,Number,,39.0
2014,Number of cases,Female,25 to 29,,,,,,,,Undefined,Units,Number,,49.0
2014,Number of cases,Female,30 to 34,,,,,,,,Undefined,Units,Number,,47.0
2014,Number of cases,Female,35 to 39,,,,,,,,Undefined,Units,Number,,31.0
2014,Number of cases,Female,40 to 44,,,,,,,,Undefined,Units,Number,,62.0
2014,Number of cases,Female,45 to 49,,,,,,,,Undefined,Units,Number,,54.0
2014,Number of cases,Female,50 to 54,,,,,,,,Undefined,Units,Number,,41.0
2014,Number of cases,Female,55 to 59,,,,,,,,Undefined,Units,Number,,34.0
2014,Number of cases,Female,60 to 64,,,,,,,,Undefined,Units,Number,,20.0
2014,Number of cases,Female,65 to 69,,,,,,,,Undefined,Units,Number,,17.0
2014,Number of cases,Female,70 and over,,,,,,,,Undefined,Units,Number,,15.0
2015,Number of cases,,,,,,,,,,Undefined,Units,Number,,1391.0
2015,Number of cases,,4 and under,,,,,,,,Undefined,Units,Number,,21.0
2015,Number of cases,,5 to 9,,,,,,,,Undefined,Units,Number,,32.0
2015,Number of cases,,10 to 14,,,,,,,,Undefined,Units,Number,,60.0
2015,Number of cases,,15 to 19,,,,,,,,Undefined,Units,Number,,89.0
2015,Number of cases,,20 to 24,,,,,,,,Undefined,Units,Number,,112.0
