Year,Region,Local authority,Age,Main method of contraception,Type of contraception,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2019/20,London,Harrow,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.415
2019/20,London,Havering,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.37
2019/20,London,Hillingdon,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.51
2019/20,London,Hounslow,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.595
2019/20,London,Islington,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.805
2019/20,London,Kensington and Chelsea,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.455
2019/20,London,Kingston upon Thames,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.39
2019/20,London,Lambeth,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,1.23
2019/20,London,Lewisham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.815
2019/20,London,Merton,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.565
2019/20,London,Newham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.105
2019/20,London,Redbridge,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.245
2019/20,London,Richmond upon Thames,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.395
2019/20,London,Southwark,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.97
2019/20,London,Sutton,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.455
2019/20,London,Tower Hamlets,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.28
2019/20,London,Waltham Forest,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.185
2019/20,London,Wandsworth,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,1.44
2019/20,London,Westminster,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.56
2019/20,South East,Bracknell Forest,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.135
2019/20,South East,Brighton and Hove,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.5
2019/20,South East,Buckinghamshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,1.04
2019/20,South East,East Sussex,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.855
2019/20,South East,Hampshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,1.0
2019/20,South East,Kent,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,2.065
2019/20,South East,Medway,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.535
2019/20,South East,Milton Keynes,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.045
2019/20,South East,Oxfordshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,1.035
2019/20,South East,Portsmouth,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.115
2019/20,South East,Reading,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.2
2019/20,South East,Slough,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.245
2019/20,South East,Southampton,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.13
2019/20,South East,Surrey,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,1.31
2019/20,South East,West Berkshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.08
2019/20,South East,West Sussex,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.97
2019/20,South East,Windsor and Maidenhead,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.205
2019/20,South East,Wokingham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.13
2019/20,South West,Bath and North East Somerset,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.13
2019/20,South West,"Bournemouth, Christchurch and Poole",,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.4
2019/20,South West,"Bristol, City of",,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.615
2019/20,South West,Cornwall,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.33
2019/20,South West,Devon,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,1.94
2019/20,South West,Dorset,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.525
2019/20,South West,Gloucestershire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.575
2019/20,South West,North Somerset,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.3
2019/20,South West,Plymouth,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.595
2019/20,South West,Somerset,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,1.02
2019/20,South West,South Gloucestershire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.205
2019/20,South West,Swindon,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.415
2019/20,South West,Torbay,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.3
2019/20,South West,Wiltshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.11
2020/21,,,15 and under,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,,0.053
2020/21,,,16 to 17,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,,0.567
2020/21,,,18 to 19,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,,1.636
2020/21,,,20 to 24,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,,8.948
2020/21,,,25 to 34,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,,19.369
2020/21,,,35 to 44,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,,16.078
2020/21,,,45 and over,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,,11.258
2020/21,,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,,57.909
2020/21,North East,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,3.61
2020/21,North West,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,7.71
2020/21,Yorkshire and The Humber,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,4.205
2020/21,East Midlands,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000004,3.91
2020/21,West Midlands,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,2.93
2020/21,East of England,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,4.67
2020/21,London,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,13.3
2020/21,South East,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,9.4
2020/21,South West,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,6.425
2020/21,North East,County Durham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.055
2020/21,North East,Gateshead,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.28
2020/21,North East,Hartlepool,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.09
2020/21,North East,Middlesbrough,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.14
2020/21,North East,Newcastle upon Tyne,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.57
2020/21,North East,North Tyneside,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.565
2020/21,North East,Northumberland,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.585
2020/21,North East,Redcar and Cleveland,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.15
2020/21,North East,South Tyneside,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.37
2020/21,North East,Stockton-on-Tees,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.185
2020/21,North East,Sunderland,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.61
2020/21,North West,Blackburn with Darwen,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.12
2020/21,North West,Blackpool,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.165
2020/21,North West,Bolton,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.18
2020/21,North West,Bury,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.115
2020/21,North West,Cheshire East,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.51
2020/21,North West,Cheshire West and Chester,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.31
2020/21,North West,Cumbria,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.17
2020/21,North West,Halton,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.135
2020/21,North West,Knowsley,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.205
2020/21,North West,Lancashire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,1.36
2020/21,North West,Liverpool,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.76
2020/21,North West,Manchester,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.79
2020/21,North West,Oldham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.155
2020/21,North West,Rochdale,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.15
2020/21,North West,Salford,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.25
2020/21,North West,Sefton,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.815
2020/21,North West,St. Helens,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.24
2020/21,North West,Stockport,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.32
2020/21,North West,Tameside,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.145
2020/21,North West,Trafford,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.195
2020/21,North West,Warrington,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.16
2020/21,North West,Wigan,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.115
2020/21,North West,Wirral,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.345
2020/21,Yorkshire and The Humber,Barnsley,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.11
2020/21,Yorkshire and The Humber,Bradford,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.29
2020/21,Yorkshire and The Humber,Calderdale,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.215
2020/21,Yorkshire and The Humber,Doncaster,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.175
2020/21,Yorkshire and The Humber,East Riding of Yorkshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.46
2020/21,Yorkshire and The Humber,"Kingston upon Hull, City of",,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.495
2020/21,Yorkshire and The Humber,Kirklees,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.52
2020/21,Yorkshire and The Humber,Leeds,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.58
2020/21,Yorkshire and The Humber,North East Lincolnshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.05
2020/21,Yorkshire and The Humber,North Lincolnshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.04
2020/21,Yorkshire and The Humber,North Yorkshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.495
2020/21,Yorkshire and The Humber,Rotherham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.31
2020/21,Yorkshire and The Humber,Sheffield,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.045
2020/21,Yorkshire and The Humber,Wakefield,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.18
2020/21,Yorkshire and The Humber,York,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.25
2020/21,East Midlands,Derby,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000004,0.1
2020/21,East Midlands,Derbyshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000004,0.385
2020/21,East Midlands,Leicester,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000004,0.165
2020/21,East Midlands,Leicestershire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000004,0.395
2020/21,East Midlands,Lincolnshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000004,0.7
2020/21,East Midlands,Northamptonshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000004,0.52
2020/21,East Midlands,Nottingham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000004,0.645
2020/21,East Midlands,Nottinghamshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000004,1.005
2020/21,West Midlands,Birmingham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.28
2020/21,West Midlands,Coventry,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.205
2020/21,West Midlands,Dudley,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.225
2020/21,West Midlands,"Herefordshire, County of",,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.185
2020/21,West Midlands,Sandwell,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.2
2020/21,West Midlands,Shropshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.07
2020/21,West Midlands,Solihull,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.07
2020/21,West Midlands,Staffordshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.365
2020/21,West Midlands,Stoke-on-Trent,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.115
2020/21,West Midlands,Telford and Wrekin,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.04
2020/21,West Midlands,Walsall,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.24
2020/21,West Midlands,Warwickshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.345
2020/21,West Midlands,Wolverhampton,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.275
2020/21,West Midlands,Worcestershire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.32
2020/21,East of England,Bedford,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,0.2
2020/21,East of England,Cambridgeshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,0.515
2020/21,East of England,Central Bedfordshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,0.155
2020/21,East of England,Essex,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,0.98
2020/21,East of England,Hertfordshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,0.485
2020/21,East of England,Luton,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,0.035
2020/21,East of England,Norfolk,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,1.175
2020/21,East of England,Peterborough,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,0.23
2020/21,East of England,Southend-on-Sea,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,0.17
2020/21,East of England,Suffolk,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,0.605
2020/21,East of England,Thurrock,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,0.12
2020/21,London,Barking and Dagenham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.085
2020/21,London,Barnet,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.725
2020/21,London,Bexley,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.175
2020/21,London,Brent,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.45
2020/21,London,Bromley,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.31
2020/21,London,Camden,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.52
2020/21,London,Croydon,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.41
2020/21,London,Ealing,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.635
2020/21,London,Enfield,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.105
2020/21,London,Greenwich,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.375
2020/21,London,Hackney,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.28
2020/21,London,Hammersmith and Fulham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.66
2020/21,London,Haringey,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.545
2020/21,London,Harrow,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.305
2020/21,London,Havering,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.07
2020/21,London,Hillingdon,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.375
2020/21,London,Hounslow,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.535
2020/21,London,Islington,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.695
2020/21,London,Kensington and Chelsea,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.32
2020/21,London,Kingston upon Thames,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.335
2020/21,London,Lambeth,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.81
2020/21,London,Lewisham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.655
2020/21,London,Merton,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.37
2020/21,London,Newham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.265
2020/21,London,Redbridge,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.115
2020/21,London,Richmond upon Thames,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.275
2020/21,London,Southwark,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.64
2020/21,London,Sutton,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.23
2020/21,London,Tower Hamlets,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.435
2020/21,London,Waltham Forest,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.255
2020/21,London,Wandsworth,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.985
2020/21,London,Westminster,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.355
2020/21,South East,Bracknell Forest,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.09
2020/21,South East,Brighton and Hove,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.53
2020/21,South East,Buckinghamshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.85
2020/21,South East,East Sussex,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.73
2020/21,South East,Hampshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.94
2020/21,South East,Isle of Wight,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.115
2020/21,South East,Kent,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,1.265
2020/21,South East,Medway,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.495
2020/21,South East,Milton Keynes,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.215
2020/21,South East,Oxfordshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.795
2020/21,South East,Portsmouth,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.275
2020/21,South East,Reading,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.1
2020/21,South East,Slough,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.165
2020/21,South East,Southampton,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.24
2020/21,South East,Surrey,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,1.165
2020/21,South East,West Berkshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.03
2020/21,South East,West Sussex,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,1.19
2020/21,South East,Windsor and Maidenhead,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.135
2020/21,South East,Wokingham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.075
2020/21,South West,Bath and North East Somerset,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.07
2020/21,South West,"Bournemouth, Christchurch and Poole",,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.35
2020/21,South West,"Bristol, City of",,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.445
2020/21,South West,Cornwall,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.59
2020/21,South West,Devon,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,1.405
2020/21,South West,Dorset,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.48
2020/21,South West,Gloucestershire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.375
2020/21,South West,North Somerset,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.16
2020/21,South West,Plymouth,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.48
2020/21,South West,Somerset,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.8
2020/21,South West,South Gloucestershire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.135
2020/21,South West,Swindon,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.335
2020/21,South West,Torbay,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.325
2020/21,South West,Wiltshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,0.465
2021/22,,,15 and under,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,,0.077
2021/22,,,16 to 17,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,,0.64
2021/22,,,18 to 19,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,,1.689
2021/22,,,20 to 24,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,,9.878
2021/22,,,25 to 34,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,,23.065
2021/22,,,35 to 44,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,,20.784
2021/22,,,45 and over,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,,15.867
2021/22,,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,,72.0
2021/22,North East,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,3.7
2021/22,North West,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,10.035
2021/22,Yorkshire and The Humber,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,6.475
2021/22,East Midlands,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000004,4.915
2021/22,West Midlands,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,3.855
2021/22,East of England,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,6.21
2021/22,London,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,18.885
2021/22,South East,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,10.105
2021/22,South West,,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000009,6.585
2021/22,North East,County Durham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.07
2021/22,North East,Gateshead,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.24
2021/22,North East,Hartlepool,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.1
2021/22,North East,Middlesbrough,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.155
2021/22,North East,Newcastle upon Tyne,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.69
2021/22,North East,North Tyneside,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.4
2021/22,North East,Northumberland,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.54
2021/22,North East,Redcar and Cleveland,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.145
2021/22,North East,South Tyneside,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.335
2021/22,North East,Stockton-on-Tees,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.29
2021/22,North East,Sunderland,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000001,0.725
2021/22,North West,Blackburn with Darwen,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.055
2021/22,North West,Blackpool,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.26
2021/22,North West,Bolton,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.315
2021/22,North West,Bury,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.12
2021/22,North West,Cheshire East,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.695
2021/22,North West,Cheshire West and Chester,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.565
2021/22,North West,Cumbria,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.425
2021/22,North West,Halton,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.16
2021/22,North West,Knowsley,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.21
2021/22,North West,Lancashire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,2.095
2021/22,North West,Liverpool,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.325
2021/22,North West,Manchester,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.94
