Year,Units,Urbanisation,Household composition,Age of oldest person,Age of youngest person,Income quintile,Living in poverty,Economic activity,Disability status,Ethnicity of household reference person (HRP),Length of residence,Sub-national area,Decent homes criteria,Value
2008,Percentage (%),All city and urban centres,,,,,,,,,,,Repair,8.991164297027249
2008,Percentage (%),Suburban residential,,,,,,,,,,,Repair,5.315992209032293
2008,Percentage (%),All rural areas,,,,,,,,,,,Repair,6.616702886035063
2008,Percentage (%),,Couple under 60,,,,,,,,,,Repair,5.70272143744
2008,Percentage (%),,Couple 60 or over,,,,,,,,,,Repair,4.70013929029
2008,Percentage (%),,Couple with children,,,,,,,,,,Repair,5.73089054941
2008,Percentage (%),,Lone parent,,,,,,,,,,Repair,6.92791798669
2008,Percentage (%),,Multi-person household,,,,,,,,,,Repair,8.79184936272
2008,Percentage (%),,One person under 60,,,,,,,,,,Repair,6.51959117013
2008,Percentage (%),,One person 60 or over,,,,,,,,,,Repair,6.14108237829
2008,Percentage (%),,,59 and under,,,,,,,,,Repair,6.38587891859
2008,Percentage (%),,,60 and over,,,,,,,,,Repair,5.44451642344
2008,Percentage (%),,,75 and over,,,,,,,,,Repair,5.93522041351
2008,Percentage (%),,,,4 and under,,,,,,,,Repair,6.25801277267
2008,Percentage (%),,,,15 and under,,,,,,,,Repair,6.14072470051
2008,Percentage (%),,,,16 and over,,,,,,,,Repair,6.00834195237
2008,Percentage (%),,,,,1st quintile (lowest),,,,,,,Repair,8.24442585179
2008,Percentage (%),,,,,2nd quintile,,,,,,,Repair,5.70500450625
2008,Percentage (%),,,,,3rd quintile,,,,,,,Repair,6.26743012335
2008,Percentage (%),,,,,4th quintile,,,,,,,Repair,4.93430377313
2008,Percentage (%),,,,,5th quintile (highest),,,,,,,Repair,5.10621480181
2008,Percentage (%),,,,,,In poverty,,,,,,Repair,8.13066432572
2008,Percentage (%),,,,,,Not in poverty,,,,,,Repair,5.59309027872
2008,Percentage (%),,,,,,,Workless household,,,,,Repair,7.58584659439
2008,Percentage (%),,,,,,,Working household,,,,,Repair,5.94457373956
2008,Percentage (%),,,,,,,,Long-term illness/disability,,,,Repair,6.18448810657
2008,Percentage (%),,,,,,,,No long-term illness/disability,,,,Repair,5.98431980198
2008,Percentage (%),,,,,,,,,White,,,Repair,5.82409258712
2008,Percentage (%),,,,,,,,,Black,,,Repair,6.57949115857
2008,Percentage (%),,,,,,,,,Asian,,,Repair,9.37143917602
2008,Percentage (%),,,,,,,,,Other,,,Repair,8.39434117158
2008,Percentage (%),,,,,,,,,All minority,,,Repair,8.22993795254
2008,Percentage (%),,,,,,,,,,Less than 1 year,,Repair,7.58503443546
2008,Percentage (%),,,,,,,,,,1-4 years,,Repair,6.00599165801
2008,Percentage (%),,,,,,,,,,5-9 years,,Repair,5.58832457567
2008,Percentage (%),,,,,,,,,,10-19 years,,Repair,5.06656368211
2008,Percentage (%),,,,,,,,,,20-29 years,,Repair,5.49849776253
2008,Percentage (%),,,,,,,,,,30 or more years,,Repair,7.61570101123
2008,Percentage (%),,,,,,,,,,,North,Repair,6.60743745055
2008,Percentage (%),,,,,,,,,,,South East,Repair,6.83909954041
2008,Percentage (%),,,,,,,,,,,Rest of England,Repair,5.85492191228
2009,Percentage (%),,,,,,,,,,,,Repair,6.06908139075801
2009,Percentage (%),City centre,,,,,,,,,,,Repair,9.69948754612022
2009,Percentage (%),Other urban centre,,,,,,,,,,,Repair,8.657939032135761
2009,Percentage (%),Suburban residential,,,,,,,,,,,Repair,4.844190565194485
2009,Percentage (%),Rural residential,,,,,,,,,,,Repair,5.622977441347247
2009,Percentage (%),Village centre,,,,,,,,,,,Repair,6.764654091469379
2009,Percentage (%),Rural,,,,,,,,,,,Repair,10.85894411965805
2009,Percentage (%),All city and urban centres,,,,,,,,,,,Repair,8.825108954778152
2009,Percentage (%),Suburban residential,,,,,,,,,,,Repair,4.844190565194485
2009,Percentage (%),All rural areas,,,,,,,,,,,Repair,6.73566612954508
2009,Percentage (%),,Couple under 60,,,,,,,,,,Repair,5.51142907129
2009,Percentage (%),,Couple 60 or over,,,,,,,,,,Repair,4.51040246979
2009,Percentage (%),,Couple with children,,,,,,,,,,Repair,4.9776432371
2009,Percentage (%),,Lone parent,,,,,,,,,,Repair,5.6933335387
2009,Percentage (%),,Multi-person household,,,,,,,,,,Repair,8.49435436084
2009,Percentage (%),,One person under 60,,,,,,,,,,Repair,6.67753650041
2009,Percentage (%),,One person 60 or over,,,,,,,,,,Repair,6.08318019119
2009,Percentage (%),,,59 and under,,,,,,,,,Repair,5.75860309857
2009,Percentage (%),,,60 and over,,,,,,,,,Repair,5.57637015525
2009,Percentage (%),,,75 and over,,,,,,,,,Repair,6.08897964071
2009,Percentage (%),,,,4 and under,,,,,,,,Repair,5.62921618167
2009,Percentage (%),,,,15 and under,,,,,,,,Repair,5.19925257326
2009,Percentage (%),,,,16 and over,,,,,,,,Repair,5.88954250957
2009,Percentage (%),,,,,1st quintile (lowest),,,,,,,Repair,7.15122872282
2009,Percentage (%),,,,,2nd quintile,,,,,,,Repair,5.44776505304
2009,Percentage (%),,,,,3rd quintile,,,,,,,Repair,6.27035965392
2009,Percentage (%),,,,,4th quintile,,,,,,,Repair,5.03436644106
2009,Percentage (%),,,,,5th quintile (highest),,,,,,,Repair,4.6091585734
2009,Percentage (%),,,,,,In poverty,,,,,,Repair,6.95875698421
2009,Percentage (%),,,,,,Not in poverty,,,,,,Repair,5.42592417616
2009,Percentage (%),,,,,,,Workless household,,,,,Repair,6.58885008103
2009,Percentage (%),,,,,,,Working household,,,,,Repair,5.6341524191
2009,Percentage (%),,,,,,,,Long-term illness/disability,,,,Repair,5.86571561275
2009,Percentage (%),,,,,,,,No long-term illness/disability,,,,Repair,5.59849172559
2009,Percentage (%),,,,,,,,,White,,,Repair,5.54490788808
2009,Percentage (%),,,,,,,,,Black,,,Repair,8.92808155818
2009,Percentage (%),,,,,,,,,Asian,,,Repair,6.46947569105
2009,Percentage (%),,,,,,,,,Other,,,Repair,6.08242399128
2009,Percentage (%),,,,,,,,,All minority,,,Repair,7.13758187616
2009,Percentage (%),,,,,,,,,,Less than 1 year,,Repair,5.98504924666
2009,Percentage (%),,,,,,,,,,1-4 years,,Repair,5.46773594864
2009,Percentage (%),,,,,,,,,,5-9 years,,Repair,5.28407750583
2009,Percentage (%),,,,,,,,,,10-19 years,,Repair,4.60422273883
2009,Percentage (%),,,,,,,,,,20-29 years,,Repair,6.46907570727
2009,Percentage (%),,,,,,,,,,30 or more years,,Repair,7.42278253229
2009,Percentage (%),,,,,,,,,,,North,Repair,6.16385545629
2009,Percentage (%),,,,,,,,,,,South East,Repair,6.46510718688
2009,Percentage (%),,,,,,,,,,,Rest of England,Repair,5.71132305469
2010,Percentage (%),,,,,,,,,,,,Repair,5.585
2010,Percentage (%),City centre,,,,,,,,,,,Repair,9.682
2010,Percentage (%),Other urban centre,,,,,,,,,,,Repair,8.496
2010,Percentage (%),Suburban residential,,,,,,,,,,,Repair,4.627
2010,Percentage (%),Rural residential,,,,,,,,,,,Repair,4.593
2010,Percentage (%),Rural,,,,,,,,,,,Repair,8.948
2010,Percentage (%),All city and urban centres,,,,,,,,,,,Repair,8.693
2010,Percentage (%),Suburban residential,,,,,,,,,,,Repair,4.627
2010,Percentage (%),All rural areas,,,,,,,,,,,Repair,5.192
2010,Percentage (%),,Couple under 60,,,,,,,,,,Repair,4.956
2010,Percentage (%),,Couple 60 or over,,,,,,,,,,Repair,3.57
2010,Percentage (%),,Couple with children,,,,,,,,,,Repair,4.55
2010,Percentage (%),,Lone parent,,,,,,,,,,Repair,5.658
2010,Percentage (%),,Multi-person household,,,,,,,,,,Repair,8.214
2010,Percentage (%),,One person under 60,,,,,,,,,,Repair,7.258
2010,Percentage (%),,One person 60 or over,,,,,,,,,,Repair,5.96
2010,Percentage (%),,,59 and under,,,,,,,,,Repair,5.497
2010,Percentage (%),,,60 and over,,,,,,,,,Repair,5.109
2010,Percentage (%),,,75 and over,,,,,,,,,Repair,5.475
2010,Percentage (%),,,,4 and under,,,,,,,,Repair,5.7
2010,Percentage (%),,,,15 and under,,,,,,,,Repair,5.065
2010,Percentage (%),,,,16 and over,,,,,,,,Repair,5.469
2010,Percentage (%),,,,,1st quintile (lowest),,,,,,,Repair,6.73
2010,Percentage (%),,,,,2nd quintile,,,,,,,Repair,5.023
2010,Percentage (%),,,,,3rd quintile,,,,,,,Repair,6.081
2010,Percentage (%),,,,,4th quintile,,,,,,,Repair,5.089
2010,Percentage (%),,,,,5th quintile (highest),,,,,,,Repair,3.938
2010,Percentage (%),,,,,,In poverty,,,,,,Repair,6.508
2010,Percentage (%),,,,,,Not in poverty,,,,,,Repair,5.124
2010,Percentage (%),,,,,,,Workless household,,,,,Repair,6.27
2010,Percentage (%),,,,,,,Working household,,,,,Repair,5.405
2010,Percentage (%),,,,,,,,Long-term illness/disability,,,,Repair,5.282
2010,Percentage (%),,,,,,,,No long-term illness/disability,,,,Repair,5.36
2010,Percentage (%),,,,,,,,,White,,,Repair,5.236
2010,Percentage (%),,,,,,,,,Black,,,Repair,8.282
2010,Percentage (%),,,,,,,,,Asian,,,Repair,5.69
2010,Percentage (%),,,,,,,,,All minority,,,Repair,6.445
2010,Percentage (%),,,,,,,,,,Less than 1 year,,Repair,6.41
2010,Percentage (%),,,,,,,,,,1-4 years,,Repair,5.22
2010,Percentage (%),,,,,,,,,,5-9 years,,Repair,4.615
2010,Percentage (%),,,,,,,,,,10-19 years,,Repair,4.354
2010,Percentage (%),,,,,,,,,,20-29 years,,Repair,5.568
2010,Percentage (%),,,,,,,,,,30 or more years,,Repair,7.26
2010,Percentage (%),,,,,,,,,,,North,Repair,6.174
2010,Percentage (%),,,,,,,,,,,South East,Repair,5.294
2010,Percentage (%),,,,,,,,,,,Rest of England,Repair,5.374
2011,Percentage (%),,,,,,,,,,,,Repair,5.233
2011,Percentage (%),City centre,,,,,,,,,,,Repair,8.641
2011,Percentage (%),Other urban centre,,,,,,,,,,,Repair,8.034
2011,Percentage (%),Suburban residential,,,,,,,,,,,Repair,4.453
2011,Percentage (%),Rural residential,,,,,,,,,,,Repair,3.349
2011,Percentage (%),Rural,,,,,,,,,,,Repair,9.77
2011,Percentage (%),All city and urban centres,,,,,,,,,,,Repair,8.133
2011,Percentage (%),Suburban residential,,,,,,,,,,,Repair,4.453
2011,Percentage (%),All rural areas,,,,,,,,,,,Repair,4.595
2011,Percentage (%),,Couple under 60,,,,,,,,,,Repair,5.071
2011,Percentage (%),,Couple 60 or over,,,,,,,,,,Repair,3.082
2011,Percentage (%),,Couple with children,,,,,,,,,,Repair,4.251
2011,Percentage (%),,Lone parent,,,,,,,,,,Repair,5.884
2011,Percentage (%),,Multi-person household,,,,,,,,,,Repair,9.313
2011,Percentage (%),,One person under 60,,,,,,,,,,Repair,5.932
2011,Percentage (%),,One person 60 or over,,,,,,,,,,Repair,5.803
2011,Percentage (%),,,59 and under,,,,,,,,,Repair,5.389
2011,Percentage (%),,,60 and over,,,,,,,,,Repair,4.652
2011,Percentage (%),,,75 and over,,,,,,,,,Repair,4.013
2011,Percentage (%),,,,4 and under,,,,,,,,Repair,5.634
2011,Percentage (%),,,,15 and under,,,,,,,,Repair,4.918
2011,Percentage (%),,,,16 and over,,,,,,,,Repair,5.192
2011,Percentage (%),,,,,1st quintile (lowest),,,,,,,Repair,6.343
2011,Percentage (%),,,,,2nd quintile,,,,,,,Repair,5.847
2011,Percentage (%),,,,,3rd quintile,,,,,,,Repair,4.627
2011,Percentage (%),,,,,4th quintile,,,,,,,Repair,4.996
2011,Percentage (%),,,,,5th quintile (highest),,,,,,,Repair,3.826
2011,Percentage (%),,,,,,In poverty,,,,,,Repair,6.691
2011,Percentage (%),,,,,,Not in poverty,,,,,,Repair,4.835
2011,Percentage (%),,,,,,,Workless household,,,,,Repair,6.053
2011,Percentage (%),,,,,,,Working household,,,,,Repair,5.226
2011,Percentage (%),,,,,,,,Long-term illness/disability,,,,Repair,5.275
2011,Percentage (%),,,,,,,,No long-term illness/disability,,,,Repair,5.046
2011,Percentage (%),,,,,,,,,White,,,Repair,4.919
2011,Percentage (%),,,,,,,,,Black,,,Repair,8.02
2011,Percentage (%),,,,,,,,,Asian,,,Repair,6.105
2011,Percentage (%),,,,,,,,,Other,,,Repair,6.545
2011,Percentage (%),,,,,,,,,All minority,,,Repair,6.801
2011,Percentage (%),,,,,,,,,,Less than 1 year,,Repair,6.114
2011,Percentage (%),,,,,,,,,,1-4 years,,Repair,5.467
2011,Percentage (%),,,,,,,,,,5-9 years,,Repair,4.468
2011,Percentage (%),,,,,,,,,,10-19 years,,Repair,4.346
2011,Percentage (%),,,,,,,,,,20-29 years,,Repair,3.952
2011,Percentage (%),,,,,,,,,,30 or more years,,Repair,6.951
2011,Percentage (%),,,,,,,,,,,North,Repair,6.72
2011,Percentage (%),,,,,,,,,,,South East,Repair,4.465
2011,Percentage (%),,,,,,,,,,,Rest of England,Repair,4.727
2012,Percentage (%),,,,,,,,,,,,Repair,4.751
2012,Percentage (%),City centre,,,,,,,,,,,Repair,5.802
2012,Percentage (%),Other urban centre,,,,,,,,,,,Repair,6.985
2012,Percentage (%),Suburban residential,,,,,,,,,,,Repair,4.065
2012,Percentage (%),Rural residential,,,,,,,,,,,Repair,3.493
2012,Percentage (%),Village centre,,,,,,,,,,,Repair,5.456
2012,Percentage (%),Rural,,,,,,,,,,,Repair,8.088
2012,Percentage (%),All city and urban centres,,,,,,,,,,,Repair,6.805
2012,Percentage (%),Suburban residential,,,,,,,,,,,Repair,4.065
2012,Percentage (%),All rural areas,,,,,,,,,,,Repair,4.775
2012,Percentage (%),,Couple under 60,,,,,,,,,,Repair,4.458
2012,Percentage (%),,Couple 60 or over,,,,,,,,,,Repair,3.052
2012,Percentage (%),,Couple with children,,,,,,,,,,Repair,3.708
2012,Percentage (%),,Lone parent,,,,,,,,,,Repair,4.795
2012,Percentage (%),,Multi-person household,,,,,,,,,,Repair,8.185
2012,Percentage (%),,One person under 60,,,,,,,,,,Repair,5.432
2012,Percentage (%),,One person 60 or over,,,,,,,,,,Repair,5.647
2012,Percentage (%),,,59 and under,,,,,,,,,Repair,4.857
2012,Percentage (%),,,60 and over,,,,,,,,,Repair,4.255
2012,Percentage (%),,,75 and over,,,,,,,,,Repair,3.894
2012,Percentage (%),,,,4 and under,,,,,,,,Repair,4.704
2012,Percentage (%),,,,15 and under,,,,,,,,Repair,3.965
2012,Percentage (%),,,,16 and over,,,,,,,,Repair,4.914
2012,Percentage (%),,,,,1st quintile (lowest),,,,,,,Repair,6.424
2012,Percentage (%),,,,,2nd quintile,,,,,,,Repair,5.404
2012,Percentage (%),,,,,3rd quintile,,,,,,,Repair,3.664
2012,Percentage (%),,,,,4th quintile,,,,,,,Repair,4.172
2012,Percentage (%),,,,,5th quintile (highest),,,,,,,Repair,3.687
2012,Percentage (%),,,,,,In poverty,,,,,,Repair,6.853
2012,Percentage (%),,,,,,Not in poverty,,,,,,Repair,4.294
2012,Percentage (%),,,,,,,Workless household,,,,,Repair,5.251
2012,Percentage (%),,,,,,,Working household,,,,,Repair,4.665
2012,Percentage (%),,,,,,,,Long-term illness/disability,,,,Repair,4.608
2012,Percentage (%),,,,,,,,No long-term illness/disability,,,,Repair,4.574
2012,Percentage (%),,,,,,,,,White,,,Repair,4.386
2012,Percentage (%),,,,,,,,,Black,,,Repair,7.448
2012,Percentage (%),,,,,,,,,Asian,,,Repair,6.525
2012,Percentage (%),,,,,,,,,Other,,,Repair,6.182
2012,Percentage (%),,,,,,,,,All minority,,,Repair,6.719
2012,Percentage (%),,,,,,,,,,Less than 1 year,,Repair,4.715
2012,Percentage (%),,,,,,,,,,1-4 years,,Repair,5.047
2012,Percentage (%),,,,,,,,,,5-9 years,,Repair,4.387
2012,Percentage (%),,,,,,,,,,10-19 years,,Repair,3.852
2012,Percentage (%),,,,,,,,,,20-29 years,,Repair,4.215
2012,Percentage (%),,,,,,,,,,30 or more years,,Repair,5.738
2012,Percentage (%),,,,,,,,,,,North,Repair,6.46
2012,Percentage (%),,,,,,,,,,,South East,Repair,4.126
2012,Percentage (%),,,,,,,,,,,Rest of England,Repair,3.994
2013,Percentage (%),,,,,,,,,,,,Repair,4.624968300853928
2013,Percentage (%),City centre,,,,,,,,,,,Repair,5.162357870869504
2013,Percentage (%),Other urban centre,,,,,,,,,,,Repair,6.172759515746982
2013,Percentage (%),Suburban residential,,,,,,,,,,,Repair,4.148217231819403
2013,Percentage (%),Rural residential,,,,,,,,,,,Repair,3.586022808100862
2013,Percentage (%),Village centre,,,,,,,,,,,Repair,4.839506498850751
2013,Percentage (%),Rural,,,,,,,,,,,Repair,7.83805506210171
2013,Percentage (%),All city and urban centres,,,,,,,,,,,Repair,6.027162119659959
2013,Percentage (%),Suburban residential,,,,,,,,,,,Repair,4.148217231819403
2013,Percentage (%),All rural areas,,,,,,,,,,,Repair,4.558275094800842
2013,Percentage (%),,Couple under 60,,,,,,,,,,Repair,3.35951024854
2013,Percentage (%),,Couple 60 or over,,,,,,,,,,Repair,3.30077554596
2013,Percentage (%),,Couple with children,,,,,,,,,,Repair,3.23008039387
2013,Percentage (%),,Lone parent,,,,,,,,,,Repair,4.54416178332
2013,Percentage (%),,Multi-person household,,,,,,,,,,Repair,6.52625879805
2013,Percentage (%),,One person under 60,,,,,,,,,,Repair,5.68711641037
2013,Percentage (%),,One person 60 or over,,,,,,,,,,Repair,5.407972955
2013,Percentage (%),,,59 and under,,,,,,,,,Repair,4.31737301844
2013,Percentage (%),,,60 and over,,,,,,,,,Repair,4.17387703876
2013,Percentage (%),,,75 and over,,,,,,,,,Repair,4.58106662567
2013,Percentage (%),,,,4 and under,,,,,,,,Repair,4.17071778658
2013,Percentage (%),,,,15 and under,,,,,,,,Repair,3.59639117354
2013,Percentage (%),,,,16 and over,,,,,,,,Repair,4.50508715684
2013,Percentage (%),,,,,1st quintile (lowest),,,,,,,Repair,6.01133143807
2013,Percentage (%),,,,,2nd quintile,,,,,,,Repair,4.19148782985
2013,Percentage (%),,,,,3rd quintile,,,,,,,Repair,4.893303808
2013,Percentage (%),,,,,4th quintile,,,,,,,Repair,3.45381150577
2013,Percentage (%),,,,,5th quintile (highest),,,,,,,Repair,2.9940542202
2013,Percentage (%),,,,,,In poverty,,,,,,Repair,5.88045969846
2013,Percentage (%),,,,,,Not in poverty,,,,,,Repair,4.01985709287
2013,Percentage (%),,,,,,,Workless household,,,,,Repair,5.17454201625
2013,Percentage (%),,,,,,,Working household,,,,,Repair,3.98810733768
2013,Percentage (%),,,,,,,,Long-term illness/disability,,,,Repair,4.5455867113
2013,Percentage (%),,,,,,,,No long-term illness/disability,,,,Repair,4.11734381967
2013,Percentage (%),,,,,,,,,White,,,Repair,4.07979400968
2013,Percentage (%),,,,,,,,,Black,,,Repair,5.28373919366
2013,Percentage (%),,,,,,,,,Asian,,,Repair,6.43341250072
2013,Percentage (%),,,,,,,,,Other,,,Repair,5.23130852211
2013,Percentage (%),,,,,,,,,All minority,,,Repair,5.81023246868
2013,Percentage (%),,,,,,,,,,Less than 1 year,,Repair,4.26633027605
2013,Percentage (%),,,,,,,,,,1-4 years,,Repair,4.40519557496
2013,Percentage (%),,,,,,,,,,5-9 years,,Repair,3.43847100756
2013,Percentage (%),,,,,,,,,,10-19 years,,Repair,3.32837954648
2013,Percentage (%),,,,,,,,,,20-29 years,,Repair,5.89002177509
2013,Percentage (%),,,,,,,,,,30 or more years,,Repair,5.21780239036
2013,Percentage (%),,,,,,,,,,,North,Repair,6.42973725016
2013,Percentage (%),,,,,,,,,,,South East,Repair,3.86175444451
2013,Percentage (%),,,,,,,,,,,Rest of England,Repair,3.91398919375
2014,Percentage (%),,,,,,,,,,,,Repair,4.553806988855512
2014,Percentage (%),City centre,,,,,,,,,,,Repair,5.795297118028587
2014,Percentage (%),Other urban centre,,,,,,,,,,,Repair,5.516898010959914
2014,Percentage (%),Suburban residential,,,,,,,,,,,Repair,4.16198714594371
2014,Percentage (%),Rural residential,,,,,,,,,,,Repair,3.594258741634482
2014,Percentage (%),Village centre,,,,,,,,,,,Repair,6.063705577451281
2014,Percentage (%),Rural,,,,,,,,,,,Repair,7.068373059358462
2014,Percentage (%),All city and urban centres,,,,,,,,,,,Repair,5.558601601552033
2014,Percentage (%),Suburban residential,,,,,,,,,,,Repair,4.16198714594371
2014,Percentage (%),All rural areas,,,,,,,,,,,Repair,4.659928977172686
2014,Percentage (%),,Couple under 60,,,,,,,,,,Repair,3.61184407357
2014,Percentage (%),,Couple 60 or over,,,,,,,,,,Repair,3.04700124072
2014,Percentage (%),,Couple with children,,,,,,,,,,Repair,3.67654705642
2014,Percentage (%),,Lone parent,,,,,,,,,,Repair,5.40722774342
2014,Percentage (%),,Multi-person household,,,,,,,,,,Repair,7.37001456032
2014,Percentage (%),,One person under 60,,,,,,,,,,Repair,4.86845337642
2014,Percentage (%),,One person 60 or over,,,,,,,,,,Repair,4.68246695324
2014,Percentage (%),,,59 and under,,,,,,,,,Repair,4.34555059758
2014,Percentage (%),,,60 and over,,,,,,,,,Repair,4.16026731343
2014,Percentage (%),,,75 and over,,,,,,,,,Repair,4.97606383132
2014,Percentage (%),,,,4 and under,,,,,,,,Repair,4.13837640195
2014,Percentage (%),,,,15 and under,,,,,,,,Repair,4.2526183009
2014,Percentage (%),,,,16 and over,,,,,,,,Repair,4.28169457496
2014,Percentage (%),,,,,1st quintile (lowest),,,,,,,Repair,5.83044323032
2014,Percentage (%),,,,,2nd quintile,,,,,,,Repair,3.87590040951
2014,Percentage (%),,,,,3rd quintile,,,,,,,Repair,5.49708157248
2014,Percentage (%),,,,,4th quintile,,,,,,,Repair,3.75925408071
2014,Percentage (%),,,,,5th quintile (highest),,,,,,,Repair,2.68878389066
2014,Percentage (%),,,,,,In poverty,,,,,,Repair,5.33390692579
2014,Percentage (%),,,,,,Not in poverty,,,,,,Repair,4.11232226836
2014,Percentage (%),,,,,,,Workless household,,,,,Repair,5.09240485126
2014,Percentage (%),,,,,,,Working household,,,,,Repair,4.2594912283
2014,Percentage (%),,,,,,,,Long-term illness/disability,,,,Repair,4.8773193747
2014,Percentage (%),,,,,,,,No long-term illness/disability,,,,Repair,3.9661635832
2014,Percentage (%),,,,,,,,,White,,,Repair,3.99441104171
2014,Percentage (%),,,,,,,,,Black,,,Repair,6.32945729425
2014,Percentage (%),,,,,,,,,Asian,,,Repair,7.53154620562
2014,Percentage (%),,,,,,,,,Other,,,Repair,5.79537870877
2014,Percentage (%),,,,,,,,,All minority,,,Repair,6.71098869215
2014,Percentage (%),,,,,,,,,,Less than 1 year,,Repair,4.25616997876
2014,Percentage (%),,,,,,,,,,1-4 years,,Repair,3.81140389499
2014,Percentage (%),,,,,,,,,,5-9 years,,Repair,3.59617416886
2014,Percentage (%),,,,,,,,,,10-19 years,,Repair,3.94009931227
2014,Percentage (%),,,,,,,,,,20-29 years,,Repair,5.31391681508
2014,Percentage (%),,,,,,,,,,30 or more years,,Repair,5.57070124862
2014,Percentage (%),,,,,,,,,,,North,Repair,5.49865039287
2014,Percentage (%),,,,,,,,,,,South East,Repair,4.15663663853
2014,Percentage (%),,,,,,,,,,,Rest of England,Repair,4.17891821303
2015,Percentage (%),,,,,,,,,,,,Repair,4.048400729373325
2015,Percentage (%),City centre,,,,,,,,,,,Repair,6.260277519260509
2015,Percentage (%),Other urban centre,,,,,,,,,,,Repair,4.818074496393284
2015,Percentage (%),Suburban residential,,,,,,,,,,,Repair,3.715536297778589
2015,Percentage (%),Rural residential,,,,,,,,,,,Repair,3.037588796170842
2015,Percentage (%),Village centre,,,,,,,,,,,Repair,5.433423283566965
2015,Percentage (%),Rural,,,,,,,,,,,Repair,5.669813621543909
2015,Percentage (%),All city and urban centres,,,,,,,,,,,Repair,5.067445484625038
2015,Percentage (%),Suburban residential,,,,,,,,,,,Repair,3.715536297778589
2015,Percentage (%),All rural areas,,,,,,,,,,,Repair,3.99190325882851
2015,Percentage (%),,Couple under 60,,,,,,,,,,Repair,4.13897421543
2015,Percentage (%),,Couple 60 or over,,,,,,,,,,Repair,2.72716751904
2015,Percentage (%),,Couple with children,,,,,,,,,,Repair,3.80907321321
2015,Percentage (%),,Lone parent,,,,,,,,,,Repair,4.26076712293
2015,Percentage (%),,Multi-person household,,,,,,,,,,Repair,6.59926193899
2015,Percentage (%),,One person under 60,,,,,,,,,,Repair,3.90176197753
2015,Percentage (%),,One person 60 or over,,,,,,,,,,Repair,4.1351285253
2015,Percentage (%),,,59 and under,,,,,,,,,Repair,4.21826193946
2015,Percentage (%),,,60 and over,,,,,,,,,Repair,3.66776961725
2015,Percentage (%),,,75 and over,,,,,,,,,Repair,4.71432150915
2015,Percentage (%),,,,4 and under,,,,,,,,Repair,3.4897843956
2015,Percentage (%),,,,15 and under,,,,,,,,Repair,3.8372929284
2015,Percentage (%),,,,16 and over,,,,,,,,Repair,4.06493934318
2015,Percentage (%),,,,,1st quintile (lowest),,,,,,,Repair,5.62599121899
2015,Percentage (%),,,,,2nd quintile,,,,,,,Repair,3.25283457644
2015,Percentage (%),,,,,3rd quintile,,,,,,,Repair,4.57389262856
2015,Percentage (%),,,,,4th quintile,,,,,,,Repair,4.0143531557
2015,Percentage (%),,,,,5th quintile (highest),,,,,,,Repair,2.75416351975
2015,Percentage (%),,,,,,In poverty,,,,,,Repair,5.66898797773
2015,Percentage (%),,,,,,Not in poverty,,,,,,Repair,3.73128887064
2015,Percentage (%),,,,,,,Workless household,,,,,Repair,5.02239807493
2015,Percentage (%),,,,,,,Working household,,,,,Repair,4.10566201202
2015,Percentage (%),,,,,,,,Long-term illness/disability,,,,Repair,3.60297341273
2015,Percentage (%),,,,,,,,No long-term illness/disability,,,,Repair,4.17672098774
2015,Percentage (%),,,,,,,,,White,,,Repair,3.81911675723
2015,Percentage (%),,,,,,,,,Black,,,Repair,5.70820310346
2015,Percentage (%),,,,,,,,,Asian,,,Repair,6.81235964289
2015,Percentage (%),,,,,,,,,Other,,,Repair,3.0939521136
2015,Percentage (%),,,,,,,,,All minority,,,Repair,5.50867982281
2015,Percentage (%),,,,,,,,,,Less than 1 year,,Repair,4.66148564911
2015,Percentage (%),,,,,,,,,,1-4 years,,Repair,3.5695555679
2015,Percentage (%),,,,,,,,,,5-9 years,,Repair,3.90084942077
2015,Percentage (%),,,,,,,,,,10-19 years,,Repair,3.6698604093
2015,Percentage (%),,,,,,,,,,20-29 years,,Repair,3.42230496965
2015,Percentage (%),,,,,,,,,,30 or more years,,Repair,5.38144233858
2015,Percentage (%),,,,,,,,,,,North,Repair,4.89147342404
2015,Percentage (%),,,,,,,,,,,South East,Repair,3.71362092759
2015,Percentage (%),,,,,,,,,,,Rest of England,Repair,3.70121081134
2008,Percentage (%),,,,,,,,,,,,Modern facilities and services,3.267619923884614
2008,Percentage (%),City centre,,,,,,,,,,,Modern facilities and services,10.14681206862775
2008,Percentage (%),Other urban centre,,,,,,,,,,,Modern facilities and services,4.566502598249414
2008,Percentage (%),Suburban residential,,,,,,,,,,,Modern facilities and services,2.619975945455359
2008,Percentage (%),Rural residential,,,,,,,,,,,Modern facilities and services,2.201243234994173
2008,Percentage (%),Village centre,,,,,,,,,,,Modern facilities and services,4.365280049244734
2008,Percentage (%),Rural,,,,,,,,,,,Modern facilities and services,3.372859830941936
2008,Percentage (%),All city and urban centres,,,,,,,,,,,Modern facilities and services,5.363679318939065
2008,Percentage (%),Suburban residential,,,,,,,,,,,Modern facilities and services,2.619975945455359
2008,Percentage (%),All rural areas,,,,,,,,,,,Modern facilities and services,2.832203998365631
2008,Percentage (%),,Couple under 60,,,,,,,,,,Modern facilities and services,1.86322906835
