Year,Series,Sex,Age,Country,Deprivation level,Household income (£),Region,Socio-economic classification,Urban or rural,Working status,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2018,Percentage of individuals who use a smartphone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,80
2018,Percentage of individuals who use a smartphone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,77
2018,Percentage of individuals who use a smartphone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,73
2018,Percentage of individuals who use a smartphone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,76
2018,Percentage of individuals who use a smartphone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,79
2018,Percentage of individuals who use a smartphone,,,,,,,AB,,,Percentage (%),Units,Normal value,,89
2018,Percentage of individuals who use a smartphone,,,,,,,DE,,,Percentage (%),Units,Normal value,,63
2018,Percentage of individuals who use a smartphone,,,,,,,C2,,,Percentage (%),Units,Normal value,,78
2018,Percentage of individuals who use a smartphone,,,,,,,C1,,,Percentage (%),Units,Normal value,,83
2018,Percentage of individuals who use a smartphone,,,,,,,,,,Percentage (%),Units,Normal value,,78
2018,Percentage of individuals who use a smartphone,,,,,,London,,,,Percentage (%),Units,Normal value,E12000007,85
2018,Percentage of individuals who use a smartphone,,,,,,South East,,,,Percentage (%),Units,Normal value,E12000008,77
2018,Percentage of individuals who use a smartphone,,,,,,South West,,,,Percentage (%),Units,Normal value,E12000009,80
2018,Percentage of individuals who use a smartphone,,,,,,East Midlands,,,,Percentage (%),Units,Normal value,E12000004,79
2018,Percentage of individuals who use a smartphone,,,,,,West Midlands,,,,Percentage (%),Units,Normal value,E12000005,71
2018,Percentage of individuals who use a smartphone,,,,,,East of England,,,,Percentage (%),Units,Normal value,E12000006,81
2018,Percentage of individuals who use a smartphone,,,,,,Yorkshire and the Humber,,,,Percentage (%),Units,Normal value,,80
2018,Percentage of individuals who use a smartphone,,,,,,North East,,,,Percentage (%),Units,Normal value,E12000001,82
2018,Percentage of individuals who use a smartphone,,,,,,North West,,,,Percentage (%),Units,Normal value,E12000002,75
2018,Percentage of individuals who use a smartphone,,,,,,,,,Working,Percentage (%),Units,Normal value,,91
2018,Percentage of individuals who use a smartphone,,,,,,,,,Not-working,Percentage (%),Units,Normal value,,60
2018,Percentage of individuals who use a smartphone,,,,Low,,,,,,Percentage (%),Units,Normal value,,79
2018,Percentage of individuals who use a smartphone,,,,Medium/high,,,,,,Percentage (%),Units,Normal value,,78
2019,Percentage of individuals who use a smartphone,Female,,,,,,,,,Percentage (%),Units,Normal value,,84
2019,Percentage of individuals who use a smartphone,Male,,,,,,,,,Percentage (%),Units,Normal value,,85
2019,Percentage of individuals who use a smartphone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,85
2019,Percentage of individuals who use a smartphone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,86
2019,Percentage of individuals who use a smartphone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,84
2019,Percentage of individuals who use a smartphone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,79
2019,Percentage of individuals who use a smartphone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,84
2019,Percentage of individuals who use a smartphone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,84
2019,Percentage of individuals who use a smartphone,,,,,,,AB,,,Percentage (%),Units,Normal value,,90
2019,Percentage of individuals who use a smartphone,,,,,,,DE,,,Percentage (%),Units,Normal value,,74
2019,Percentage of individuals who use a smartphone,,,,,,,C2,,,Percentage (%),Units,Normal value,,84
2019,Percentage of individuals who use a smartphone,,,,,,,C1,,,Percentage (%),Units,Normal value,,88
2019,Percentage of individuals who use a smartphone,,,,,,,,,,Percentage (%),Units,Normal value,,84
2019,Percentage of individuals who use a smartphone,,,,,,London,,,,Percentage (%),Units,Normal value,E12000007,90
2019,Percentage of individuals who use a smartphone,,,,,,South East,,,,Percentage (%),Units,Normal value,E12000008,84
2019,Percentage of individuals who use a smartphone,,,,,,South West,,,,Percentage (%),Units,Normal value,E12000009,87
2019,Percentage of individuals who use a smartphone,,,,,,East Midlands,,,,Percentage (%),Units,Normal value,E12000004,82
2019,Percentage of individuals who use a smartphone,,,,,,West Midlands,,,,Percentage (%),Units,Normal value,E12000005,82
2019,Percentage of individuals who use a smartphone,,,,,,East of England,,,,Percentage (%),Units,Normal value,E12000006,84
2019,Percentage of individuals who use a smartphone,,,,,,Yorkshire and the Humber,,,,Percentage (%),Units,Normal value,,84
2019,Percentage of individuals who use a smartphone,,,,,,North East,,,,Percentage (%),Units,Normal value,E12000001,83
2019,Percentage of individuals who use a smartphone,,,,,,North West,,,,Percentage (%),Units,Normal value,E12000002,82
2019,Percentage of individuals who use a smartphone,,,,,,,,,Working,Percentage (%),Units,Normal value,,94
2019,Percentage of individuals who use a smartphone,,,,,,,,,Not-working,Percentage (%),Units,Normal value,,70
2019,Percentage of individuals who use a smartphone,,,,Low,,,,,,Percentage (%),Units,Normal value,,84
2019,Percentage of individuals who use a smartphone,,,,Medium/high,,,,,,Percentage (%),Units,Normal value,,85
2020,Percentage of individuals who use a smartphone,Female,,,,,,,,,Percentage (%),Units,Normal value,,87
2020,Percentage of individuals who use a smartphone,Male,,,,,,,,,Percentage (%),Units,Normal value,,88
2020,Percentage of individuals who use a smartphone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,88
2020,Percentage of individuals who use a smartphone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,91
2020,Percentage of individuals who use a smartphone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,84
2020,Percentage of individuals who use a smartphone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,85
2020,Percentage of individuals who use a smartphone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,84
2020,Percentage of individuals who use a smartphone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,88
2020,Percentage of individuals who use a smartphone,,,,,,,AB,,,Percentage (%),Units,Normal value,,91
2020,Percentage of individuals who use a smartphone,,,,,,,DE,,,Percentage (%),Units,Normal value,,80
2020,Percentage of individuals who use a smartphone,,,,,,,C2,,,Percentage (%),Units,Normal value,,86
2020,Percentage of individuals who use a smartphone,,,,,,,C1,,,Percentage (%),Units,Normal value,,91
2020,Percentage of individuals who use a smartphone,,,,,,,,,,Percentage (%),Units,Normal value,,87
2020,Percentage of individuals who use a smartphone,,,,,,London,,,,Percentage (%),Units,Normal value,E12000007,94
2020,Percentage of individuals who use a smartphone,,,,,,South East,,,,Percentage (%),Units,Normal value,E12000008,88
2020,Percentage of individuals who use a smartphone,,,,,,South West,,,,Percentage (%),Units,Normal value,E12000009,85
2020,Percentage of individuals who use a smartphone,,,,,,East Midlands,,,,Percentage (%),Units,Normal value,E12000004,88
2020,Percentage of individuals who use a smartphone,,,,,,West Midlands,,,,Percentage (%),Units,Normal value,E12000005,86
2020,Percentage of individuals who use a smartphone,,,,,,East of England,,,,Percentage (%),Units,Normal value,E12000006,87
2020,Percentage of individuals who use a smartphone,,,,,,Yorkshire and the Humber,,,,Percentage (%),Units,Normal value,,85
2020,Percentage of individuals who use a smartphone,,,,,,North East,,,,Percentage (%),Units,Normal value,E12000001,87
2020,Percentage of individuals who use a smartphone,,,,,,North West,,,,Percentage (%),Units,Normal value,E12000002,85
2020,Percentage of individuals who use a smartphone,,,,,,,,,Working,Percentage (%),Units,Normal value,,95
2020,Percentage of individuals who use a smartphone,,,,,,,,,Not-working,Percentage (%),Units,Normal value,,75
2020,Percentage of individuals who use a smartphone,,,,Low,,,,,,Percentage (%),Units,Normal value,,87
2020,Percentage of individuals who use a smartphone,,,,Medium/high,,,,,,Percentage (%),Units,Normal value,,87
