Year,Series,Seasonally adjusted or not,Age,Sex,Units,Unit multiplier,Observation status,Value
2011 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,16.29130683
2011 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,17.88739077
2011 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,17.82970502
2012 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,17.57327277
2012 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,17.42517008
2012 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,15.98553214
2012 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,15.76121282
2013 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,15.64691044
2013 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,15.86605045
2013 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,16.45017789
2013 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,15.80679728
2014 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,14.63046456
2014 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,14.49530206
2014 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,14.303726
2014 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.32427796
2015 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.25914505
2015 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.45557456
2015 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.47252887
2015 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.45765876
2016 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.70334619
2016 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.93095808
2016 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.69777082
2016 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.15776343
2017 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.52093863
2017 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.10589376
2017 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.27089766
2017 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.08199836
2018 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.64036279
2018 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.37886805
2018 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.42288878
2018 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.98870443
2019 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.33916367
2019 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.51691925
2019 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.48012729
2019 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.51918114
2020 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.39213247
2020 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.37138173
2020 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,14.36969247
2020 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,15.80275467
2021 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,14.51512909
2021 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.53889508
2001 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,10.93157773
2002 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.88878735
2002 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.28977424
2002 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.77367003
2002 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,10.3116769
2003 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.31755154
2003 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,10.16270549
2003 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.88523134
2003 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,10.14404263
2004 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,10.47564905
2004 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,10.08473743
2004 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.48996282
2004 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.65004664
2005 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.45925139
2005 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.36080868
2005 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.19332584
2005 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.6770436
2006 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.31484093
2006 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.25738714
2006 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,14.00326023
2006 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.21901459
2007 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.79526878
2007 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.45584799
2007 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.95739451
2007 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.37563236
2008 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.99890227
2008 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.78389787
2008 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,15.18935018
2008 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.05917711
2009 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,15.25596363
2009 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,15.19110444
2009 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,17.55129443
2009 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,14.57537392
2010 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,15.58379933
2010 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.95733291
2010 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,16.77837329
2010 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,16.50323777
2011 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,15.84815314
2011 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,15.37212318
2011 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,19.36888898
2011 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,17.60548595
2012 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,17.05204739
2012 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,16.64679373
2012 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,17.53259727
2012 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,15.56746462
2013 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,14.95225324
2013 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,15.19636382
2013 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,18.02828963
2013 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,15.59869231
2014 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.83213981
2014 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.91282845
2014 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,15.90093098
2014 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.08822957
2015 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.40855073
2015 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.93211283
2015 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,14.04612489
2015 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.19968158
2016 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.84544901
2016 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.40187456
2016 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,15.27363463
2016 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.89263292
2017 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.66645085
2017 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.54864474
2017 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,14.8425219
2017 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.81781346
2018 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.79560005
2018 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.78420311
2018 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.0038262
2018 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.76152688
2019 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.65842014
2019 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.07590281
2019 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,14.90321612
2019 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.26852902
2020 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,12.32752703
2020 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.27588678
2020 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,15.72747589
2020 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,15.62152865
2021 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,13.41777376
2021 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Male,Percentage (%),Units,Normal value,11.13495486
2001 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.33961624
2002 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.77648757
2002 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.83137695
2002 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.77989615
2002 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,13.92644552
2003 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.82749394
2003 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.66133156
2003 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.43258102
2003 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,13.96671166
2004 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,13.71888475
2004 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.28990124
2004 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.86307175
2004 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.8277998
2005 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.78090126
2005 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.12919566
2005 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.82436176
2005 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.88484239
2006 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.63649831
2006 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,16.14691312
2006 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.78235038
2006 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.39970352
2007 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.76241287
2007 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.78033925
2007 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.358046
2007 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.97326604
2008 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.189084
2008 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.62106006
2008 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,16.2220539
2008 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,16.14615329
2009 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,17.30428708
2009 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,17.83383857
2009 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,18.05297757
2009 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,17.27567628
2010 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,18.03289079
2010 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,17.09322691
2010 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,17.8231391
2010 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,18.59300287
2011 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,17.79862326
2011 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,18.39854686
2011 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,19.55443386
2011 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,19.08968809
2012 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,18.80545025
2012 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,18.80675259
2012 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,17.64058725
2012 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,17.41877265
2013 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,17.57996064
2013 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,17.5419655
2013 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,17.75500438
2013 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,16.76645845
2014 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.94965836
2014 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.65416746
2014 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.75859156
2014 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.70163045
2015 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.23533058
2015 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.06925689
2015 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,13.91385223
2015 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.04493046
2016 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.01608554
2016 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,13.62456249
2016 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,13.99496825
2016 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,13.33800132
2017 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,12.92061886
2017 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,12.78684787
2017 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,12.90335594
2017 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,12.96657505
2018 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,13.12808103
2018 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,12.88106538
2018 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,12.69889312
2018 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,12.95927494
2019 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,12.86023007
2019 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,13.34441928
2019 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,13.31642078
2019 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,12.74868277
2020 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,13.20976155
2020 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,13.16680365
2020 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,13.19799486
2020 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.04434803
2021 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,12.81777604
2021 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,10.81556633
2001 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,13.91689409
2002 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.44591061
2002 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.13756694
2002 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,16.0869685
2002 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,13.48130832
2003 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.43616878
2003 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,13.9727047
2003 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.82933487
2003 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,13.51348731
2004 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,13.23580532
2004 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,13.63886196
2004 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,16.32667426
2004 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.38785854
2005 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.20798842
2005 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,14.53738693
2005 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,16.33253445
2005 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.46989641
2006 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.02028569
2006 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,15.59369071
2006 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,,Percentage (%),Units,Normal value,17.3281923
