Year,Series,Sector,Age,Sex,Country,Region,Observation status,Unit multiplier,Units,GeoCode,Value
2013,Public sector employment,,,,England,South East,Undefined,Units,Percentage (%),E12000008,13.7160538133
2014,Public sector employment,,,,England,South East,Undefined,Units,Percentage (%),E12000008,13.7372510618
2015,Public sector employment,,,,England,South East,Undefined,Units,Percentage (%),E12000008,13.7427558401
2016,Public sector employment,,,,England,South East,Undefined,Units,Percentage (%),E12000008,13.7495271375
2014,Public sector employment,Public sector,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.04908861216
2015,Public sector employment,Public sector,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.09923385626
2016,Public sector employment,Public sector,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.14123673619
2017,Public sector employment,Public sector,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.16587504567
2013,Public sector employment,Public sector,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.21023703195
2012,Public sector employment,Public sector,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.28079741012
2000,Public sector employment,,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.35014871515
2001,Public sector employment,,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.36256434623
2011,Public sector employment,,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.37610627265
2012,Public sector employment,,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.38181380654
2002,Public sector employment,,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.38216500083
2010,Public sector employment,,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.38323072781
2013,Public sector employment,,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.38864540716
2009,Public sector employment,,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.39508544794
2003,Public sector employment,,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.39526028469
2014,Public sector employment,,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.39562800309
2016,Public sector employment,,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.40230999079
2015,Public sector employment,,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.40297518505
2004,Public sector employment,,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.40409242553
2006,Public sector employment,,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.41704236701
2005,Public sector employment,,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.41887965155
2008,Public sector employment,,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.41916277771
2007,Public sector employment,,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.43218362312
2008,Public sector employment,Public sector,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.47768154564
2011,Public sector employment,Public sector,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.55580572531
2009,Public sector employment,Public sector,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.56297680212
2010,Public sector employment,Public sector,,,England,South West,Undefined,Units,Percentage (%),E12000009,8.58656693159
2016,Public sector employment,Public sector,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.4156604464
2017,Public sector employment,Public sector,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.42162952137
2013,Public sector employment,Public sector,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.43352799725
2014,Public sector employment,Public sector,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.48222342537
2015,Public sector employment,Public sector,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.50054724553
2012,Public sector employment,Public sector,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.5023002215
2008,Public sector employment,Public sector,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.51099267155
2011,Public sector employment,Public sector,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.52364104214
2010,Public sector employment,Public sector,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.5242325074
2009,Public sector employment,Public sector,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.53183870466
2015,Public sector employment,,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.83273997369
2016,Public sector employment,,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.8361095974
2014,Public sector employment,,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.84453757056
2013,Public sector employment,,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.85212402638
2012,Public sector employment,,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.85733669696
2011,Public sector employment,,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.86253322166
2010,Public sector employment,,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.86856954273
2009,Public sector employment,,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.87883689183
2008,Public sector employment,,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.89017253752
2007,Public sector employment,,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.89107345471
2006,Public sector employment,,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.90314339832
2005,Public sector employment,,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.90646453273
2004,Public sector employment,,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.9180042343
2002,Public sector employment,,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.92981141275
2003,Public sector employment,,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.929867671
2001,Public sector employment,,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.93327283453
2000,Public sector employment,,,,England,West Midlands,Undefined,Units,Percentage (%),E12000005,8.94885063215
2016,Public sector employment,,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.26489236071
2015,Public sector employment,,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.27917859788
2014,Public sector employment,,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.29767261363
2013,Public sector employment,,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.3264278062
2012,Public sector employment,,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.34579467273
2011,Public sector employment,,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.35616636416
2010,Public sector employment,,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.37290240374
2009,Public sector employment,,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.38950084649
2008,Public sector employment,,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.40886091518
2001,Public sector employment,,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.41886159217
2000,Public sector employment,,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.42068322956
2007,Public sector employment,,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.42174804496
2002,Public sector employment,,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.42256208078
2003,Public sector employment,,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.42822825999
2006,Public sector employment,,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.44034778136
2004,Public sector employment,,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.44565180622
2005,Public sector employment,,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.45577054951
2017,Public sector employment,Public sector,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.45816587505
2016,Public sector employment,Public sector,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.48884010245
2015,Public sector employment,Public sector,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.50054724553
2014,Public sector employment,Public sector,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.51831799314
2013,Public sector employment,Public sector,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.70834764686
2012,Public sector employment,Public sector,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.72380303288
2008,Public sector employment,Public sector,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.77748167888
2009,Public sector employment,Public sector,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.84321967928
2011,Public sector employment,Public sector,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.89353489868
2010,Public sector employment,Public sector,,,England,Yorkshire and The Humber,Undefined,Units,Percentage (%),E12000003,8.91382265856
2013,Public sector employment,Public sector,,,England,,Undefined,Units,Percentage (%),E92000001,79.5431123325
2008,Public sector employment,Public sector,,,England,,Undefined,Units,Percentage (%),E92000001,79.5636242505
2012,Public sector employment,Public sector,,,England,,Undefined,Units,Percentage (%),E92000001,79.6217413529
2014,Public sector employment,Public sector,,,England,,Undefined,Units,Percentage (%),E92000001,79.6246164952
2015,Public sector employment,Public sector,,,England,,Undefined,Units,Percentage (%),E92000001,79.952572054
2009,Public sector employment,Public sector,,,England,,Undefined,Units,Percentage (%),E92000001,80.024910478
2016,Public sector employment,Public sector,,,England,,Undefined,Units,Percentage (%),E92000001,80.0768386389
2017,Public sector employment,Public sector,,,England,,Undefined,Units,Percentage (%),E92000001,80.0876872488
2010,Public sector employment,Public sector,,,England,,Undefined,Units,Percentage (%),E92000001,80.3179055633
2011,Public sector employment,Public sector,,,England,,Undefined,Units,Percentage (%),E92000001,80.4117079447
2000,Public sector employment,,,,England,,Undefined,Units,Percentage (%),E92000001,83.6077448884
2001,Public sector employment,,,,England,,Undefined,Units,Percentage (%),E92000001,83.6528895768
2002,Public sector employment,,,,England,,Undefined,Units,Percentage (%),E92000001,83.6834843137
2003,Public sector employment,,,,England,,Undefined,Units,Percentage (%),E92000001,83.7161493043
2004,Public sector employment,,,,England,,Undefined,Units,Percentage (%),E92000001,83.7269311659
2005,Public sector employment,,,,England,,Undefined,Units,Percentage (%),E92000001,83.7664125349
2006,Public sector employment,,,,England,,Undefined,Units,Percentage (%),E92000001,83.7870186968
2007,Public sector employment,,,,England,,Undefined,Units,Percentage (%),E92000001,83.7930007914
2008,Public sector employment,,,,England,,Undefined,Units,Percentage (%),E92000001,83.8121831195
2009,Public sector employment,,,,England,,Undefined,Units,Percentage (%),E92000001,83.8354859614
2010,Public sector employment,,,,England,,Undefined,Units,Percentage (%),E92000001,83.8797136801
2011,Public sector employment,,,,England,,Undefined,Units,Percentage (%),E92000001,83.9172747412
2012,Public sector employment,,,,England,,Undefined,Units,Percentage (%),E92000001,83.9709658719
2013,Public sector employment,,,,England,,Undefined,Units,Percentage (%),E92000001,84.026624235
2014,Public sector employment,,,,England,,Undefined,Units,Percentage (%),E92000001,84.0856797258
2015,Public sector employment,,,,England,,Undefined,Units,Percentage (%),E92000001,84.1442150069
2016,Public sector employment,,,,England,,Undefined,Units,Percentage (%),E92000001,84.1884315413
2008,Public sector employment,Public sector,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,95.619586942
2014,Public sector employment,Public sector,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,95.6686518679
2015,Public sector employment,Public sector,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,95.7497263772
2012,Public sector employment,Public sector,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,95.7744079059
2013,Public sector employment,Public sector,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,95.7746478873
2009,Public sector employment,Public sector,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,95.8274949401
2016,Public sector employment,Public sector,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,95.8836443469
2017,Public sector employment,Public sector,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,95.8896602119
2011,Public sector employment,Public sector,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,95.9633322612
2010,Public sector employment,Public sector,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,95.97942964
2009,Public sector employment,,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,97.119628973
2008,Public sector employment,,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,97.1222202359
2010,Public sector employment,,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,97.1242054743
2007,Public sector employment,,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,97.1270228718
2011,Public sector employment,,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,97.1331060393
2006,Public sector employment,,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,97.1343135779
2012,Public sector employment,,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,97.13737832
2005,Public sector employment,,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,97.1401435009
2002,Public sector employment,,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,97.14054638
2004,Public sector employment,,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,97.1408980936
2003,Public sector employment,,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,97.1411478396
2000,Public sector employment,,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,97.1420335185
2001,Public sector employment,,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,97.1430353004
2013,Public sector employment,,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,97.1457665809
2014,Public sector employment,,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,97.1507886341
2015,Public sector employment,,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,97.1561664367
2016,Public sector employment,,,,Great Britain,,Undefined,Units,Percentage (%),K03000001,97.1634543805
2016,Public sector employment,,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,2.83654561946
2015,Public sector employment,,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,2.84383356335
2014,Public sector employment,,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,2.84921136592
2013,Public sector employment,,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,2.8542334191
2001,Public sector employment,,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,2.85696469962
2000,Public sector employment,,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,2.85796648154
2003,Public sector employment,,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,2.85885216044
2004,Public sector employment,,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,2.85910190637
2002,Public sector employment,,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,2.85945361998
2005,Public sector employment,,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,2.85985649909
2012,Public sector employment,,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,2.86262167995
2006,Public sector employment,,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,2.86568642213
2011,Public sector employment,,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,2.86689396066
2007,Public sector employment,,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,2.87297712824
2010,Public sector employment,,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,2.87579452569
2008,Public sector employment,,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,2.87777976407
2009,Public sector employment,,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,2.88037102698
2010,Public sector employment,Public sector,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,3.56864578463
2011,Public sector employment,Public sector,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,3.60244451592
2009,Public sector employment,Public sector,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,3.62758835435
2008,Public sector employment,Public sector,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,3.74750166556
2012,Public sector employment,Public sector,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,3.76554779349
2013,Public sector employment,Public sector,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,3.79594641017
2017,Public sector employment,Public sector,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,3.81804895871
2016,Public sector employment,Public sector,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,3.82363702891
2014,Public sector employment,Public sector,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,3.88016603501
2015,Public sector employment,Public sector,,,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,3.90368478657
2016,Public sector employment,,,,Scotland,,Undefined,Units,Percentage (%),S92000003,8.23284114408
2015,Public sector employment,,,,Scotland,,Undefined,Units,Percentage (%),S92000003,8.25218429467
2014,Public sector employment,,,,Scotland,,Undefined,Units,Percentage (%),S92000003,8.27843480428
2013,Public sector employment,,,,Scotland,,Undefined,Units,Percentage (%),S92000003,8.31081139894
2012,Public sector employment,,,,Scotland,,Undefined,Units,Percentage (%),S92000003,8.34094262258
2011,Public sector employment,,,,Scotland,,Undefined,Units,Percentage (%),S92000003,8.37463515332
2010,Public sector employment,,,,Scotland,,Undefined,Units,Percentage (%),S92000003,8.38471257622
2009,Public sector employment,,,,Scotland,,Undefined,Units,Percentage (%),S92000003,8.40324310992
2008,Public sector employment,,,,Scotland,,Undefined,Units,Percentage (%),S92000003,8.41569485602
2007,Public sector employment,,,,Scotland,,Undefined,Units,Percentage (%),S92000003,8.43130787606
2006,Public sector employment,,,,Scotland,,Undefined,Units,Percentage (%),S92000003,8.43884187281
2005,Public sector employment,,,,Scotland,,Undefined,Units,Percentage (%),S92000003,8.45873678494
2004,Public sector employment,,,,Scotland,,Undefined,Units,Percentage (%),S92000003,8.48084925723
2003,Public sector employment,,,,Scotland,,Undefined,Units,Percentage (%),S92000003,8.4989666256
2002,Public sector employment,,,,Scotland,,Undefined,Units,Percentage (%),S92000003,8.53355045543
2001,Public sector employment,,,,Scotland,,Undefined,Units,Percentage (%),S92000003,8.56697956335
2000,Public sector employment,,,,Scotland,,Undefined,Units,Percentage (%),S92000003,8.59785757462
2011,Public sector employment,Public sector,,,Scotland,,Undefined,Units,Percentage (%),S92000003,9.93888710196
2010,Public sector employment,Public sector,,,Scotland,,Undefined,Units,Percentage (%),S92000003,10.067009506
2014,Public sector employment,Public sector,,,Scotland,,Undefined,Units,Percentage (%),S92000003,10.1606208266
2009,Public sector employment,Public sector,,,Scotland,,Undefined,Units,Percentage (%),S92000003,10.1665888214
2017,Public sector employment,Public sector,,,Scotland,,Undefined,Units,Percentage (%),S92000003,10.2119108513
2015,Public sector employment,Public sector,,,Scotland,,Undefined,Units,Percentage (%),S92000003,10.2152499088
2008,Public sector employment,Public sector,,,Scotland,,Undefined,Units,Percentage (%),S92000003,10.2265156562
2012,Public sector employment,Public sector,,,Scotland,,Undefined,Units,Percentage (%),S92000003,10.240245357
2016,Public sector employment,Public sector,,,Scotland,,Undefined,Units,Percentage (%),S92000003,10.2451518478
2013,Public sector employment,Public sector,,,Scotland,,Undefined,Units,Percentage (%),S92000003,10.3057368602
2016,Public sector employment,,,,Wales,,Undefined,Units,Percentage (%),W92000004,4.74218169513
2015,Public sector employment,,,,Wales,,Undefined,Units,Percentage (%),W92000004,4.75976713512
2014,Public sector employment,,,,Wales,,Undefined,Units,Percentage (%),W92000004,4.78667410399
2013,Public sector employment,,,,Wales,,Undefined,Units,Percentage (%),W92000004,4.80833094691
2012,Public sector employment,,,,Wales,,Undefined,Units,Percentage (%),W92000004,4.82546982554
2011,Public sector employment,,,,Wales,,Undefined,Units,Percentage (%),W92000004,4.84119614485
2010,Public sector employment,,,,Wales,,Undefined,Units,Percentage (%),W92000004,4.85977921797
2009,Public sector employment,,,,Wales,,Undefined,Units,Percentage (%),W92000004,4.88089990175
2008,Public sector employment,,,,Wales,,Undefined,Units,Percentage (%),W92000004,4.89434226045
2007,Public sector employment,,,,Wales,,Undefined,Units,Percentage (%),W92000004,4.90271420435
2006,Public sector employment,,,,Wales,,Undefined,Units,Percentage (%),W92000004,4.90845300826
2005,Public sector employment,,,,Wales,,Undefined,Units,Percentage (%),W92000004,4.91499418108
2001,Public sector employment,,,,Wales,,Undefined,Units,Percentage (%),W92000004,4.92316616022
2002,Public sector employment,,,,Wales,,Undefined,Units,Percentage (%),W92000004,4.92351161093
2003,Public sector employment,,,,Wales,,Undefined,Units,Percentage (%),W92000004,4.9260319097
2004,Public sector employment,,,,Wales,,Undefined,Units,Percentage (%),W92000004,4.93311767048
2000,Public sector employment,,,,Wales,,Undefined,Units,Percentage (%),W92000004,4.93643105546
2016,Public sector employment,Public sector,,,Wales,,Undefined,Units,Percentage (%),W92000004,5.56165386023
2015,Public sector employment,Public sector,,,Wales,,Undefined,Units,Percentage (%),W92000004,5.58190441445
2017,Public sector employment,Public sector,,,Wales,,Undefined,Units,Percentage (%),W92000004,5.5900621118
2010,Public sector employment,Public sector,,,Wales,,Undefined,Units,Percentage (%),W92000004,5.59451457067
2011,Public sector employment,Public sector,,,Wales,,Undefined,Units,Percentage (%),W92000004,5.61273721454
2009,Public sector employment,Public sector,,,Wales,,Undefined,Units,Percentage (%),W92000004,5.63599564067
2008,Public sector employment,Public sector,,,Wales,,Undefined,Units,Percentage (%),W92000004,5.82944703531
2014,Public sector employment,Public sector,,,Wales,,Undefined,Units,Percentage (%),W92000004,5.88341454611
2012,Public sector employment,Public sector,,,Wales,,Undefined,Units,Percentage (%),W92000004,5.89538251832
2013,Public sector employment,Public sector,,,Wales,,Undefined,Units,Percentage (%),W92000004,5.94297492271
2013,Public sector employment,Public sector,16 to 17,,,,Undefined,Units,Percentage (%),,0.176283973868
2014,Public sector employment,Public sector,16 to 17,,,,Undefined,Units,Percentage (%),,0.216584827715
2012,Public sector employment,Public sector,16 to 17,,,,Undefined,Units,Percentage (%),,0.217202704295
2015,Public sector employment,Public sector,16 to 17,,,,Undefined,Units,Percentage (%),,0.226978989332
2010,Public sector employment,Public sector,16 to 17,,,,Undefined,Units,Percentage (%),,0.229486735442
2011,Public sector employment,Public sector,16 to 17,,,,Undefined,Units,Percentage (%),,0.26876269921
2016,Public sector employment,Public sector,16 to 17,,,,Undefined,Units,Percentage (%),,0.301637303287
2009,Public sector employment,Public sector,16 to 17,,,,Undefined,Units,Percentage (%),,0.30245146611
2007,Public sector employment,Public sector,16 to 17,,,,Undefined,Units,Percentage (%),,0.364229646496
2005,Public sector employment,Public sector,16 to 17,,,,Undefined,Units,Percentage (%),,0.370234271352
2008,Public sector employment,Public sector,16 to 17,,,,Undefined,Units,Percentage (%),,0.385617309163
2006,Public sector employment,Public sector,16 to 17,,,,Undefined,Units,Percentage (%),,0.431592198364
2004,Public sector employment,Public sector,16 to 17,,,,Undefined,Units,Percentage (%),,0.465437959751
2003,Public sector employment,Public sector,16 to 17,,,,Undefined,Units,Percentage (%),,0.484113138149
2002,Public sector employment,Public sector,16 to 17,,,,Undefined,Units,Percentage (%),,0.494680620923
2001,Public sector employment,Public sector,16 to 17,,,,Undefined,Units,Percentage (%),,0.519156953774
2000,Public sector employment,Public sector,16 to 17,,,,Undefined,Units,Percentage (%),,0.520876432115
2000,Public sector employment,Public sector,65 and over,,,,Undefined,Units,Percentage (%),,0.751854014929
2001,Public sector employment,Public sector,65 and over,,,,Undefined,Units,Percentage (%),,0.890089044324
2004,Public sector employment,Public sector,65 and over,,,,Undefined,Units,Percentage (%),,1.01901370732
2005,Public sector employment,Public sector,65 and over,,,,Undefined,Units,Percentage (%),,1.03957536725
2002,Public sector employment,Public sector,65 and over,,,,Undefined,Units,Percentage (%),,1.07829411406
2003,Public sector employment,Public sector,65 and over,,,,Undefined,Units,Percentage (%),,1.0935950675
2006,Public sector employment,Public sector,65 and over,,,,Undefined,Units,Percentage (%),,1.15413187464
2007,Public sector employment,Public sector,65 and over,,,,Undefined,Units,Percentage (%),,1.20192375809
2008,Public sector employment,Public sector,65 and over,,,,Undefined,Units,Percentage (%),,1.49228985807
2009,Public sector employment,Public sector,65 and over,,,,Undefined,Units,Percentage (%),,1.73238562478
2010,Public sector employment,Public sector,65 and over,,,,Undefined,Units,Percentage (%),,1.79922100663
2011,Public sector employment,Public sector,65 and over,,,,Undefined,Units,Percentage (%),,1.987813675
2012,Public sector employment,Public sector,65 and over,,,,Undefined,Units,Percentage (%),,2.04485137894
2016,Public sector employment,,16 to 17,,,,Undefined,Units,Percentage (%),,2.27030949006
2015,Public sector employment,,16 to 17,,,,Undefined,Units,Percentage (%),,2.32377086456
2014,Public sector employment,,16 to 17,,,,Undefined,Units,Percentage (%),,2.374651902
2013,Public sector employment,,16 to 17,,,,Undefined,Units,Percentage (%),,2.41010098735
2013,Public sector employment,Public sector,65 and over,,,,Undefined,Units,Percentage (%),,2.41144221005
2012,Public sector employment,,16 to 17,,,,Undefined,Units,Percentage (%),,2.41807750503
2000,Public sector employment,,16 to 17,,,,Undefined,Units,Percentage (%),,2.45714160048
2016,Public sector employment,Public sector,65 and over,,,,Undefined,Units,Percentage (%),,2.46049608877
2011,Public sector employment,,16 to 17,,,,Undefined,Units,Percentage (%),,2.47024795471
2010,Public sector employment,,16 to 17,,,,Undefined,Units,Percentage (%),,2.50914858153
2001,Public sector employment,,16 to 17,,,,Undefined,Units,Percentage (%),,2.52713378725
2015,Public sector employment,Public sector,65 and over,,,,Undefined,Units,Percentage (%),,2.53070510482
2009,Public sector employment,,16 to 17,,,,Undefined,Units,Percentage (%),,2.5538766273
2003,Public sector employment,,16 to 17,,,,Undefined,Units,Percentage (%),,2.55649117316
2002,Public sector employment,,16 to 17,,,,Undefined,Units,Percentage (%),,2.55739524372
2006,Public sector employment,,16 to 17,,,,Undefined,Units,Percentage (%),,2.57216906414
2014,Public sector employment,Public sector,65 and over,,,,Undefined,Units,Percentage (%),,2.57534217091
2004,Public sector employment,,16 to 17,,,,Undefined,Units,Percentage (%),,2.58483835061
2005,Public sector employment,,16 to 17,,,,Undefined,Units,Percentage (%),,2.58798910359
2007,Public sector employment,,16 to 17,,,,Undefined,Units,Percentage (%),,2.60726046503
2008,Public sector employment,,16 to 17,,,,Undefined,Units,Percentage (%),,2.60836398012
2013,Public sector employment,Public sector,18 to 24,,,,Undefined,Units,Percentage (%),,5.17394198762
2012,Public sector employment,Public sector,18 to 24,,,,Undefined,Units,Percentage (%),,5.219714158
2011,Public sector employment,Public sector,18 to 24,,,,Undefined,Units,Percentage (%),,5.43569890347
2014,Public sector employment,Public sector,18 to 24,,,,Undefined,Units,Percentage (%),,5.9639265319
2010,Public sector employment,Public sector,18 to 24,,,,Undefined,Units,Percentage (%),,6.09213247429
2016,Public sector employment,Public sector,18 to 24,,,,Undefined,Units,Percentage (%),,6.11553069689
2006,Public sector employment,Public sector,18 to 24,,,,Undefined,Units,Percentage (%),,6.22461549783
2000,Public sector employment,Public sector,18 to 24,,,,Undefined,Units,Percentage (%),,6.23446949097
2009,Public sector employment,Public sector,18 to 24,,,,Undefined,Units,Percentage (%),,6.2677159459
2007,Public sector employment,Public sector,18 to 24,,,,Undefined,Units,Percentage (%),,6.30711454975
2008,Public sector employment,Public sector,18 to 24,,,,Undefined,Units,Percentage (%),,6.36235937174
2015,Public sector employment,Public sector,18 to 24,,,,Undefined,Units,Percentage (%),,6.40158549799
2005,Public sector employment,Public sector,18 to 24,,,,Undefined,Units,Percentage (%),,6.40750160288
2001,Public sector employment,Public sector,18 to 24,,,,Undefined,Units,Percentage (%),,6.47089052431
2004,Public sector employment,Public sector,18 to 24,,,,Undefined,Units,Percentage (%),,6.61335555655
2002,Public sector employment,Public sector,18 to 24,,,,Undefined,Units,Percentage (%),,6.76545805217
2003,Public sector employment,Public sector,18 to 24,,,,Undefined,Units,Percentage (%),,6.76919716022
2000,Public sector employment,,18 to 24,,,,Undefined,Units,Percentage (%),,8.3834689922
2001,Public sector employment,,18 to 24,,,,Undefined,Units,Percentage (%),,8.47447032647
2002,Public sector employment,,18 to 24,,,,Undefined,Units,Percentage (%),,8.63940791916
2003,Public sector employment,,18 to 24,,,,Undefined,Units,Percentage (%),,8.82988219562
