Year,Units,Subject,Sex,Special Educational Needs,Free School Meals,Ethnicity,Ethnic group,Region,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2018,Attainment at age 11,Maths,,,,Asian,Any other Asian background,,Percentage (%),Units,Undefined,,85.0
2016,Attainment at age 11,Reading,,,,Black,Black Caribbean,,Percentage (%),Units,Undefined,,58.0
2016,Attainment at age 11,Reading,,,,Black,Black African,,Percentage (%),Units,Undefined,,64.0
2016,Attainment at age 11,Reading,,,,Black,Any other black background,,Percentage (%),Units,Undefined,,60.0
2017,Attainment at age 11,Reading,,,,Black,Black Caribbean,,Percentage (%),Units,Undefined,,66.0
2017,Attainment at age 11,Reading,,,,Black,Black African,,Percentage (%),Units,Undefined,,71.0
2017,Attainment at age 11,Reading,,,,Black,Any other black background,,Percentage (%),Units,Undefined,,67.0
2018,Attainment at age 11,Reading,,,,Black,Black Caribbean,,Percentage (%),Units,Undefined,,70.0
2018,Attainment at age 11,Reading,,,,Black,Black African,,Percentage (%),Units,Undefined,,75.0
2018,Attainment at age 11,Reading,,,,Black,Any other black background,,Percentage (%),Units,Undefined,,72.0
2016,Attainment at age 11,Maths,,,,Black,Black Caribbean,,Percentage (%),Units,Undefined,,67.0
2016,Attainment at age 11,Maths,,,,Black,Black African,,Percentage (%),Units,Undefined,,78.0
2016,Attainment at age 11,Maths,,,,Black,Any other black background,,Percentage (%),Units,Undefined,,72.0
2017,Attainment at age 11,Maths,,,,Black,Black Caribbean,,Percentage (%),Units,Undefined,,67.0
2017,Attainment at age 11,Maths,,,,Black,Black African,,Percentage (%),Units,Undefined,,77.0
2017,Attainment at age 11,Maths,,,,Black,Any other black background,,Percentage (%),Units,Undefined,,71.0
2018,Attainment at age 11,Maths,,,,Black,Black Caribbean,,Percentage (%),Units,Undefined,,66.0
2018,Attainment at age 11,Maths,,,,Black,Black African,,Percentage (%),Units,Undefined,,78.0
2018,Attainment at age 11,Maths,,,,Black,Any other black background,,Percentage (%),Units,Undefined,,72.0
2017,Attainment at age 16,English language,,,,,,,Percentage (%),Units,Undefined,,65.0
2017,Attainment at age 16,English language,Boys,,,,,,Percentage (%),Units,Undefined,,56.0
2017,Attainment at age 16,English language,Girls,,,,,,Percentage (%),Units,Undefined,,74.0
2017,Attainment at age 16,Maths,,,,,,,Percentage (%),Units,Undefined,,65.0
2017,Attainment at age 16,Maths,Boys,,,,,,Percentage (%),Units,Undefined,,64.0
2017,Attainment at age 16,Maths,Girls,,,,,,Percentage (%),Units,Undefined,,66.0
2018,Attainment at age 16,English language,,,,,,,Percentage (%),Units,Undefined,,65.0
2018,Attainment at age 16,English language,Boys,,,,,,Percentage (%),Units,Undefined,,57.0
2018,Attainment at age 16,English language,Girls,,,,,,Percentage (%),Units,Undefined,,73.0
2018,Attainment at age 16,Maths,,,,,,,Percentage (%),Units,Undefined,,65.0
2018,Attainment at age 16,Maths,Boys,,,,,,Percentage (%),Units,Undefined,,63.0
2018,Attainment at age 16,Maths,Girls,,,,,,Percentage (%),Units,Undefined,,66.0
