Year,Series,Country,Country of birth,Sex,Age,Ethnic Group,Fatality,Malaria species,Region,Region of travel,Observation status,Unit multiplier,Units,GeoCode,Value,Foo
2019,Number of cases,,,Male,,,,,,,Normal value,Units,Number,,1119,Bar
2019,Number of cases,,,Male,4 and under,,,,,,Normal value,Units,Number,,25,Bar
2019,Number of cases,,,Male,5 to 9,,,,,,Normal value,Units,Number,,22,Bar
2019,Number of cases,,,Male,10 to 14,,,,,,Normal value,Units,Number,,43,Bar
2019,Number of cases,,,Male,15 to 19,,,,,,Normal value,Units,Number,,71,Bar
2019,Number of cases,,,Male,20 to 24,,,,,,Normal value,Units,Number,,63,Bar
2019,Number of cases,,,Male,25 to 29,,,,,,Normal value,Units,Number,,73,Bar
2019,Number of cases,,,Male,30 to 34,,,,,,Normal value,Units,Number,,86,Bar
2019,Number of cases,,,Male,35 to 39,,,,,,Normal value,Units,Number,,113,Bar
2019,Number of cases,,,Male,40 to 44,,,,,,Normal value,Units,Number,,130,Bar
2019,Number of cases,,,Male,45 to 49,,,,,,Normal value,Units,Number,,119,Bar
2019,Number of cases,,,Male,50 to 54,,,,,,Normal value,Units,Number,,143,Bar
2019,Number of cases,,,Male,55 to 59,,,,,,Normal value,Units,Number,,110,Bar
2019,Number of cases,,,Male,60 to 64,,,,,,Normal value,Units,Number,,57,Bar
2019,Number of cases,,,Male,65 to 69,,,,,,Normal value,Units,Number,,31,Bar
2019,Number of cases,,,Male,70 and over,,,,,,Normal value,Units,Number,,33,Bar
2000,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,3.476202364,Bar
2001,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,3.457783308,Bar
2002,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,3.26788154,Bar
2003,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.884131912,Bar
2004,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.762285146,Bar
2005,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.901680088,Bar
2006,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.883584704,Bar
2007,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.522869107,Bar
2008,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.215976081,Bar
2009,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.401201944,Bar
2010,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.802764893,Bar
2011,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.643590372,Bar
2012,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.161524765,Bar
2013,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.341447137,Bar
2014,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.455231805,Bar
2015,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.150206219,Bar
2016,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.464657978,Bar
2017,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.713497556,Bar
2018,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.533282256,Bar
2019,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.573476304,Bar
2000,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.027171098,Bar
2001,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.015225073,Bar
2002,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.015160275,Bar
2003,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.026829134,Bar
2004,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.008340233,Bar
2005,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.016552653,Bar
2006,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.01315204,Bar
2007,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.00815407,Bar
2008,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.009705005,Bar
2009,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.009636931,Bar
2010,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.011153698,Bar
2011,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.012641197,Bar
2012,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.00313947,Bar
2013,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.010919474,Bar
2014,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.004644196,Bar
2015,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.00921517,Bar
2016,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.009139646,Bar
2017,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.009085371,Bar
2018,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.009031309,Bar
2019,"Rate per 100,000 population",,,,,,Fatal,,,,Normal value,Units,"Rate per 100,000 population",,0.022456163,Bar
2000,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,2.640691097,Bar
2001,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,2.659312798,Bar
2002,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,2.467755905,Bar
2003,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,2.243586336,Bar
2004,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,2.035016835,Bar
2005,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,2.213089719,Bar
2006,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,2.278590878,Bar
2007,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,1.855866221,Bar
2008,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,1.758223358,Bar
2009,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,1.893656917,Bar
2010,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,2.012445742,Bar
2011,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,1.810851504,Bar
2012,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,1.57287423,Bar
2013,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,1.859430371,Bar
2014,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,1.809688512,Bar
2015,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,1.640300172,Bar
2016,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,1.992442914,Bar
2017,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,2.19865985,Bar
2018,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,2.069675046,Bar
2019,"Rate per 100,000 population",,,,,,,P. falciparum,,,Normal value,Units,"Rate per 100,000 population",,2.208189382,Bar
2000,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.050945809,Bar
2001,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.062591968,Bar
2002,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.072432426,Bar
2003,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.045274164,Bar
2004,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.046705304,Bar
2005,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.048002694,Bar
2006,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.039456119,Bar
2007,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.048924417,Bar
2008,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.032350016,Bar
2009,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.057821585,Bar
2010,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.058955259,Bar
2011,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.048984639,Bar
2012,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.050231512,Bar
2013,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.060837068,Bar
2014,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.063470683,Bar
2015,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.035324816,Bar
2016,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.06245425,Bar
2017,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.08328257,Bar
2018,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.054187856,Bar
2019,"Rate per 100,000 population",,,,,,,P. malariae,,,Normal value,Units,"Rate per 100,000 population",,0.064374335,Bar
2000,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2001,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2002,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2003,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2004,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2005,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2006,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0.001644005,Bar
2007,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2008,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2009,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2010,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2011,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2012,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2013,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2014,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2015,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2016,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0.001523274,Bar
2017,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0.003028457,Bar
2018,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0.003010436,Bar
2019,"Rate per 100,000 population",,,,,,,P. knowlesi,,,Normal value,Units,"Rate per 100,000 population",,0.001497078,Bar
2000,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.208877817,Bar
2001,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.265592945,Bar
2002,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.224035178,Bar
2003,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.224693998,Bar
2004,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.20016559,Bar
2005,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.192010776,Bar
2006,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.174264526,Bar
2007,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.176127901,Bar
2008,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.12293006,Bar
2009,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.110824705,Bar
2010,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.157745153,Bar
2011,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.121671523,Bar
2012,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.103602494,Bar
2013,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.121674135,Bar
2014,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.201248509,Bar
2015,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.145906851,Bar
2016,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.134048147,Bar
2017,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.163536683,Bar
2018,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.176110531,Bar
2019,"Rate per 100,000 population",,,,,,,P. ovale,,,Normal value,Units,"Rate per 100,000 population",,0.17066684,Bar
2000,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0.001698194,Bar
2001,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0.001691675,Bar
2002,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0.00336895,Bar
2003,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0.001676821,Bar
2004,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2005,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0.004965796,Bar
2006,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2007,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2008,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0.001617501,Bar
2009,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2010,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2011,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2012,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2013,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2014,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2015,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2016,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0.001523274,Bar
2017,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2018,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0.001505218,Bar
2019,"Rate per 100,000 population",,,,,,,P. unspecified,,,Normal value,Units,"Rate per 100,000 population",,0,Bar
2000,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.546818349,Bar
2001,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.441527125,Bar
2002,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.478390906,Bar
2003,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.34374828,Bar
2004,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.460380858,Bar
2005,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.42705845,Bar
2006,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.356749077,Bar
2007,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.417488359,Bar
2008,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.28629764,Bar
2009,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.329261805,Bar
2010,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.554498114,Bar
2011,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.655762107,Bar
2012,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.423828385,Bar
2013,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.279226541,Bar
2014,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.348314726,Bar
2015,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.317923348,Bar
2016,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.25286355,Bar
2017,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.248333482,Bar
2018,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.215246205,Bar
2019,"Rate per 100,000 population",,,,,,,P. vivax,,,Normal value,Units,"Rate per 100,000 population",,0.107789583,Bar
2000,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.027171098,Bar
2001,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.027066797,Bar
2002,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.021898175,Bar
2003,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.025152313,Bar
2004,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.020016559,Bar
2005,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.016552653,Bar
2006,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.032880099,Bar
2007,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.024462209,Bar
2008,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.014557507,Bar
2009,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.009636931,Bar
2010,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.019120625,Bar
2011,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.006320599,Bar
2012,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.010988143,Bar
2013,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.020279023,Bar
2014,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.032509374,Bar
2015,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.010751031,Bar
2016,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.019802567,Bar
2017,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.016656514,Bar
2018,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.013546964,Bar
2019,"Rate per 100,000 population",,,,,,,Mixed,,,Normal value,Units,"Rate per 100,000 population",,0.020959086,Bar
2000,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,3.449031265,Bar
2001,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,3.442558235,Bar
2002,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,3.252721265,Bar
2003,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,2.857302778,Bar
2004,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,2.753944913,Bar
2005,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,2.885127435,Bar
2006,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,2.870432664,Bar
2007,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,2.514715038,Bar
2008,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,2.206271076,Bar
2009,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,2.391565013,Bar
2010,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,2.791611196,Bar
2011,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,2.630949175,Bar
2012,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,2.158385295,Bar
2013,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,2.330527663,Bar
2014,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,2.450587608,Bar
2015,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,2.140991049,Bar
2016,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,2.455518331,Bar
2017,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,2.704412185,Bar
2018,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,2.524250947,Bar
2019,"Rate per 100,000 population",,,,,,Non-fatal,,,,Normal value,Units,"Rate per 100,000 population",,2.551020141,Bar
2014,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.449039543,Bar
2014,"Rate per 100,000 population",,,,4 and under,,,,,,Normal value,Units,"Rate per 100,000 population",,0.918964699,Bar
2014,"Rate per 100,000 population",,,,5 to 9,,,,,,Normal value,Units,"Rate per 100,000 population",,1.088291538,Bar
2014,"Rate per 100,000 population",,,,10 to 14,,,,,,Normal value,Units,"Rate per 100,000 population",,1.47643636,Bar
2014,"Rate per 100,000 population",,,,15 to 19,,,,,,Normal value,Units,"Rate per 100,000 population",,2.389809023,Bar
2014,"Rate per 100,000 population",,,,20 to 24,,,,,,Normal value,Units,"Rate per 100,000 population",,3.059753509,Bar
2014,"Rate per 100,000 population",,,,25 to 29,,,,,,Normal value,Units,"Rate per 100,000 population",,3.483271078,Bar
2014,"Rate per 100,000 population",,,,30 to 34,,,,,,Normal value,Units,"Rate per 100,000 population",,3.971187087,Bar
2014,"Rate per 100,000 population",,,,35 to 39,,,,,,Normal value,Units,"Rate per 100,000 population",,3.630280243,Bar
2014,"Rate per 100,000 population",,,,40 to 44,,,,,,Normal value,Units,"Rate per 100,000 population",,3.803687801,Bar
2014,"Rate per 100,000 population",,,,45 to 49,,,,,,Normal value,Units,"Rate per 100,000 population",,4.044848596,Bar
2014,"Rate per 100,000 population",,,,50 to 54,,,,,,Normal value,Units,"Rate per 100,000 population",,3.27496273,Bar
2014,"Rate per 100,000 population",,,,55 to 59,,,,,,Normal value,Units,"Rate per 100,000 population",,2.810363684,Bar
2014,"Rate per 100,000 population",,,,60 to 64,,,,,,Normal value,Units,"Rate per 100,000 population",,1.765577951,Bar
2014,"Rate per 100,000 population",,,,65 to 69,,,,,,Normal value,Units,"Rate per 100,000 population",,1.235315884,Bar
2014,"Rate per 100,000 population",,,,70 and over,,,,,,Normal value,Units,"Rate per 100,000 population",,0.509880269,Bar
2015,"Rate per 100,000 population",,,,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.136383464,Bar
2015,"Rate per 100,000 population",,,,4 and under,,,,,,Normal value,Units,"Rate per 100,000 population",,0.521468097,Bar
2015,"Rate per 100,000 population",,,,5 to 9,,,,,,Normal value,Units,"Rate per 100,000 population",,0.809215754,Bar
2015,"Rate per 100,000 population",,,,10 to 14,,,,,,Normal value,Units,"Rate per 100,000 population",,1.690497516,Bar
2015,"Rate per 100,000 population",,,,15 to 19,,,,,,Normal value,Units,"Rate per 100,000 population",,2.327483156,Bar
2015,"Rate per 100,000 population",,,,20 to 24,,,,,,Normal value,Units,"Rate per 100,000 population",,2.607875832,Bar
2015,"Rate per 100,000 population",,,,25 to 29,,,,,,Normal value,Units,"Rate per 100,000 population",,2.409240315,Bar
