Year,Units,Sex,Age,Region,Disability,Ethnicity,Country of birth,Nationality,GeoCode,Value
2009 Q3 Jul-Sep,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,11.2
2009 Q4 Oct-Dec,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,11.3
2010 Q1 Jan-Mar,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,11.4
2010 Q2 Apr-Jun,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,11.8
2010 Q3 Jul-Sep,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,12.3
2010 Q4 Oct-Dec,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,12.0
2011 Q1 Jan-Mar,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,12.1
2011 Q2 Apr-Jun,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,12.1
2011 Q3 Jul-Sep,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,12.3
2011 Q4 Oct-Dec,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,12.7
2012 Q1 Jan-Mar,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,12.7
2012 Q2 Apr-Jun,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,12.6
2012 Q3 Jul-Sep,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,12.6
2012 Q4 Oct-Dec,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,12.2
2013 Q1 Jan-Mar,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,12.0
2013 Q2 Apr-Jun,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,12.1
2013 Q3 Jul-Sep,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,12.3
2013 Q4 Oct-Dec,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,12.7
2014 Q1 Jan-Mar,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,13.1
2014 Q2 Apr-Jun,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,13.1
2014 Q3 Jul-Sep,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,13.3
2014 Q4 Oct-Dec,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,12.8
2015 Q1 Jan-Mar,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,11.6
2015 Q2 Apr-Jun,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,11.6
2015 Q3 Jul-Sep,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,11.8
2015 Q4 Oct-Dec,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,11.5
2016 Q1 Jan-Mar,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,11.8
2016 Q2 Apr-Jun,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,11.4
2016 Q3 Jul-Sep,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,11.3
2016 Q4 Oct-Dec,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,11.4
2017 Q1 Jan-Mar,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,11.8
2017 Q2 Apr-Jun,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,11.9
2017 Q3 Jul-Sep,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,11.8
2017 Q4 Oct-Dec,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,11.2
2009 Q1 Jan-Mar,Percentage (%),,,East Midlands,,,,,E12000004,13.900000000000002
2009 Q2 Apr-Jun,Percentage (%),,,East Midlands,,,,,E12000004,13.5
2009 Q3 Jul-Sep,Percentage (%),,,East Midlands,,,,,E12000004,13.6
2009 Q4 Oct-Dec,Percentage (%),,,East Midlands,,,,,E12000004,13.900000000000002
2010 Q1 Jan-Mar,Percentage (%),,,East Midlands,,,,,E12000004,13.900000000000002
2010 Q2 Apr-Jun,Percentage (%),,,East Midlands,,,,,E12000004,15.0
2010 Q3 Jul-Sep,Percentage (%),,,East Midlands,,,,,E12000004,15.3
2010 Q4 Oct-Dec,Percentage (%),,,East Midlands,,,,,E12000004,15.0
2011 Q1 Jan-Mar,Percentage (%),,,East Midlands,,,,,E12000004,14.099999999999998
2011 Q2 Apr-Jun,Percentage (%),,,East Midlands,,,,,E12000004,14.2
2011 Q3 Jul-Sep,Percentage (%),,,East Midlands,,,,,E12000004,14.2
2011 Q4 Oct-Dec,Percentage (%),,,East Midlands,,,,,E12000004,14.499999999999998
2012 Q1 Jan-Mar,Percentage (%),,,East Midlands,,,,,E12000004,14.499999999999998
2012 Q2 Apr-Jun,Percentage (%),,,East Midlands,,,,,E12000004,13.8
2012 Q3 Jul-Sep,Percentage (%),,,East Midlands,,,,,E12000004,14.2
2012 Q4 Oct-Dec,Percentage (%),,,East Midlands,,,,,E12000004,13.4
2013 Q1 Jan-Mar,Percentage (%),,,East Midlands,,,,,E12000004,13.2
2013 Q2 Apr-Jun,Percentage (%),,,East Midlands,,,,,E12000004,13.4
2013 Q3 Jul-Sep,Percentage (%),,,East Midlands,,,,,E12000004,13.6
2013 Q4 Oct-Dec,Percentage (%),,,East Midlands,,,,,E12000004,14.499999999999998
2014 Q1 Jan-Mar,Percentage (%),,,East Midlands,,,,,E12000004,14.499999999999998
2014 Q2 Apr-Jun,Percentage (%),,,East Midlands,,,,,E12000004,14.7
2014 Q3 Jul-Sep,Percentage (%),,,East Midlands,,,,,E12000004,14.800000000000002
2014 Q4 Oct-Dec,Percentage (%),,,East Midlands,,,,,E12000004,15.2
2015 Q1 Jan-Mar,Percentage (%),,,East Midlands,,,,,E12000004,14.9
2015 Q2 Apr-Jun,Percentage (%),,,East Midlands,,,,,E12000004,14.800000000000002
2015 Q3 Jul-Sep,Percentage (%),,,East Midlands,,,,,E12000004,14.2
2015 Q4 Oct-Dec,Percentage (%),,,East Midlands,,,,,E12000004,14.7
2016 Q1 Jan-Mar,Percentage (%),,,East Midlands,,,,,E12000004,14.099999999999998
2016 Q2 Apr-Jun,Percentage (%),,,East Midlands,,,,,E12000004,13.6
2016 Q3 Jul-Sep,Percentage (%),,,East Midlands,,,,,E12000004,12.8
2016 Q4 Oct-Dec,Percentage (%),,,East Midlands,,,,,E12000004,13.1
2017 Q1 Jan-Mar,Percentage (%),,,East Midlands,,,,,E12000004,13.5
2017 Q2 Apr-Jun,Percentage (%),,,East Midlands,,,,,E12000004,13.6
2017 Q3 Jul-Sep,Percentage (%),,,East Midlands,,,,,E12000004,14.499999999999998
2017 Q4 Oct-Dec,Percentage (%),,,East Midlands,,,,,E12000004,14.2
2009 Q1 Jan-Mar,Percentage (%),,,West Midlands,,,,,E12000005,13.699999999999998
2009 Q2 Apr-Jun,Percentage (%),,,West Midlands,,,,,E12000005,13.4
2009 Q3 Jul-Sep,Percentage (%),,,West Midlands,,,,,E12000005,13.2
2009 Q4 Oct-Dec,Percentage (%),,,West Midlands,,,,,E12000005,13.1
2010 Q1 Jan-Mar,Percentage (%),,,West Midlands,,,,,E12000005,13.6
2010 Q2 Apr-Jun,Percentage (%),,,West Midlands,,,,,E12000005,14.099999999999998
2010 Q3 Jul-Sep,Percentage (%),,,West Midlands,,,,,E12000005,13.4
2010 Q4 Oct-Dec,Percentage (%),,,West Midlands,,,,,E12000005,13.900000000000002
2011 Q1 Jan-Mar,Percentage (%),,,West Midlands,,,,,E12000005,13.8
2011 Q2 Apr-Jun,Percentage (%),,,West Midlands,,,,,E12000005,12.7
2011 Q3 Jul-Sep,Percentage (%),,,West Midlands,,,,,E12000005,12.5
2011 Q4 Oct-Dec,Percentage (%),,,West Midlands,,,,,E12000005,13.3
2012 Q1 Jan-Mar,Percentage (%),,,West Midlands,,,,,E12000005,12.8
2012 Q2 Apr-Jun,Percentage (%),,,West Midlands,,,,,E12000005,13.5
2012 Q3 Jul-Sep,Percentage (%),,,West Midlands,,,,,E12000005,13.4
2012 Q4 Oct-Dec,Percentage (%),,,West Midlands,,,,,E12000005,13.3
2013 Q1 Jan-Mar,Percentage (%),,,West Midlands,,,,,E12000005,13.699999999999998
2013 Q2 Apr-Jun,Percentage (%),,,West Midlands,,,,,E12000005,14.2
2013 Q3 Jul-Sep,Percentage (%),,,West Midlands,,,,,E12000005,14.499999999999998
2013 Q4 Oct-Dec,Percentage (%),,,West Midlands,,,,,E12000005,13.6
2014 Q1 Jan-Mar,Percentage (%),,,West Midlands,,,,,E12000005,13.2
2014 Q2 Apr-Jun,Percentage (%),,,West Midlands,,,,,E12000005,14.2
2014 Q3 Jul-Sep,Percentage (%),,,West Midlands,,,,,E12000005,14.499999999999998
2014 Q4 Oct-Dec,Percentage (%),,,West Midlands,,,,,E12000005,14.2
2015 Q1 Jan-Mar,Percentage (%),,,West Midlands,,,,,E12000005,14.000000000000002
2015 Q2 Apr-Jun,Percentage (%),,,West Midlands,,,,,E12000005,13.8
2015 Q3 Jul-Sep,Percentage (%),,,West Midlands,,,,,E12000005,13.3
2015 Q4 Oct-Dec,Percentage (%),,,West Midlands,,,,,E12000005,12.5
2016 Q1 Jan-Mar,Percentage (%),,,West Midlands,,,,,E12000005,12.7
2016 Q2 Apr-Jun,Percentage (%),,,West Midlands,,,,,E12000005,13.6
2016 Q3 Jul-Sep,Percentage (%),,,West Midlands,,,,,E12000005,13.0
2016 Q4 Oct-Dec,Percentage (%),,,West Midlands,,,,,E12000005,13.4
2017 Q1 Jan-Mar,Percentage (%),,,West Midlands,,,,,E12000005,13.0
2017 Q2 Apr-Jun,Percentage (%),,,West Midlands,,,,,E12000005,12.1
2017 Q3 Jul-Sep,Percentage (%),,,West Midlands,,,,,E12000005,12.2
2017 Q4 Oct-Dec,Percentage (%),,,West Midlands,,,,,E12000005,12.3
2009 Q1 Jan-Mar,Percentage (%),,,East of England,,,,,E12000006,9.7
2009 Q2 Apr-Jun,Percentage (%),,,East of England,,,,,E12000006,9.7
2009 Q3 Jul-Sep,Percentage (%),,,East of England,,,,,E12000006,10.0
2009 Q4 Oct-Dec,Percentage (%),,,East of England,,,,,E12000006,10.0
2010 Q1 Jan-Mar,Percentage (%),,,East of England,,,,,E12000006,10.2
2010 Q2 Apr-Jun,Percentage (%),,,East of England,,,,,E12000006,10.4
2010 Q3 Jul-Sep,Percentage (%),,,East of England,,,,,E12000006,10.5
2010 Q4 Oct-Dec,Percentage (%),,,East of England,,,,,E12000006,9.9
2011 Q1 Jan-Mar,Percentage (%),,,East of England,,,,,E12000006,10.3
2011 Q2 Apr-Jun,Percentage (%),,,East of England,,,,,E12000006,9.9
2011 Q3 Jul-Sep,Percentage (%),,,East of England,,,,,E12000006,10.0
2011 Q4 Oct-Dec,Percentage (%),,,East of England,,,,,E12000006,10.3
2012 Q1 Jan-Mar,Percentage (%),,,East of England,,,,,E12000006,9.9
2012 Q2 Apr-Jun,Percentage (%),,,East of England,,,,,E12000006,10.1
2012 Q3 Jul-Sep,Percentage (%),,,East of England,,,,,E12000006,10.6
2012 Q4 Oct-Dec,Percentage (%),,,East of England,,,,,E12000006,10.2
2013 Q1 Jan-Mar,Percentage (%),,,East of England,,,,,E12000006,10.1
2013 Q2 Apr-Jun,Percentage (%),,,East of England,,,,,E12000006,9.6
2013 Q3 Jul-Sep,Percentage (%),,,East of England,,,,,E12000006,10.0
2013 Q4 Oct-Dec,Percentage (%),,,East of England,,,,,E12000006,9.2
2014 Q1 Jan-Mar,Percentage (%),,,East of England,,,,,E12000006,8.9
2014 Q2 Apr-Jun,Percentage (%),,,East of England,,,,,E12000006,8.6
2014 Q3 Jul-Sep,Percentage (%),,,East of England,,,,,E12000006,8.7
2014 Q4 Oct-Dec,Percentage (%),,,East of England,,,,,E12000006,9.3
2015 Q1 Jan-Mar,Percentage (%),,,East of England,,,,,E12000006,9.2
2015 Q2 Apr-Jun,Percentage (%),,,East of England,,,,,E12000006,9.6
2015 Q3 Jul-Sep,Percentage (%),,,East of England,,,,,E12000006,9.6
2015 Q4 Oct-Dec,Percentage (%),,,East of England,,,,,E12000006,9.8
2016 Q1 Jan-Mar,Percentage (%),,,East of England,,,,,E12000006,9.8
2016 Q2 Apr-Jun,Percentage (%),,,East of England,,,,,E12000006,9.8
2016 Q3 Jul-Sep,Percentage (%),,,East of England,,,,,E12000006,9.9
2016 Q4 Oct-Dec,Percentage (%),,,East of England,,,,,E12000006,9.4
2017 Q1 Jan-Mar,Percentage (%),,,East of England,,,,,E12000006,9.3
2017 Q2 Apr-Jun,Percentage (%),,,East of England,,,,,E12000006,8.8
2017 Q3 Jul-Sep,Percentage (%),,,East of England,,,,,E12000006,9.2
2017 Q4 Oct-Dec,Percentage (%),,,East of England,,,,,E12000006,8.7
2009 Q1 Jan-Mar,Percentage (%),,,London,,,,,E12000007,3.5000000000000004
2009 Q2 Apr-Jun,Percentage (%),,,London,,,,,E12000007,3.6000000000000005
2009 Q3 Jul-Sep,Percentage (%),,,London,,,,,E12000007,3.5000000000000004
2009 Q4 Oct-Dec,Percentage (%),,,London,,,,,E12000007,3.8
2010 Q1 Jan-Mar,Percentage (%),,,London,,,,,E12000007,4.1
2010 Q2 Apr-Jun,Percentage (%),,,London,,,,,E12000007,3.7000000000000006
2010 Q3 Jul-Sep,Percentage (%),,,London,,,,,E12000007,3.6000000000000005
2010 Q4 Oct-Dec,Percentage (%),,,London,,,,,E12000007,3.5000000000000004
2011 Q1 Jan-Mar,Percentage (%),,,London,,,,,E12000007,3.4000000000000004
2011 Q2 Apr-Jun,Percentage (%),,,London,,,,,E12000007,3.8
2011 Q3 Jul-Sep,Percentage (%),,,London,,,,,E12000007,3.6000000000000005
2011 Q4 Oct-Dec,Percentage (%),,,London,,,,,E12000007,3.4000000000000004
2012 Q1 Jan-Mar,Percentage (%),,,London,,,,,E12000007,3.3000000000000003
2012 Q2 Apr-Jun,Percentage (%),,,London,,,,,E12000007,3.5000000000000004
2012 Q3 Jul-Sep,Percentage (%),,,London,,,,,E12000007,3.7000000000000006
2012 Q4 Oct-Dec,Percentage (%),,,London,,,,,E12000007,3.3000000000000003
2013 Q1 Jan-Mar,Percentage (%),,,London,,,,,E12000007,3.7000000000000006
2013 Q2 Apr-Jun,Percentage (%),,,London,,,,,E12000007,3.6000000000000005
2013 Q3 Jul-Sep,Percentage (%),,,London,,,,,E12000007,3.8
2013 Q4 Oct-Dec,Percentage (%),,,London,,,,,E12000007,3.4000000000000004
2014 Q1 Jan-Mar,Percentage (%),,,London,,,,,E12000007,3.4000000000000004
2014 Q2 Apr-Jun,Percentage (%),,,London,,,,,E12000007,4.0
2014 Q3 Jul-Sep,Percentage (%),,,London,,,,,E12000007,3.8
2014 Q4 Oct-Dec,Percentage (%),,,London,,,,,E12000007,3.6000000000000005
2015 Q1 Jan-Mar,Percentage (%),,,London,,,,,E12000007,4.0
2015 Q2 Apr-Jun,Percentage (%),,,London,,,,,E12000007,4.4
2015 Q3 Jul-Sep,Percentage (%),,,London,,,,,E12000007,4.1
2015 Q4 Oct-Dec,Percentage (%),,,London,,,,,E12000007,3.9
2016 Q1 Jan-Mar,Percentage (%),,,London,,,,,E12000007,4.0
2016 Q2 Apr-Jun,Percentage (%),,,London,,,,,E12000007,3.6000000000000005
2016 Q3 Jul-Sep,Percentage (%),,,London,,,,,E12000007,3.6000000000000005
2016 Q4 Oct-Dec,Percentage (%),,,London,,,,,E12000007,3.2
2017 Q1 Jan-Mar,Percentage (%),,,London,,,,,E12000007,3.5000000000000004
2017 Q2 Apr-Jun,Percentage (%),,,London,,,,,E12000007,3.2
2017 Q3 Jul-Sep,Percentage (%),,,London,,,,,E12000007,3.2
2017 Q4 Oct-Dec,Percentage (%),,,London,,,,,E12000007,3.4000000000000004
2009 Q1 Jan-Mar,Percentage (%),,,South East,,,,,E12000008,8.2
2009 Q2 Apr-Jun,Percentage (%),,,South East,,,,,E12000008,7.8
2009 Q3 Jul-Sep,Percentage (%),,,South East,,,,,E12000008,7.7
2009 Q4 Oct-Dec,Percentage (%),,,South East,,,,,E12000008,8.0
2010 Q1 Jan-Mar,Percentage (%),,,South East,,,,,E12000008,7.9
2010 Q2 Apr-Jun,Percentage (%),,,South East,,,,,E12000008,8.1
2010 Q3 Jul-Sep,Percentage (%),,,South East,,,,,E12000008,7.8
2010 Q4 Oct-Dec,Percentage (%),,,South East,,,,,E12000008,8.1
2011 Q1 Jan-Mar,Percentage (%),,,South East,,,,,E12000008,7.5
2011 Q2 Apr-Jun,Percentage (%),,,South East,,,,,E12000008,8.1
2011 Q3 Jul-Sep,Percentage (%),,,South East,,,,,E12000008,8.0
2011 Q4 Oct-Dec,Percentage (%),,,South East,,,,,E12000008,8.2
2012 Q1 Jan-Mar,Percentage (%),,,South East,,,,,E12000008,8.3
2012 Q2 Apr-Jun,Percentage (%),,,South East,,,,,E12000008,9.0
2012 Q3 Jul-Sep,Percentage (%),,,South East,,,,,E12000008,8.3
2012 Q4 Oct-Dec,Percentage (%),,,South East,,,,,E12000008,8.5
2013 Q1 Jan-Mar,Percentage (%),,,South East,,,,,E12000008,8.7
2013 Q2 Apr-Jun,Percentage (%),,,South East,,,,,E12000008,7.9
2013 Q3 Jul-Sep,Percentage (%),,,South East,,,,,E12000008,8.1
2013 Q4 Oct-Dec,Percentage (%),,,South East,,,,,E12000008,8.2
2014 Q1 Jan-Mar,Percentage (%),,,South East,,,,,E12000008,8.5
2014 Q2 Apr-Jun,Percentage (%),,,South East,,,,,E12000008,7.9
2014 Q3 Jul-Sep,Percentage (%),,,South East,,,,,E12000008,8.0
2014 Q4 Oct-Dec,Percentage (%),,,South East,,,,,E12000008,8.0
2015 Q1 Jan-Mar,Percentage (%),,,South East,,,,,E12000008,8.3
2015 Q2 Apr-Jun,Percentage (%),,,South East,,,,,E12000008,8.3
2015 Q3 Jul-Sep,Percentage (%),,,South East,,,,,E12000008,8.0
2015 Q4 Oct-Dec,Percentage (%),,,South East,,,,,E12000008,8.3
2016 Q1 Jan-Mar,Percentage (%),,,South East,,,,,E12000008,8.5
2016 Q2 Apr-Jun,Percentage (%),,,South East,,,,,E12000008,9.0
2016 Q3 Jul-Sep,Percentage (%),,,South East,,,,,E12000008,8.4
2016 Q4 Oct-Dec,Percentage (%),,,South East,,,,,E12000008,8.1
2017 Q1 Jan-Mar,Percentage (%),,,South East,,,,,E12000008,8.0
2017 Q2 Apr-Jun,Percentage (%),,,South East,,,,,E12000008,7.8
2017 Q3 Jul-Sep,Percentage (%),,,South East,,,,,E12000008,7.9
2017 Q4 Oct-Dec,Percentage (%),,,South East,,,,,E12000008,8.4
2009 Q1 Jan-Mar,Percentage (%),,,South West,,,,,E12000009,10.0
2009 Q2 Apr-Jun,Percentage (%),,,South West,,,,,E12000009,10.2
2009 Q3 Jul-Sep,Percentage (%),,,South West,,,,,E12000009,10.7
2009 Q4 Oct-Dec,Percentage (%),,,South West,,,,,E12000009,10.7
2010 Q1 Jan-Mar,Percentage (%),,,South West,,,,,E12000009,11.0
2010 Q2 Apr-Jun,Percentage (%),,,South West,,,,,E12000009,11.1
2010 Q3 Jul-Sep,Percentage (%),,,South West,,,,,E12000009,10.7
2010 Q4 Oct-Dec,Percentage (%),,,South West,,,,,E12000009,11.0
2011 Q1 Jan-Mar,Percentage (%),,,South West,,,,,E12000009,10.3
2011 Q2 Apr-Jun,Percentage (%),,,South West,,,,,E12000009,10.1
2011 Q3 Jul-Sep,Percentage (%),,,South West,,,,,E12000009,10.0
2011 Q4 Oct-Dec,Percentage (%),,,South West,,,,,E12000009,10.2
2012 Q1 Jan-Mar,Percentage (%),,,South West,,,,,E12000009,10.4
2012 Q2 Apr-Jun,Percentage (%),,,South West,,,,,E12000009,10.6
2012 Q3 Jul-Sep,Percentage (%),,,South West,,,,,E12000009,10.1
2012 Q4 Oct-Dec,Percentage (%),,,South West,,,,,E12000009,10.0
2013 Q1 Jan-Mar,Percentage (%),,,South West,,,,,E12000009,10.2
2013 Q2 Apr-Jun,Percentage (%),,,South West,,,,,E12000009,10.2
2013 Q3 Jul-Sep,Percentage (%),,,South West,,,,,E12000009,10.0
2013 Q4 Oct-Dec,Percentage (%),,,South West,,,,,E12000009,10.2
2014 Q1 Jan-Mar,Percentage (%),,,South West,,,,,E12000009,9.8
2014 Q2 Apr-Jun,Percentage (%),,,South West,,,,,E12000009,9.8
2014 Q3 Jul-Sep,Percentage (%),,,South West,,,,,E12000009,9.8
2014 Q4 Oct-Dec,Percentage (%),,,South West,,,,,E12000009,9.8
2015 Q1 Jan-Mar,Percentage (%),,,South West,,,,,E12000009,9.9
2015 Q2 Apr-Jun,Percentage (%),,,South West,,,,,E12000009,9.6
2015 Q3 Jul-Sep,Percentage (%),,,South West,,,,,E12000009,9.3
2015 Q4 Oct-Dec,Percentage (%),,,South West,,,,,E12000009,9.3
2016 Q1 Jan-Mar,Percentage (%),,,South West,,,,,E12000009,9.4
2016 Q2 Apr-Jun,Percentage (%),,,South West,,,,,E12000009,9.2
2016 Q3 Jul-Sep,Percentage (%),,,South West,,,,,E12000009,9.7
2016 Q4 Oct-Dec,Percentage (%),,,South West,,,,,E12000009,9.1
2017 Q1 Jan-Mar,Percentage (%),,,South West,,,,,E12000009,8.6
2017 Q2 Apr-Jun,Percentage (%),,,South West,,,,,E12000009,8.6
2017 Q3 Jul-Sep,Percentage (%),,,South West,,,,,E12000009,9.5
2017 Q4 Oct-Dec,Percentage (%),,,South West,,,,,E12000009,8.8
2009 Q1 Jan-Mar,Percentage (%),,,Wales,,,,,W92000004,11.2
2009 Q2 Apr-Jun,Percentage (%),,,Wales,,,,,W92000004,10.9
2009 Q3 Jul-Sep,Percentage (%),,,Wales,,,,,W92000004,11.4
2009 Q4 Oct-Dec,Percentage (%),,,Wales,,,,,W92000004,11.2
2010 Q1 Jan-Mar,Percentage (%),,,Wales,,,,,W92000004,10.6
2010 Q2 Apr-Jun,Percentage (%),,,Wales,,,,,W92000004,10.1
2010 Q3 Jul-Sep,Percentage (%),,,Wales,,,,,W92000004,10.7
2010 Q4 Oct-Dec,Percentage (%),,,Wales,,,,,W92000004,10.0
2011 Q1 Jan-Mar,Percentage (%),,,Wales,,,,,W92000004,10.5
2011 Q2 Apr-Jun,Percentage (%),,,Wales,,,,,W92000004,10.0
2011 Q3 Jul-Sep,Percentage (%),,,Wales,,,,,W92000004,10.9
2011 Q4 Oct-Dec,Percentage (%),,,Wales,,,,,W92000004,10.9
2012 Q1 Jan-Mar,Percentage (%),,,Wales,,,,,W92000004,10.2
2012 Q2 Apr-Jun,Percentage (%),,,Wales,,,,,W92000004,10.6
2012 Q3 Jul-Sep,Percentage (%),,,Wales,,,,,W92000004,11.2
2012 Q4 Oct-Dec,Percentage (%),,,Wales,,,,,W92000004,11.2
2013 Q1 Jan-Mar,Percentage (%),,,Wales,,,,,W92000004,11.7
2013 Q2 Apr-Jun,Percentage (%),,,Wales,,,,,W92000004,11.5
2013 Q3 Jul-Sep,Percentage (%),,,Wales,,,,,W92000004,11.6
2013 Q4 Oct-Dec,Percentage (%),,,Wales,,,,,W92000004,11.0
2014 Q1 Jan-Mar,Percentage (%),,,Wales,,,,,W92000004,10.1
2014 Q2 Apr-Jun,Percentage (%),,,Wales,,,,,W92000004,9.9
2014 Q3 Jul-Sep,Percentage (%),,,Wales,,,,,W92000004,9.8
2014 Q4 Oct-Dec,Percentage (%),,,Wales,,,,,W92000004,10.9
2015 Q1 Jan-Mar,Percentage (%),,,Wales,,,,,W92000004,10.7
2015 Q2 Apr-Jun,Percentage (%),,,Wales,,,,,W92000004,10.8
2015 Q3 Jul-Sep,Percentage (%),,,Wales,,,,,W92000004,10.5
2015 Q4 Oct-Dec,Percentage (%),,,Wales,,,,,W92000004,11.6
2016 Q1 Jan-Mar,Percentage (%),,,Wales,,,,,W92000004,10.4
2016 Q2 Apr-Jun,Percentage (%),,,Wales,,,,,W92000004,10.1
2016 Q3 Jul-Sep,Percentage (%),,,Wales,,,,,W92000004,10.5
2016 Q4 Oct-Dec,Percentage (%),,,Wales,,,,,W92000004,10.7
2017 Q1 Jan-Mar,Percentage (%),,,Wales,,,,,W92000004,9.9
2017 Q2 Apr-Jun,Percentage (%),,,Wales,,,,,W92000004,11.1
2017 Q3 Jul-Sep,Percentage (%),,,Wales,,,,,W92000004,10.2
2017 Q4 Oct-Dec,Percentage (%),,,Wales,,,,,W92000004,10.2
2009 Q1 Jan-Mar,Percentage (%),,,Scotland,,,,,S92000003,8.7
2009 Q2 Apr-Jun,Percentage (%),,,Scotland,,,,,S92000003,8.4
2009 Q3 Jul-Sep,Percentage (%),,,Scotland,,,,,S92000003,8.4
2009 Q4 Oct-Dec,Percentage (%),,,Scotland,,,,,S92000003,8.0
2010 Q1 Jan-Mar,Percentage (%),,,Scotland,,,,,S92000003,7.5
2010 Q2 Apr-Jun,Percentage (%),,,Scotland,,,,,S92000003,7.8
2010 Q3 Jul-Sep,Percentage (%),,,Scotland,,,,,S92000003,7.6
2010 Q4 Oct-Dec,Percentage (%),,,Scotland,,,,,S92000003,7.7
2011 Q1 Jan-Mar,Percentage (%),,,Scotland,,,,,S92000003,8.5
2011 Q2 Apr-Jun,Percentage (%),,,Scotland,,,,,S92000003,8.6
2011 Q3 Jul-Sep,Percentage (%),,,Scotland,,,,,S92000003,8.2
2011 Q4 Oct-Dec,Percentage (%),,,Scotland,,,,,S92000003,8.3
2012 Q1 Jan-Mar,Percentage (%),,,Scotland,,,,,S92000003,7.9
2012 Q2 Apr-Jun,Percentage (%),,,Scotland,,,,,S92000003,8.1
2012 Q3 Jul-Sep,Percentage (%),,,Scotland,,,,,S92000003,8.5
2012 Q4 Oct-Dec,Percentage (%),,,Scotland,,,,,S92000003,8.6
2013 Q1 Jan-Mar,Percentage (%),,,Scotland,,,,,S92000003,8.3
2013 Q2 Apr-Jun,Percentage (%),,,Scotland,,,,,S92000003,8.6
2013 Q3 Jul-Sep,Percentage (%),,,Scotland,,,,,S92000003,8.4
2013 Q4 Oct-Dec,Percentage (%),,,Scotland,,,,,S92000003,8.6
2014 Q1 Jan-Mar,Percentage (%),,,Scotland,,,,,S92000003,8.8
2014 Q2 Apr-Jun,Percentage (%),,,Scotland,,,,,S92000003,8.7
2014 Q3 Jul-Sep,Percentage (%),,,Scotland,,,,,S92000003,8.4
2014 Q4 Oct-Dec,Percentage (%),,,Scotland,,,,,S92000003,9.3
2015 Q1 Jan-Mar,Percentage (%),,,Scotland,,,,,S92000003,8.4
2015 Q2 Apr-Jun,Percentage (%),,,Scotland,,,,,S92000003,8.4
2015 Q3 Jul-Sep,Percentage (%),,,Scotland,,,,,S92000003,8.2
2015 Q4 Oct-Dec,Percentage (%),,,Scotland,,,,,S92000003,7.9
2016 Q1 Jan-Mar,Percentage (%),,,Scotland,,,,,S92000003,7.9
2016 Q2 Apr-Jun,Percentage (%),,,Scotland,,,,,S92000003,8.2
2016 Q3 Jul-Sep,Percentage (%),,,Scotland,,,,,S92000003,8.1
2016 Q4 Oct-Dec,Percentage (%),,,Scotland,,,,,S92000003,8.2
2017 Q1 Jan-Mar,Percentage (%),,,Scotland,,,,,S92000003,8.1
2017 Q2 Apr-Jun,Percentage (%),,,Scotland,,,,,S92000003,8.3
2017 Q3 Jul-Sep,Percentage (%),,,Scotland,,,,,S92000003,8.3
2017 Q4 Oct-Dec,Percentage (%),,,Scotland,,,,,S92000003,7.8
2009 Q1 Jan-Mar,Percentage (%),,,Northern Ireland,,,,,N92000002,11.0
2009 Q2 Apr-Jun,Percentage (%),,,Northern Ireland,,,,,N92000002,11.1
2009 Q3 Jul-Sep,Percentage (%),,,Northern Ireland,,,,,N92000002,11.1
2009 Q4 Oct-Dec,Percentage (%),,,Northern Ireland,,,,,N92000002,11.4
2010 Q1 Jan-Mar,Percentage (%),,,Northern Ireland,,,,,N92000002,11.3
