Year,Series,Age,Disposable income decile,Health product or service,Health product or service category,Health product or service sub-category,Tenure category,Tenure sub-category,Occupation category,Observation status,Unit multiplier,Unit measure,Value
2018/19,Average weekly household expenditure on health,,Second,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.5
2018/19,Average weekly household expenditure on health,,Third,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.2
2018/19,Average weekly household expenditure on health,,Fourth,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.3
2018/19,Average weekly household expenditure on health,,Fifth,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.3
2018/19,Average weekly household expenditure on health,,Sixth,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.2
2018/19,Average weekly household expenditure on health,,Seventh,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.3
2018/19,Average weekly household expenditure on health,,Eighth,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.2
2018/19,Average weekly household expenditure on health,,Ninth,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.2
2018/19,Average weekly household expenditure on health,,Highest ten,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.4
2018/19,Average weekly household expenditure on health,,Lowest ten,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.4
2018/19,Average weekly household expenditure on health,,Second,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.7
2018/19,Average weekly household expenditure on health,,Third,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.5
2018/19,Average weekly household expenditure on health,,Fourth,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,1.1
2018/19,Average weekly household expenditure on health,,Fifth,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.9
2018/19,Average weekly household expenditure on health,,Sixth,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.6
2018/19,Average weekly household expenditure on health,,Seventh,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.5
2018/19,Average weekly household expenditure on health,,Eighth,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.5
2018/19,Average weekly household expenditure on health,,Ninth,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.5
2018/19,Average weekly household expenditure on health,,Highest ten,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.7
2019/20,Average weekly household expenditure on health,,Lowest ten,,,,,,,Normal value,Units,GBP (£),4.3
2019/20,Average weekly household expenditure on health,,Second,,,,,,,Normal value,Units,GBP (£),5.3
2019/20,Average weekly household expenditure on health,,Third,,,,,,,Normal value,Units,GBP (£),5.0
2019/20,Average weekly household expenditure on health,,Fourth,,,,,,,Normal value,Units,GBP (£),5.9
2019/20,Average weekly household expenditure on health,,Fifth,,,,,,,Normal value,Units,GBP (£),7.3
2019/20,Average weekly household expenditure on health,,Sixth,,,,,,,Normal value,Units,GBP (£),8.1
2019/20,Average weekly household expenditure on health,,Seventh,,,,,,,Normal value,Units,GBP (£),8.8
2019/20,Average weekly household expenditure on health,,Eighth,,,,,,,Normal value,Units,GBP (£),9.0
2019/20,Average weekly household expenditure on health,,Ninth,,,,,,,Normal value,Units,GBP (£),12.5
2019/20,Average weekly household expenditure on health,,Highest ten,,,,,,,Normal value,Units,GBP (£),15.8
2019/20,Average weekly household expenditure on health,,Lowest ten,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),2.3
2019/20,Average weekly household expenditure on health,,Second,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),3.4
2019/20,Average weekly household expenditure on health,,Third,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),2.9
2019/20,Average weekly household expenditure on health,,Fourth,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),2.6
2019/20,Average weekly household expenditure on health,,Fifth,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),4.8
2019/20,Average weekly household expenditure on health,,Sixth,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),3.8
2019/20,Average weekly household expenditure on health,,Seventh,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),5.5
2019/20,Average weekly household expenditure on health,,Eighth,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),5.4
2019/20,Average weekly household expenditure on health,,Ninth,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),7.8
2019/20,Average weekly household expenditure on health,,Highest ten,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),6.4
2019/20,Average weekly household expenditure on health,,Lowest ten,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),1.3
2019/20,Average weekly household expenditure on health,,Second,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),2.2
2019/20,Average weekly household expenditure on health,,Third,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),1.7
2019/20,Average weekly household expenditure on health,,Fourth,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),1.9
2019/20,Average weekly household expenditure on health,,Fifth,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),2.7
2019/20,Average weekly household expenditure on health,,Sixth,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),2.4
2019/20,Average weekly household expenditure on health,,Seventh,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),2.8
2019/20,Average weekly household expenditure on health,,Eighth,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),2.8
2019/20,Average weekly household expenditure on health,,Ninth,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),4.8
2019/20,Average weekly household expenditure on health,,Highest ten,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),3.8
2019/20,Average weekly household expenditure on health,,Lowest ten,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),1.0
2019/20,Average weekly household expenditure on health,,Second,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),1.2
2019/20,Average weekly household expenditure on health,,Third,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),1.2
2019/20,Average weekly household expenditure on health,,Fourth,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),0.7
2019/20,Average weekly household expenditure on health,,Fifth,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),2.1
2019/20,Average weekly household expenditure on health,,Sixth,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),1.4
2019/20,Average weekly household expenditure on health,,Seventh,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),2.7
2019/20,Average weekly household expenditure on health,,Eighth,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),2.5
2019/20,Average weekly household expenditure on health,,Ninth,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),3.0
2019/20,Average weekly household expenditure on health,,Highest ten,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),2.6
2019/20,Average weekly household expenditure on health,,Lowest ten,Hospital services,,,,,,Normal value,Units,GBP (£),2.0
2019/20,Average weekly household expenditure on health,,Second,Hospital services,,,,,,Normal value,Units,GBP (£),1.9
2019/20,Average weekly household expenditure on health,,Third,Hospital services,,,,,,Normal value,Units,GBP (£),2.2
2019/20,Average weekly household expenditure on health,,Fourth,Hospital services,,,,,,Normal value,Units,GBP (£),3.3
2019/20,Average weekly household expenditure on health,,Fifth,Hospital services,,,,,,Normal value,Units,GBP (£),2.6
2019/20,Average weekly household expenditure on health,,Sixth,Hospital services,,,,,,Normal value,Units,GBP (£),4.4
2019/20,Average weekly household expenditure on health,,Seventh,Hospital services,,,,,,Normal value,Units,GBP (£),3.3
2019/20,Average weekly household expenditure on health,,Eighth,Hospital services,,,,,,Normal value,Units,GBP (£),3.6
2019/20,Average weekly household expenditure on health,,Ninth,Hospital services,,,,,,Normal value,Units,GBP (£),4.7
2019/20,Average weekly household expenditure on health,,Highest ten,Hospital services,,,,,,Normal value,Units,GBP (£),9.3
2019/20,Average weekly household expenditure on health,,Lowest ten,,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,1.7
2019/20,Average weekly household expenditure on health,,Second,,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,1.8
2019/20,Average weekly household expenditure on health,,Third,,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,1.4
2019/20,Average weekly household expenditure on health,,Fourth,,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,1.4
2019/20,Average weekly household expenditure on health,,Fifth,,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,1.5
2019/20,Average weekly household expenditure on health,,Sixth,,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,1.4
2019/20,Average weekly household expenditure on health,,Seventh,,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,1.3
2019/20,Average weekly household expenditure on health,,Eighth,,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,1.2
2019/20,Average weekly household expenditure on health,,Ninth,,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,1.4
2019/20,Average weekly household expenditure on health,,Highest ten,,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,1.3
2019/20,Average weekly household expenditure on health,,Lowest ten,Medical products appliances and equipment,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.9
2019/20,Average weekly household expenditure on health,,Second,Medical products appliances and equipment,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,1.2
2019/20,Average weekly household expenditure on health,,Third,Medical products appliances and equipment,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.8
2019/20,Average weekly household expenditure on health,,Fourth,Medical products appliances and equipment,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.6
2019/20,Average weekly household expenditure on health,,Fifth,Medical products appliances and equipment,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.9
2019/20,Average weekly household expenditure on health,,Sixth,Medical products appliances and equipment,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.7
2019/20,Average weekly household expenditure on health,,Seventh,Medical products appliances and equipment,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.8
2019/20,Average weekly household expenditure on health,,Eighth,Medical products appliances and equipment,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.7
2019/20,Average weekly household expenditure on health,,Ninth,Medical products appliances and equipment,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.9
2019/20,Average weekly household expenditure on health,,Highest ten,Medical products appliances and equipment,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.5
2019/20,Average weekly household expenditure on health,,Lowest ten,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.5
2019/20,Average weekly household expenditure on health,,Second,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.8
2019/20,Average weekly household expenditure on health,,Third,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.5
2019/20,Average weekly household expenditure on health,,Fourth,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.4
2019/20,Average weekly household expenditure on health,,Fifth,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.5
2019/20,Average weekly household expenditure on health,,Sixth,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.4
2019/20,Average weekly household expenditure on health,,Seventh,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.4
2019/20,Average weekly household expenditure on health,,Eighth,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.4
2019/20,Average weekly household expenditure on health,,Ninth,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.5
2019/20,Average weekly household expenditure on health,,Highest ten,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.3
2019/20,Average weekly household expenditure on health,,Lowest ten,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.4
2019/20,Average weekly household expenditure on health,,Second,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.4
2019/20,Average weekly household expenditure on health,,Third,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.3
2019/20,Average weekly household expenditure on health,,Fourth,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.2
2019/20,Average weekly household expenditure on health,,Fifth,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.4
2019/20,Average weekly household expenditure on health,,Sixth,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.2
2019/20,Average weekly household expenditure on health,,Seventh,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.4
2019/20,Average weekly household expenditure on health,,Eighth,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.3
2019/20,Average weekly household expenditure on health,,Ninth,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.3
2019/20,Average weekly household expenditure on health,,Highest ten,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.2
2019/20,Average weekly household expenditure on health,,Lowest ten,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.8
2019/20,Average weekly household expenditure on health,,Second,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.7
2019/20,Average weekly household expenditure on health,,Third,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.6
2019/20,Average weekly household expenditure on health,,Fourth,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.8
2019/20,Average weekly household expenditure on health,,Fifth,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.5
2019/20,Average weekly household expenditure on health,,Sixth,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.7
2019/20,Average weekly household expenditure on health,,Seventh,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.5
2019/20,Average weekly household expenditure on health,,Eighth,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.5
2019/20,Average weekly household expenditure on health,,Ninth,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.5
2019/20,Average weekly household expenditure on health,,Highest ten,Hospital services,,,,,,Normal value,Units,% of total expenditure by disposable income decile group,0.8
