Year,Series,Industry sector,Unit measure,Unit multiplier,Observation status,Value
2002,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.2
2003,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.3
2004,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.2
2005,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.2
2006,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.2
2007,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.1
2008,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.4
2009,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.3
2010,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.2
2011,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.1
2012,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.1
2013,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.0
2014,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,0.8
2015,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,0.9
2016,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.0
2017,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.0
2018,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,0.8
2019,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.0
1990,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.3
1991,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.3
1992,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.3
1993,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.3
1994,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.3
1995,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.3
1996,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.2
1997,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.3
1998,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.2
1999,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.2
2000,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.2
2001,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.2
2002,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.2
2003,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.2
2004,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.2
2005,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.2
2006,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.2
2007,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.2
2008,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.2
2009,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.1
2010,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.2
2011,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.2
2012,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.1
2013,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.1
2014,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.1
2015,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.1
2016,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.1
2017,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.1
2018,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.1
2019,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,TJ per £ million,Normal,Undefined,0.2
