Year,Units,Local Authority,Deprivation decile,Unit multiplier,Unit measure,Value
2018/19,Met need (%),Lancashire,,Units,Percentage (%),15.49743111
2010/11,Number of people in treatment,Lancashire,,Units,Count,2740
2011/12,Number of people in treatment,Lancashire,,Units,Count,2730
2012/13,Number of people in treatment,Lancashire,,Units,Count,2815
2013/14,Number of people in treatment,Lancashire,,Units,Count,3045
2014/15,Number of people in treatment,Lancashire,,Units,Count,2465
2015/16,Number of people in treatment,Lancashire,,Units,Count,2510
2016/17,Number of people in treatment,Lancashire,,Units,Count,2325
2017/18,Number of people in treatment,Lancashire,,Units,Count,2300
2018/19,Number of people in treatment,Lancashire,,Units,Count,2212
2018/19,Number of people in treatment,Lancashire,,Units,Count,2210
2010/11,Estimated prevalence,Leeds,,Units,Number,10230
2011/12,Estimated prevalence,Leeds,,Units,Number,10257
2012/13,Estimated prevalence,Leeds,,Units,Number,10199
2013/14,Estimated prevalence,Leeds,,Units,Number,10608
2014/15,Estimated prevalence,Leeds,,Units,Number,10534
2015/16,Estimated prevalence,Leeds,,Units,Number,10244
2016/17,Estimated prevalence,Leeds,,Units,Number,10308
2017/18,Estimated prevalence,Leeds,,Units,Number,9870
2018/19,Estimated prevalence,Leeds,,Units,Number,10140.66667
2010/11,Met need (%),Leeds,,Units,Percentage (%),19.11045943
2011/12,Met need (%),Leeds,,Units,Percentage (%),19.40138442
2012/13,Met need (%),Leeds,,Units,Percentage (%),19.75683891
2013/14,Met need (%),Leeds,,Units,Percentage (%),21.68174962
2014/15,Met need (%),Leeds,,Units,Percentage (%),25.25156636
2015/16,Met need (%),Leeds,,Units,Percentage (%),22.45216712
2016/17,Met need (%),Leeds,,Units,Percentage (%),26.14474195
2017/18,Met need (%),Leeds,,Units,Percentage (%),27.71023303
2018/19,Met need (%),Leeds,,Units,Percentage (%),25.32377884
2010/11,Number of people in treatment,Leeds,,Units,Count,1955
2011/12,Number of people in treatment,Leeds,,Units,Count,1990
2012/13,Number of people in treatment,Leeds,,Units,Count,2015
2013/14,Number of people in treatment,Leeds,,Units,Count,2300
2014/15,Number of people in treatment,Leeds,,Units,Count,2660
2015/16,Number of people in treatment,Leeds,,Units,Count,2300
2016/17,Number of people in treatment,Leeds,,Units,Count,2695
2017/18,Number of people in treatment,Leeds,,Units,Count,2735
2018/19,Number of people in treatment,Leeds,,Units,Count,2568.000003
2018/19,Number of people in treatment,Leeds,,Units,Count,2570
2010/11,Estimated prevalence,Leicester,,Units,Number,3870
2011/12,Estimated prevalence,Leicester,,Units,Number,3868
2012/13,Estimated prevalence,Leicester,,Units,Number,3841
2013/14,Estimated prevalence,Leicester,,Units,Number,3942
2014/15,Estimated prevalence,Leicester,,Units,Number,3914
2015/16,Estimated prevalence,Leicester,,Units,Number,4295
2016/17,Estimated prevalence,Leicester,,Units,Number,4284
2017/18,Estimated prevalence,Leicester,,Units,Number,4210
2018/19,Estimated prevalence,Leicester,,Units,Number,4263
2010/11,Met need (%),Leicester,,Units,Percentage (%),16.66666667
2011/12,Met need (%),Leicester,,Units,Percentage (%),17.83867632
2012/13,Met need (%),Leicester,,Units,Percentage (%),21.08825827
2013/14,Met need (%),Leicester,,Units,Percentage (%),19.27955353
2014/15,Met need (%),Leicester,,Units,Percentage (%),18.77874297
2015/16,Met need (%),Leicester,,Units,Percentage (%),18.39348079
2016/17,Met need (%),Leicester,,Units,Percentage (%),15.87301587
2017/18,Met need (%),Leicester,,Units,Percentage (%),13.30166271
2018/19,Met need (%),Leicester,,Units,Percentage (%),14.37954492
2010/11,Number of people in treatment,Leicester,,Units,Count,645
2011/12,Number of people in treatment,Leicester,,Units,Count,690
2012/13,Number of people in treatment,Leicester,,Units,Count,810
2013/14,Number of people in treatment,Leicester,,Units,Count,760
2014/15,Number of people in treatment,Leicester,,Units,Count,735
2015/16,Number of people in treatment,Leicester,,Units,Count,790
2016/17,Number of people in treatment,Leicester,,Units,Count,680
2017/18,Number of people in treatment,Leicester,,Units,Count,560
2018/19,Number of people in treatment,Leicester,,Units,Count,613
2018/19,Number of people in treatment,Leicester,,Units,Count,615
2010/11,Estimated prevalence,Leicestershire,,Units,Number,5147
2011/12,Estimated prevalence,Leicestershire,,Units,Number,5137
2012/13,Estimated prevalence,Leicestershire,,Units,Number,5115
2013/14,Estimated prevalence,Leicestershire,,Units,Number,5216
2014/15,Estimated prevalence,Leicestershire,,Units,Number,5180
2015/16,Estimated prevalence,Leicestershire,,Units,Number,5460
2016/17,Estimated prevalence,Leicestershire,,Units,Number,5488
2017/18,Estimated prevalence,Leicestershire,,Units,Number,5457
2018/19,Estimated prevalence,Leicestershire,,Units,Number,5468.333333
2010/11,Met need (%),Leicestershire,,Units,Percentage (%),19.52593744
2011/12,Met need (%),Leicestershire,,Units,Percentage (%),17.71461943
2012/13,Met need (%),Leicestershire,,Units,Percentage (%),23.65591398
2013/14,Met need (%),Leicestershire,,Units,Percentage (%),22.52684049
2014/15,Met need (%),Leicestershire,,Units,Percentage (%),18.53281853
2015/16,Met need (%),Leicestershire,,Units,Percentage (%),13.64468864
2016/17,Met need (%),Leicestershire,,Units,Percentage (%),11.47959184
2017/18,Met need (%),Leicestershire,,Units,Percentage (%),15.11819681
2018/19,Met need (%),Leicestershire,,Units,Percentage (%),17.37275221
2010/11,Number of people in treatment,Leicestershire,,Units,Count,1005
2011/12,Number of people in treatment,Leicestershire,,Units,Count,910
2012/13,Number of people in treatment,Leicestershire,,Units,Count,1210
2013/14,Number of people in treatment,Leicestershire,,Units,Count,1175
2014/15,Number of people in treatment,Leicestershire,,Units,Count,960
2015/16,Number of people in treatment,Leicestershire,,Units,Count,745
2016/17,Number of people in treatment,Leicestershire,,Units,Count,630
2017/18,Number of people in treatment,Leicestershire,,Units,Count,825
2018/19,Number of people in treatment,Leicestershire,,Units,Count,950
2010/11,Estimated prevalence,Lewisham,,Units,Number,3390
2011/12,Estimated prevalence,Lewisham,,Units,Number,3395
2012/13,Estimated prevalence,Lewisham,,Units,Number,3366
2013/14,Estimated prevalence,Lewisham,,Units,Number,3452
2014/15,Estimated prevalence,Lewisham,,Units,Number,3481
2015/16,Estimated prevalence,Lewisham,,Units,Number,3339
2016/17,Estimated prevalence,Lewisham,,Units,Number,3202
2017/18,Estimated prevalence,Lewisham,,Units,Number,3314
2018/19,Estimated prevalence,Lewisham,,Units,Number,3285
2010/11,Met need (%),Lewisham,,Units,Percentage (%),13.42182891
2011/12,Met need (%),Lewisham,,Units,Percentage (%),10.89837997
2012/13,Met need (%),Lewisham,,Units,Percentage (%),12.03208556
2013/14,Met need (%),Lewisham,,Units,Percentage (%),11.00811124
2014/15,Met need (%),Lewisham,,Units,Percentage (%),14.50732548
2015/16,Met need (%),Lewisham,,Units,Percentage (%),17.07097934
2016/17,Met need (%),Lewisham,,Units,Percentage (%),16.3960025
2017/18,Met need (%),Lewisham,,Units,Percentage (%),12.82438141
2018/19,Met need (%),Lewisham,,Units,Percentage (%),12.84627093
2010/11,Number of people in treatment,Lewisham,,Units,Count,455
2011/12,Number of people in treatment,Lewisham,,Units,Count,370
2012/13,Number of people in treatment,Lewisham,,Units,Count,405
2013/14,Number of people in treatment,Lewisham,,Units,Count,380
2014/15,Number of people in treatment,Lewisham,,Units,Count,505
2015/16,Number of people in treatment,Lewisham,,Units,Count,570
2016/17,Number of people in treatment,Lewisham,,Units,Count,525
2017/18,Number of people in treatment,Lewisham,,Units,Count,425
2018/19,Number of people in treatment,Lewisham,,Units,Count,422
2018/19,Number of people in treatment,Lewisham,,Units,Count,425
2010/11,Estimated prevalence,Lincolnshire,,Units,Number,6709
2011/12,Estimated prevalence,Lincolnshire,,Units,Number,6703
2012/13,Estimated prevalence,Lincolnshire,,Units,Number,6718
2013/14,Estimated prevalence,Lincolnshire,,Units,Number,6848
2014/15,Estimated prevalence,Lincolnshire,,Units,Number,6807
2015/16,Estimated prevalence,Lincolnshire,,Units,Number,6723
2016/17,Estimated prevalence,Lincolnshire,,Units,Number,6746
2017/18,Estimated prevalence,Lincolnshire,,Units,Number,6916
2018/19,Estimated prevalence,Lincolnshire,,Units,Number,6795
2010/11,Met need (%),Lincolnshire,,Units,Percentage (%),12.59502161
2011/12,Met need (%),Lincolnshire,,Units,Percentage (%),13.35223034
2012/13,Met need (%),Lincolnshire,,Units,Percentage (%),17.19261685
2013/14,Met need (%),Lincolnshire,,Units,Percentage (%),19.85981308
2014/15,Met need (%),Lincolnshire,,Units,Percentage (%),18.87762597
2015/16,Met need (%),Lincolnshire,,Units,Percentage (%),20.00594972
2016/17,Met need (%),Lincolnshire,,Units,Percentage (%),14.37889119
2017/18,Met need (%),Lincolnshire,,Units,Percentage (%),11.78426836
2018/19,Met need (%),Lincolnshire,,Units,Percentage (%),13.71596762
2010/11,Number of people in treatment,Lincolnshire,,Units,Count,845
2011/12,Number of people in treatment,Lincolnshire,,Units,Count,895
2012/13,Number of people in treatment,Lincolnshire,,Units,Count,1155
2013/14,Number of people in treatment,Lincolnshire,,Units,Count,1360
2014/15,Number of people in treatment,Lincolnshire,,Units,Count,1285
2015/16,Number of people in treatment,Lincolnshire,,Units,Count,1345
2016/17,Number of people in treatment,Lincolnshire,,Units,Count,970
2017/18,Number of people in treatment,Lincolnshire,,Units,Count,815
2018/19,Number of people in treatment,Lincolnshire,,Units,Count,932
2018/19,Number of people in treatment,Lincolnshire,,Units,Count,935
2010/11,Estimated prevalence,Liverpool,,Units,Number,10840
2011/12,Estimated prevalence,Liverpool,,Units,Number,10793
2012/13,Estimated prevalence,Liverpool,,Units,Number,10835
2013/14,Estimated prevalence,Liverpool,,Units,Number,11380
2014/15,Estimated prevalence,Liverpool,,Units,Number,11458
2015/16,Estimated prevalence,Liverpool,,Units,Number,10925
2016/17,Estimated prevalence,Liverpool,,Units,Number,9703
2017/18,Estimated prevalence,Liverpool,,Units,Number,9555
2018/19,Estimated prevalence,Liverpool,,Units,Number,10061
2010/11,Met need (%),Liverpool,,Units,Percentage (%),11.02398524
2011/12,Met need (%),Liverpool,,Units,Percentage (%),14.63911795
2012/13,Met need (%),Liverpool,,Units,Percentage (%),20.16612829
2013/14,Met need (%),Liverpool,,Units,Percentage (%),18.23374341
2014/15,Met need (%),Liverpool,,Units,Percentage (%),18.7205446
2015/16,Met need (%),Liverpool,,Units,Percentage (%),17.80320366
2016/17,Met need (%),Liverpool,,Units,Percentage (%),17.88106771
2017/18,Met need (%),Liverpool,,Units,Percentage (%),15.43694401
2018/19,Met need (%),Liverpool,,Units,Percentage (%),15.46565948
2010/11,Number of people in treatment,Liverpool,,Units,Count,1195
2011/12,Number of people in treatment,Liverpool,,Units,Count,1580
2012/13,Number of people in treatment,Liverpool,,Units,Count,2185
2013/14,Number of people in treatment,Liverpool,,Units,Count,2075
2014/15,Number of people in treatment,Liverpool,,Units,Count,2145
2015/16,Number of people in treatment,Liverpool,,Units,Count,1945
2016/17,Number of people in treatment,Liverpool,,Units,Count,1735
2017/18,Number of people in treatment,Liverpool,,Units,Count,1475
2018/19,Number of people in treatment,Liverpool,,Units,Count,1556
2018/19,Number of people in treatment,Liverpool,,Units,Count,1555
2010/11,Estimated prevalence,Luton,,Units,Number,2181
2011/12,Estimated prevalence,Luton,,Units,Number,2185
2012/13,Estimated prevalence,Luton,,Units,Number,2217
2013/14,Estimated prevalence,Luton,,Units,Number,2265
2014/15,Estimated prevalence,Luton,,Units,Number,2278
2015/16,Estimated prevalence,Luton,,Units,Number,2356
2016/17,Estimated prevalence,Luton,,Units,Number,2174
2017/18,Estimated prevalence,Luton,,Units,Number,2181
2018/19,Estimated prevalence,Luton,,Units,Number,2237
2010/11,Met need (%),Luton,,Units,Percentage (%),28.42732691
2011/12,Met need (%),Luton,,Units,Percentage (%),31.57894737
2012/13,Met need (%),Luton,,Units,Percentage (%),26.61253947
2013/14,Met need (%),Luton,,Units,Percentage (%),29.13907285
2014/15,Met need (%),Luton,,Units,Percentage (%),25.46093064
2015/16,Met need (%),Luton,,Units,Percentage (%),23.76910017
2016/17,Met need (%),Luton,,Units,Percentage (%),24.14903404
2017/18,Met need (%),Luton,,Units,Percentage (%),16.04768455
2018/19,Met need (%),Luton,,Units,Percentage (%),18.28341529
2010/11,Number of people in treatment,Luton,,Units,Count,620
2011/12,Number of people in treatment,Luton,,Units,Count,690
2012/13,Number of people in treatment,Luton,,Units,Count,590
2013/14,Number of people in treatment,Luton,,Units,Count,660
2014/15,Number of people in treatment,Luton,,Units,Count,580
2015/16,Number of people in treatment,Luton,,Units,Count,560
2016/17,Number of people in treatment,Luton,,Units,Count,525
2017/18,Number of people in treatment,Luton,,Units,Count,350
2018/19,Number of people in treatment,Luton,,Units,Count,409
2018/19,Number of people in treatment,Luton,,Units,Count,410
2010/11,Estimated prevalence,Manchester,,Units,Number,9405
2011/12,Estimated prevalence,Manchester,,Units,Number,9214
2012/13,Estimated prevalence,Manchester,,Units,Number,9135
2013/14,Estimated prevalence,Manchester,,Units,Number,9591
2014/15,Estimated prevalence,Manchester,,Units,Number,9528
2015/16,Estimated prevalence,Manchester,,Units,Number,8688
2016/17,Estimated prevalence,Manchester,,Units,Number,8200
2017/18,Estimated prevalence,Manchester,,Units,Number,8321
2018/19,Estimated prevalence,Manchester,,Units,Number,8403
2010/11,Met need (%),Manchester,,Units,Percentage (%),25.943647
2011/12,Met need (%),Manchester,,Units,Percentage (%),27.02409377
2012/13,Met need (%),Manchester,,Units,Percentage (%),22.44116037
2013/14,Met need (%),Manchester,,Units,Percentage (%),21.16567615
2014/15,Met need (%),Manchester,,Units,Percentage (%),19.57388749
2015/16,Met need (%),Manchester,,Units,Percentage (%),19.91252302
2016/17,Met need (%),Manchester,,Units,Percentage (%),14.93902439
2017/18,Met need (%),Manchester,,Units,Percentage (%),13.52000961
2018/19,Met need (%),Manchester,,Units,Percentage (%),10.85326669
2010/11,Number of people in treatment,Manchester,,Units,Count,2440
2011/12,Number of people in treatment,Manchester,,Units,Count,2490
2012/13,Number of people in treatment,Manchester,,Units,Count,2050
2013/14,Number of people in treatment,Manchester,,Units,Count,2030
2014/15,Number of people in treatment,Manchester,,Units,Count,1865
2015/16,Number of people in treatment,Manchester,,Units,Count,1730
2016/17,Number of people in treatment,Manchester,,Units,Count,1225
2017/18,Number of people in treatment,Manchester,,Units,Count,1125
2018/19,Number of people in treatment,Manchester,,Units,Count,912
2018/19,Number of people in treatment,Manchester,,Units,Count,910
2010/11,Estimated prevalence,Medway,,Units,Number,2774
2011/12,Estimated prevalence,Medway,,Units,Number,2783
2012/13,Estimated prevalence,Medway,,Units,Number,2764
2013/14,Estimated prevalence,Medway,,Units,Number,2817
2014/15,Estimated prevalence,Medway,,Units,Number,2808
2015/16,Estimated prevalence,Medway,,Units,Number,2976
2016/17,Estimated prevalence,Medway,,Units,Number,2825
2017/18,Estimated prevalence,Medway,,Units,Number,2920
2018/19,Estimated prevalence,Medway,,Units,Number,2907
2010/11,Met need (%),Medway,,Units,Percentage (%),23.79235761
2011/12,Met need (%),Medway,,Units,Percentage (%),20.66115702
2012/13,Met need (%),Medway,,Units,Percentage (%),18.99421129
2013/14,Met need (%),Medway,,Units,Percentage (%),12.77955272
2014/15,Met need (%),Medway,,Units,Percentage (%),15.31339031
2015/16,Met need (%),Medway,,Units,Percentage (%),15.96102151
2016/17,Met need (%),Medway,,Units,Percentage (%),13.62831858
2017/18,Met need (%),Medway,,Units,Percentage (%),11.98630137
2018/19,Met need (%),Medway,,Units,Percentage (%),11.69590643
2010/11,Number of people in treatment,Medway,,Units,Count,660
2011/12,Number of people in treatment,Medway,,Units,Count,575
2012/13,Number of people in treatment,Medway,,Units,Count,525
2013/14,Number of people in treatment,Medway,,Units,Count,360
2014/15,Number of people in treatment,Medway,,Units,Count,430
2015/16,Number of people in treatment,Medway,,Units,Count,475
2016/17,Number of people in treatment,Medway,,Units,Count,385
2017/18,Number of people in treatment,Medway,,Units,Count,350
2018/19,Number of people in treatment,Medway,,Units,Count,340
2010/11,Estimated prevalence,Merton,,Units,Number,1812
2011/12,Estimated prevalence,Merton,,Units,Number,1793
2012/13,Estimated prevalence,Merton,,Units,Number,1798
2013/14,Estimated prevalence,Merton,,Units,Number,1838
2014/15,Estimated prevalence,Merton,,Units,Number,1837
2015/16,Estimated prevalence,Merton,,Units,Number,1813
2016/17,Estimated prevalence,Merton,,Units,Number,1674
2017/18,Estimated prevalence,Merton,,Units,Number,1695
2018/19,Estimated prevalence,Merton,,Units,Number,1727.333333
2010/11,Met need (%),Merton,,Units,Percentage (%),27.0419426
2011/12,Met need (%),Merton,,Units,Percentage (%),24.5398773
2012/13,Met need (%),Merton,,Units,Percentage (%),23.3592881
2013/14,Met need (%),Merton,,Units,Percentage (%),21.218716
2014/15,Met need (%),Merton,,Units,Percentage (%),20.95808383
2015/16,Met need (%),Merton,,Units,Percentage (%),18.20187534
2016/17,Met need (%),Merton,,Units,Percentage (%),18.21983274
2017/18,Met need (%),Merton,,Units,Percentage (%),17.99410029
2018/19,Met need (%),Merton,,Units,Percentage (%),19.33616364
2010/11,Number of people in treatment,Merton,,Units,Count,490
2011/12,Number of people in treatment,Merton,,Units,Count,440
2012/13,Number of people in treatment,Merton,,Units,Count,420
2013/14,Number of people in treatment,Merton,,Units,Count,390
2014/15,Number of people in treatment,Merton,,Units,Count,385
2015/16,Number of people in treatment,Merton,,Units,Count,330
2016/17,Number of people in treatment,Merton,,Units,Count,305
2017/18,Number of people in treatment,Merton,,Units,Count,305
2018/19,Number of people in treatment,Merton,,Units,Count,334
2018/19,Number of people in treatment,Merton,,Units,Count,335
2010/11,Estimated prevalence,Middlesbrough,,Units,Number,2561
2011/12,Estimated prevalence,Middlesbrough,,Units,Number,2609
2012/13,Estimated prevalence,Middlesbrough,,Units,Number,2632
2013/14,Estimated prevalence,Middlesbrough,,Units,Number,2781
2014/15,Estimated prevalence,Middlesbrough,,Units,Number,2757
2015/16,Estimated prevalence,Middlesbrough,,Units,Number,2379
2016/17,Estimated prevalence,Middlesbrough,,Units,Number,2396
2017/18,Estimated prevalence,Middlesbrough,,Units,Number,2446
2018/19,Estimated prevalence,Middlesbrough,,Units,Number,2407
2010/11,Met need (%),Middlesbrough,,Units,Percentage (%),33.97110504
2011/12,Met need (%),Middlesbrough,,Units,Percentage (%),31.42966654
2012/13,Met need (%),Middlesbrough,,Units,Percentage (%),29.63525836
2013/14,Met need (%),Middlesbrough,,Units,Percentage (%),26.96871629
2014/15,Met need (%),Middlesbrough,,Units,Percentage (%),35.36452666
2015/16,Met need (%),Middlesbrough,,Units,Percentage (%),33.62757461
2016/17,Met need (%),Middlesbrough,,Units,Percentage (%),31.30217028
2017/18,Met need (%),Middlesbrough,,Units,Percentage (%),28.00490597
2018/19,Met need (%),Middlesbrough,,Units,Percentage (%),24.22102202
2010/11,Number of people in treatment,Middlesbrough,,Units,Count,870
2011/12,Number of people in treatment,Middlesbrough,,Units,Count,820
2012/13,Number of people in treatment,Middlesbrough,,Units,Count,780
2013/14,Number of people in treatment,Middlesbrough,,Units,Count,750
2014/15,Number of people in treatment,Middlesbrough,,Units,Count,975
2015/16,Number of people in treatment,Middlesbrough,,Units,Count,800
2016/17,Number of people in treatment,Middlesbrough,,Units,Count,750
2017/18,Number of people in treatment,Middlesbrough,,Units,Count,685
2018/19,Number of people in treatment,Middlesbrough,,Units,Count,583
2018/19,Number of people in treatment,Middlesbrough,,Units,Count,585
2010/11,Estimated prevalence,Milton Keynes,,Units,Number,1996
2011/12,Estimated prevalence,Milton Keynes,,Units,Number,2002
2012/13,Estimated prevalence,Milton Keynes,,Units,Number,1998
2013/14,Estimated prevalence,Milton Keynes,,Units,Number,2036
2014/15,Estimated prevalence,Milton Keynes,,Units,Number,2021
2015/16,Estimated prevalence,Milton Keynes,,Units,Number,2080
2016/17,Estimated prevalence,Milton Keynes,,Units,Number,2045
2017/18,Estimated prevalence,Milton Keynes,,Units,Number,2200
2018/19,Estimated prevalence,Milton Keynes,,Units,Number,2108.333333
2010/11,Met need (%),Milton Keynes,,Units,Percentage (%),12.2745491
2011/12,Met need (%),Milton Keynes,,Units,Percentage (%),12.23776224
2012/13,Met need (%),Milton Keynes,,Units,Percentage (%),14.51451451
2013/14,Met need (%),Milton Keynes,,Units,Percentage (%),14.24361493
2014/15,Met need (%),Milton Keynes,,Units,Percentage (%),9.153884216
2015/16,Met need (%),Milton Keynes,,Units,Percentage (%),10.57692308
2016/17,Met need (%),Milton Keynes,,Units,Percentage (%),17.3594132
2017/18,Met need (%),Milton Keynes,,Units,Percentage (%),18.63636364
2018/19,Met need (%),Milton Keynes,,Units,Percentage (%),21.72332016
2010/11,Number of people in treatment,Milton Keynes,,Units,Count,245
2011/12,Number of people in treatment,Milton Keynes,,Units,Count,245
2012/13,Number of people in treatment,Milton Keynes,,Units,Count,290
2013/14,Number of people in treatment,Milton Keynes,,Units,Count,290
2014/15,Number of people in treatment,Milton Keynes,,Units,Count,185
2015/16,Number of people in treatment,Milton Keynes,,Units,Count,220
2016/17,Number of people in treatment,Milton Keynes,,Units,Count,355
2017/18,Number of people in treatment,Milton Keynes,,Units,Count,410
2018/19,Number of people in treatment,Milton Keynes,,Units,Count,458
2018/19,Number of people in treatment,Milton Keynes,,Units,Count,455
2010/11,Estimated prevalence,Newcastle upon Tyne,,Units,Number,3978
2011/12,Estimated prevalence,Newcastle upon Tyne,,Units,Number,4014
2012/13,Estimated prevalence,Newcastle upon Tyne,,Units,Number,3992
2013/14,Estimated prevalence,Newcastle upon Tyne,,Units,Number,4145
2014/15,Estimated prevalence,Newcastle upon Tyne,,Units,Number,4066
2015/16,Estimated prevalence,Newcastle upon Tyne,,Units,Number,4053
2016/17,Estimated prevalence,Newcastle upon Tyne,,Units,Number,4148
2017/18,Estimated prevalence,Newcastle upon Tyne,,Units,Number,4146
2018/19,Estimated prevalence,Newcastle upon Tyne,,Units,Number,4115.666667
2010/11,Met need (%),Newcastle upon Tyne,,Units,Percentage (%),23.75565611
2011/12,Met need (%),Newcastle upon Tyne,,Units,Percentage (%),20.80219233
2012/13,Met need (%),Newcastle upon Tyne,,Units,Percentage (%),19.28857715
2013/14,Met need (%),Newcastle upon Tyne,,Units,Percentage (%),17.85283474
2014/15,Met need (%),Newcastle upon Tyne,,Units,Percentage (%),17.33890802
2015/16,Met need (%),Newcastle upon Tyne,,Units,Percentage (%),22.69923513
2016/17,Met need (%),Newcastle upon Tyne,,Units,Percentage (%),23.98746384
2017/18,Met need (%),Newcastle upon Tyne,,Units,Percentage (%),23.99903521
2018/19,Met need (%),Newcastle upon Tyne,,Units,Percentage (%),19.99676035
2010/11,Number of people in treatment,Newcastle upon Tyne,,Units,Count,945
2011/12,Number of people in treatment,Newcastle upon Tyne,,Units,Count,835
2012/13,Number of people in treatment,Newcastle upon Tyne,,Units,Count,770
2013/14,Number of people in treatment,Newcastle upon Tyne,,Units,Count,740
2014/15,Number of people in treatment,Newcastle upon Tyne,,Units,Count,705
2015/16,Number of people in treatment,Newcastle upon Tyne,,Units,Count,920
2016/17,Number of people in treatment,Newcastle upon Tyne,,Units,Count,995
2017/18,Number of people in treatment,Newcastle upon Tyne,,Units,Count,995
2018/19,Number of people in treatment,Newcastle upon Tyne,,Units,Count,823
2018/19,Number of people in treatment,Newcastle upon Tyne,,Units,Count,825
2010/11,Estimated prevalence,Newham,,Units,Number,3519
2011/12,Estimated prevalence,Newham,,Units,Number,3538
2012/13,Estimated prevalence,Newham,,Units,Number,3495
2013/14,Estimated prevalence,Newham,,Units,Number,3601
2014/15,Estimated prevalence,Newham,,Units,Number,3615
2015/16,Estimated prevalence,Newham,,Units,Number,3516
2016/17,Estimated prevalence,Newham,,Units,Number,3513
2017/18,Estimated prevalence,Newham,,Units,Number,3687
2018/19,Estimated prevalence,Newham,,Units,Number,3572
2010/11,Met need (%),Newham,,Units,Percentage (%),18.89741404
2011/12,Met need (%),Newham,,Units,Percentage (%),14.69756925
2012/13,Met need (%),Newham,,Units,Percentage (%),16.45207439
2013/14,Met need (%),Newham,,Units,Percentage (%),12.77422938
2014/15,Met need (%),Newham,,Units,Percentage (%),10.92669433
2015/16,Met need (%),Newham,,Units,Percentage (%),16.63822526
2016/17,Met need (%),Newham,,Units,Percentage (%),20.77996015
2017/18,Met need (%),Newham,,Units,Percentage (%),17.76512069
2018/19,Met need (%),Newham,,Units,Percentage (%),17.10526316
2010/11,Number of people in treatment,Newham,,Units,Count,665
2011/12,Number of people in treatment,Newham,,Units,Count,520
2012/13,Number of people in treatment,Newham,,Units,Count,575
2013/14,Number of people in treatment,Newham,,Units,Count,460
2014/15,Number of people in treatment,Newham,,Units,Count,395
2015/16,Number of people in treatment,Newham,,Units,Count,585
2016/17,Number of people in treatment,Newham,,Units,Count,730
2017/18,Number of people in treatment,Newham,,Units,Count,655
2018/19,Number of people in treatment,Newham,,Units,Count,611
2018/19,Number of people in treatment,Newham,,Units,Count,610
2010/11,Estimated prevalence,Norfolk,,Units,Number,8949
2011/12,Estimated prevalence,Norfolk,,Units,Number,8971
2012/13,Estimated prevalence,Norfolk,,Units,Number,8972
2013/14,Estimated prevalence,Norfolk,,Units,Number,9216
2014/15,Estimated prevalence,Norfolk,,Units,Number,9195
2015/16,Estimated prevalence,Norfolk,,Units,Number,8943
2016/17,Estimated prevalence,Norfolk,,Units,Number,9009
2017/18,Estimated prevalence,Norfolk,,Units,Number,8840
2018/19,Estimated prevalence,Norfolk,,Units,Number,8930.666667
2010/11,Met need (%),Norfolk,,Units,Percentage (%),23.1310761
2011/12,Met need (%),Norfolk,,Units,Percentage (%),21.51376658
2012/13,Met need (%),Norfolk,,Units,Percentage (%),18.16763263
2013/14,Met need (%),Norfolk,,Units,Percentage (%),15.46223958
2014/15,Met need (%),Norfolk,,Units,Percentage (%),16.53072322
2015/16,Met need (%),Norfolk,,Units,Percentage (%),19.51246785
2016/17,Met need (%),Norfolk,,Units,Percentage (%),15.92851593
2017/18,Met need (%),Norfolk,,Units,Percentage (%),13.85746606
2018/19,Met need (%),Norfolk,,Units,Percentage (%),16.50492684
2010/11,Number of people in treatment,Norfolk,,Units,Count,2070
2011/12,Number of people in treatment,Norfolk,,Units,Count,1930
2012/13,Number of people in treatment,Norfolk,,Units,Count,1630
2013/14,Number of people in treatment,Norfolk,,Units,Count,1425
2014/15,Number of people in treatment,Norfolk,,Units,Count,1520
2015/16,Number of people in treatment,Norfolk,,Units,Count,1745
2016/17,Number of people in treatment,Norfolk,,Units,Count,1435
2017/18,Number of people in treatment,Norfolk,,Units,Count,1225
2018/19,Number of people in treatment,Norfolk,,Units,Count,1474
2018/19,Number of people in treatment,Norfolk,,Units,Count,1475
2010/11,Estimated prevalence,North East Lincolnshire,,Units,Number,1890
2011/12,Estimated prevalence,North East Lincolnshire,,Units,Number,1901
2012/13,Estimated prevalence,North East Lincolnshire,,Units,Number,1891
2013/14,Estimated prevalence,North East Lincolnshire,,Units,Number,1970
2014/15,Estimated prevalence,North East Lincolnshire,,Units,Number,1957
2015/16,Estimated prevalence,North East Lincolnshire,,Units,Number,1988
2016/17,Estimated prevalence,North East Lincolnshire,,Units,Number,1936
2017/18,Estimated prevalence,North East Lincolnshire,,Units,Number,1987
2018/19,Estimated prevalence,North East Lincolnshire,,Units,Number,1970.333333
2010/11,Met need (%),North East Lincolnshire,,Units,Percentage (%),21.42857143
2011/12,Met need (%),North East Lincolnshire,,Units,Percentage (%),19.98947922
2012/13,Met need (%),North East Lincolnshire,,Units,Percentage (%),15.60021153
2013/14,Met need (%),North East Lincolnshire,,Units,Percentage (%),13.95939086
2014/15,Met need (%),North East Lincolnshire,,Units,Percentage (%),11.24169647
2015/16,Met need (%),North East Lincolnshire,,Units,Percentage (%),15.84507042
2016/17,Met need (%),North East Lincolnshire,,Units,Percentage (%),18.33677686
